resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Arbetskraft,Arbetskraft,Labor,Labor,enhet,0.0,0.0,0.0,0.0,0,SEK,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Rivning och förberedelse av plats,Arbeten för att röja skog och forma markytan manuellt - Röjning av skog lo
Övrigt material,Övrigt material,Material,General,%,0.0,0.0,0.0,0.0,0,SEK,0.0,3.31,1876,1876,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Rivning och förberedelse av plats,Arbeten för att röja skog och forma markytan manuellt - Röjning av skog lo
Övrig maskin,Övrig maskin,Equipment,General,%,0.0,0.0,0.0,0.0,0,SEK,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Massarbeten - schaktning och fyllning,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ
Tegel,Tegel,Material,General,enhet,0.0,0.0,0.0,0.0,0,SEK,0.0,276.893,698,694,Masonry Foundation - Masonry foundation - Dimension   ,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Murverk (tegel och sten),Murgrund - Murgrund - Dimension   
Hiss med 3 t,Hiss med 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,SEK,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Murverk (tegel och sten),Murgrund - Murgrund - Dimension   
Murbruk,Murbruk,Material,General,m3,0.0,0.0,0.0,0.0,0,SEK,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Murverk (tegel och sten),Murgrund - Murgrund - Dimension   
Mörtblandare 150l,Mörtblandare 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,SEK,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Murverk (tegel och sten),Murgrund - Murgrund - Dimension   
Tornkran 25 t,Tornkran 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,SEK,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Murverk (tegel och sten),Murgrund - Murgrund - Dimension   
Svetsmaskin 23 kW,Svetsmaskin 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,SEK,0.0,1.5568,385,381,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Rivning och förberedelse av plats,Arbeten för att röja skog och forma markytan manuellt - Röjning av skog lo
Svetsning,Svetsning,Material,General,kg,0.0,0.0,0.0,0.0,0,SEK,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Rivning och förberedelse av plats,Arbeten för att röja skog och forma markytan manuellt - Röjning av skog lo
Krossad sten,Krossad sten,Material,General,m3,0.0,0.0,0.0,0.0,0,SEK,0.0,1.9115,316,130,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Väggrund och undergrund,Byggnadsgrundläggning Graded aggregate krossad sten - Byggnadsgrundläggning grad
Vatten,Vatten,Material,General,m3,0.0,0.0,0.0,0.0,0,SEK,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",pålar och gjutna i plats borrade pålar,"Pålarbeten TRE med manuellt - Pålarbeten TRE med manuellt, chi"
Ståltråd,Ståltråd,Material,General,kg,0.0,0.0,0.0,0.0,0,SEK,0.0,10.5823,288,288,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Kostnadsuppskattningsspecifikation för byggnadsarbeten (TT 12/2021), Bilaga II",Väggrund och undergrund,Byggnadsgrundläggning Graded aggregate krossad sten - Byggnadsgrundläggning grad
