resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
İşçilik,İşçilik,Labor,Labor,birim,0.0,0.0,0.0,0.0,0,TRY,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Site temizliği ve hazırlık,"İşler Orman Temizleme, Manuel ile Zemin yüzeyini açma - Orman temizleme lo"
Diğer malzemeler,Diğer malzemeler,Material,General,%,0.0,0.0,0.0,0.0,0,TRY,0.0,3.31,1876,1876,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Site temizliği ve hazırlık,"İşler Orman Temizleme, Manuel ile Zemin yüzeyini açma - Orman temizleme lo"
Diğer makine,Diğer makine,Equipment,General,%,0.0,0.0,0.0,0.0,0,TRY,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Toprak işleri - kazma ve doldurma,Kazma BÙN ile Kazma Bùn in mọi điều component - Bùn đặ
Kiremit,Kiremit,Material,General,birim,0.0,0.0,0.0,0.0,0,TRY,0.0,276.6925,698,692,Masonry Foundation - Masonry foundation - Dimension   ,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Masonlik (tuğla ve taş),Temel xây dựng - nền móng xây dựng - Kích thước   
Kran 3 t,Kran 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,TRY,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Masonlik (tuğla ve taş),Temel xây dựng - nền móng xây dựng - Kích thước   
Harç,Harç,Material,General,m3,0.0,0.0,0.0,0.0,0,TRY,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Masonlik (tuğla ve taş),Temel xây dựng - nền móng xây dựng - Kích thước   
150l karıştırıcı makine,150l karıştırıcı makine,Equipment,General,ca,0.0,0.0,0.0,0.0,0,TRY,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Masonlik (tuğla ve taş),Temel xây dựng - nền móng xây dựng - Kích thước   
25 t burulma vinci,25 t burulma vinci,Equipment,General,ca,0.0,0.0,0.0,0.0,0,TRY,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Masonlik (tuğla ve taş),Temel xây dựng - nền móng xây dựng - Kích thước   
Dübel,Dübel,Material,General,kg,0.0,0.0,0.0,0.0,0,TRY,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Site temizliği ve hazırlık,"İşler Orman Temizleme, Manuel ile Zemin yüzeyini açma - Orman temizleme lo"
Kaynak makinesi 23 kW,Kaynak makinesi 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,TRY,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Site temizliği ve hazırlık,"İşler Orman Temizleme, Manuel ile Zemin yüzeyini açma - Orman temizleme lo"
Su,Su,Material,General,m3,0.0,0.0,0.0,0.0,0,TRY,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Dầm và cọc khoan nhồi đúc sẵn,"Kết cấu cọc bằng tay - Cọc bằng tay, chi"
Granit taş,Granit taş,Material,General,m3,0.0,0.0,0.0,0.0,0,TRY,0.0,1.9415,311,125,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Yêu cầu nền đường và móng dưới,İnşaat Temeli Sınıflı agrega Kırma taş - İnşaat temeli sınıflı agrega taşı dă
Çelik tel,Çelik tel,Material,General,kg,0.0,0.0,0.0,0.0,0,TRY,0.0,10.5823,288,288,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Yêu cầu nền đường và móng dưới,İnşaat Temeli Sınıflı agrega Kırma taş - İnşaat temeli sınıflı agrega taşı dă
Dairesel çelik çubuk,Dairesel çelik çubuk,Material,General,kg,0.0,0.0,0.0,0.0,0,TRY,0.0,896.4384,287,287,Concrete LÓT Foundation - Concrete lót -    ,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Yerinde dökme beton,Beton temel LÓT - Beton lót -    
Kum altın,Kum altın,Material,General,m3,0.0,0.0,0.0,0.0,0,TRY,0.0,2.8172,287,113,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Düzenleme miktarı inşaat maliyetleri (TT 12/2021), Ek II",Yêu cầu nền đường và móng dưới,İnşaat Temeli Sınıflı agrega Kırma taş - İnşaat temeli sınıflı agrega taşı dă
