resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
人工,人工,Labor,Labor,单位,0.0,0.0,0.0,0.0,0,CNY,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,建设工程预算定额（TT 12/2021），附件II,场地清理与准备,清理森林形成地面工作 - 人工清理森林 lo
其他材料,其他材料,Material,General,%,0.0,0.0,0.0,0.0,0,CNY,0.0,3.3013,1884,1884,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,建设工程预算定额（TT 12/2021），附件II,场地清理与准备,清理森林形成地面工作 - 人工清理森林 lo
其他机械,其他机械,Equipment,General,%,0.0,0.0,0.0,0.0,0,CNY,0.0,1.6062,1389,1387,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,建设工程预算定额（TT 12/2021），附件II,土方工程 - 挖掘与填充,人工挖掘泥土 - 挖掘泥土在所有组成部分中 - 砂土
砖,砖,Material,General,颗粒,0.0,0.0,0.0,0.0,0,CNY,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,建设工程预算定额（TT 12/2021），附件II,砌筑（砖和石）,砌筑基础 - 砌筑基础 - 尺寸   
3吨吊车,3吨吊车,Equipment,General,ca,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,建设工程预算定额（TT 12/2021），附件II,砌筑（砖和石）,砌筑基础 - 砌筑基础 - 尺寸   
砂浆,砂浆,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,建设工程预算定额（TT 12/2021），附件II,砌筑（砖和石）,砌筑基础 - 砌筑基础 - 尺寸   
混凝土搅拌机 150L,混凝土搅拌机 150L,Equipment,General,ca,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,建设工程预算定额（TT 12/2021），附件II,砌筑（砖和石）,砌筑基础 - 砌筑基础 - 尺寸   
25 吨塔式起重机,25 吨塔式起重机,Equipment,General,ca,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,建设工程预算定额（TT 12/2021），附件II,砌筑（砖和石）,砌筑基础 - 砌筑基础 - 尺寸   
碎石,碎石,Material,General,吨,0.0,0.0,0.0,0.0,0,CNY,0.0,11.929,432,207,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,建设工程预算定额（TT 12/2021），附件II,路基和底基层,施工基础级配骨料碎石 - 施工基础级配骨料石 dă
焊接,焊接,Material,General,kg,0.0,0.0,0.0,0.0,0,CNY,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,建设工程预算定额（TT 12/2021），附件II,场地清理与准备,清理森林形成地面工作 - 人工清理森林 lo
