resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
,,Other,أعمال الحفر,,,,,,0,AED,,,252136,55121,أعمال الحفر,ME,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة الهيدروميكانيكية وغيرها),تطوير التربة باستخدام الحفارات في المكب
DXDXDX_DXDXKAKA,نفايات البناء,Material,مسارات الترام,طن,,,,,0,AED,,3.845506761811024,1016,1016,مسارات الترام,TORI,تركيب مسارات السكك الحديدية والترام على عوارض خشبية وحديدية مسلحة,تركيب وتفكيك معابر مزودة بألواح مطاطية
DXDXDX_DXDXKAME,المواد (انظر الملحق),Material,الآبار,,,,,,0,AED,,,175,175,الآبار,PU,حفر الآبار,الحفر الدوار
DXDXDX_DXDXKARI,حجر,Material,الطرق البرية,م3,,,,,0,AED,,,6,6,الطرق البرية,RILI,تحضير المواد,تحضير الحجر
DXDXDX_DXVODXDX,نفايات البناء وكتلة المواد القابلة لإعادة التدوير,Material,الحواجز,طن,,,,,0,AED,,4.647235352112676,71,71,الحواجز,SASA,الحواجز,تفكيك الحواجز المبنية من الطوب إلى طوب منفصل
DXME-KADX-KADX_KAKAME,رافعات جسرية ثنائية الكونسول للعمل في قواعد تجميع السلاسل، 10 طن,Equipment,السكك الحديدية,ساعات تشغيل الآلة,47.54191774913721,3.7552469914,91.3285885068744,47.5419177491372,398,AED,635.175549895577,13.360326633165828,398,199,السكك الحديدية,RIVO,البنية العلوية للسكك الحديدية بعرض 1520 ملم,تركيب وتفكيك الطرق
DXME-KADX-KADX_KAKARI,رافعات لتركيب قضبان السكك الحديدية بطول 25 مترًا على عوارض خشبية,Equipment,السكك الحديدية,ساعات تشغيل الآلة,822.4421907284441,822.442190728444,822.442190728444,822.442190728444,23,AED,4299.58473970383,5.227826086956522,23,23,السكك الحديدية,RIVO,البنية العلوية للسكك الحديدية بعرض 1520 ملم,تركيب وتفكيك الطرق
DXME-KADX-KADX_KAKATO,رافعات لتركيب قضبان السكك الحديدية بطول 25 مترًا على عوارض خرسانية مسلحة,Equipment,السكك الحديدية,ساعات تشغيل الآلة,970.4956307258216,970.4956307258213,970.4956307258213,970.4956307258213,113,AED,3866.6950696051254,3.9842477876106193,113,113,السكك الحديدية,RIVO,البنية العلوية للسكك الحديدية بعرض 1520 ملم,تركيب وتفكيك الطرق
DXME-KADX-KADX_MEKAME,خطوط إنتاج لتجميع الوصلات مع عوارض خرسانية مسلحة (معدات ورشة),Equipment,السكك الحديدية,ساعات تشغيل الآلة,266.5316573950657,18.08569983432,514.9776149558113,266.5316573950657,6,AED,3884.25468710409,14.573333333333332,6,3,السكك الحديدية,RIVO,البنية العلوية للسكك الحديدية بعرض 1520 ملم,تركيب وتفكيك الطرق
DXME-KADX-KADX_MEKAPU,منصات تجميع الوصلات (معدات ورشة),Equipment,السكك الحديدية,ساعات تشغيل الآلة,45.95548222381599,2.01714252,89.893821927632,45.955482223816006,56,AED,5270.502954871675,114.68714285714285,56,28,السكك الحديدية,RIVO,البنية العلوية للسكك الحديدية بعرض 1520 ملم,تركيب وتفكيك الطرق
