resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
DXDXDX_DXDXKAKA,Construction waste,Material,Tram tracks,t,,,,,0,AUD,,3.845374015748031,1016,1016,Tram tracks,TORI,LAYING TRACKS WITH TRAM AND RAILWAY RAILS ON WOODEN AND REINFORCED CONCRETE SLEEPERS,Laying and dismantling level crossings with rubber panel decking
DXDXDX_DXDXKAME,MATERIALS (see appendix),Material,Wells,,,,,,0,AUD,,,175,175,Wells,PU,WELL DRILLING,ROTARY DRILLING
DXDXDX_DXDXKARI,Stone surroundings,Material,Motorways,m3,,,,,0,AUD,,,6,6,Motorways,RILI,PREPARATION OF MATERIALS,Preparation of stone
DXDXDX_DXVODXDX,Construction waste and bulk returnable materials,Material,Partitions,t,,,,,0,AUD,,4.647183098591548,71,71,Partitions,SASA,PARTITIONS,Dismantling brick partitions into individual bricks
DXME-KADX-KADX_KAKAME,"Double-girder gantry cranes for use at link assembly bases, 10 t",Equipment,Railways,Machine hours,25.46417229819245,5.774366876720851,45.15397771966406,25.46417229819246,398,AUD,340.21029915038827,13.36035175879397,398,199,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_KAKARI,Laying cranes for 25 m rail sections on wooden sleepers,Equipment,Railways,Machine hours,406.70005073557354,406.70005073557365,406.70005073557365,406.70005073557365,23,AUD,2126.1571348019734,5.227826086956522,23,23,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_KAKATO,Laying cranes for 25 m rail sections on reinforced concrete sleepers,Equipment,Railways,Machine hours,479.920593988687,479.920593988687,479.920593988687,479.920593988687,113,AUD,1912.1225648282007,3.9842477876106193,113,113,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKAME,Assembly lines for connecting links with reinforced concrete sleepers (workshop equipment),Equipment,Railways,Machine hours,141.23630003571304,27.8112363858392,254.6613636855869,141.23630003571304,6,AUD,2058.283679187125,14.573333333333332,6,3,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKAPU,Assembly stands (workshop equipment),Equipment,Railways,Machine hours,23.775071783233297,3.1032311786458995,44.446912387820696,23.775071783233297,56,AUD,2726.695054042503,114.68714285714285,56,28,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKARI,Semi-automatic assembly lines for assembling links with wooden sleepers (shop equipment),Equipment,Railways,Machine hours,71.69838871928388,18.03016596200592,125.36661147656187,71.6983887192839,12,AUD,1362.269385666394,19.000000000000004,12,6,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKATO,Process lines for assembling links with reinforced concrete sleepers (shop equipment),Equipment,Railways,Machine hours,34.05698015045563,7.758077946614749,60.35588235429651,34.05698015045563,18,AUD,455.0012548100872,13.360000000000001,18,9,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KALI_KAMELI,"Crushed stone cleaning machines, capacity 1000-1200 m3/h, non-self-propelled",Equipment,Railways,Machine hours,999.6332535972257,999.6332535972259,999.6332535972259,999.6332535972259,14,AUD,6079.198229376273,6.081428571428572,14,14,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,THOROUGH CLEANING OR REPLACEMENT OF BALLAST
