resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
,,Labour,Zemní práce,,,,,,0,CZK,,,252136,55719,Zemní práce,ME,"MECHANIZOVANÉ ZPRACOVÁNÍ PŮDY (S BAGR, ROVNÁKY, BULLDOZERY, GRADERY, HYDRO-MECHANICKÝMI POSTUPY ATD.)",ÚPRAVA PŮDY S BAGRAMA V DEPOZITU
DXDXDX_DXDXKAKA,Stavební odpad,Material,Tramvajové koleje,t,,,,,0,CZK,,3.845506761811024,1016,1016,Tramvajové koleje,TORI,POLOŽENÍ KOLEJÍ PRO TRAMVAJE A ŽELEZNICE NA DŘEVĚNÝCH A OCELOBETONOVÝCH PŘELOŽKÁCH,Pokládka a demontáž železničních přejezdů s gumovými deskami
DXDXDX_DXDXKAME,MATERIÁLY (viz příloha),Material,Vrtané otvory,,,,,,0,CZK,,,175,175,Vrtané otvory,PU,VRTÁNÍ,ROTOROVÉ VRTÁNÍ
DXDXDX_DXDXKARI,Kolem kamene,Material,Dálnice,m3,,,,,0,CZK,,,6,6,Dálnice,RILI,PŘÍPRAVA MATERIÁLŮ,Výroba cihel
DXDXDX_DXVODXDX,Stavební odpad a vrácené materiály,Material,Příčky,t,,,,,0,CZK,,4.647235352112676,71,71,Příčky,SASA,PŘÍČKY,Demontáž cihlových zdí na jednotlivé cihly
DXME-KADX-KADX_KAKAME,"Dvoukonzolové portálové jeřáby pro použití v montážních závodech, 10 t",Equipment,Železnice,Stroj.-hod.,568.7013973046999,44.92065765000001,1092.4821369594,568.7013973047,398,CZK,7598.036424728604,13.360326633165828,398,199,Železnice,RIVO,NADSTAVBA ŽELEZNIČNÍCH TRATÍ S ROZCHODEM 1520 MM,POLOŽENÍ A DEMONTÁŽ KOLEJÍ
DXME-KADX-KADX_KAKARI,Pokládací jeřáby pro 25 m dlouhé úseky kolejnic na dřevěných pražcích,Equipment,Železnice,Stroj.-hod.,9838.139587418998,9838.139587419002,9838.139587419002,9838.139587419002,23,CZK,51432.08278222872,5.227826086956522,23,23,Železnice,RIVO,NADSTAVBA ŽELEZNIČNÍCH TRATÍ S ROZCHODEM 1520 MM,POLOŽENÍ A DEMONTÁŽ KOLEJÍ
DXME-KADX-KADX_KAKATO,Pokládací jeřáby pro 25 m dlouhé kolejnice na železobetonových pražcích,Equipment,Železnice,Stroj.-hod.,11609.170336463703,11609.170336463701,11609.170336463701,11609.170336463701,113,CZK,46253.81122905034,3.9842477876106193,113,113,Železnice,RIVO,NADSTAVBA ŽELEZNIČNÍCH TRATÍ S ROZCHODEM 1520 MM,POLOŽENÍ A DEMONTÁŽ KOLEJÍ
DXME-KADX-KADX_MEKAME,Dopravníky pro montáž článků se železobetonovými pražci (dílenské vybavení),Equipment,Železnice,Stroj.-hod.,3188.2795891056007,216.34303482000004,6160.216143391201,3188.2795891056003,6,CZK,46463.86121189895,14.573333333333332,6,3,Železnice,RIVO,NADSTAVBA ŽELEZNIČNÍCH TRATÍ S ROZCHODEM 1520 MM,POLOŽENÍ A DEMONTÁŽ KOLEJÍ
DXME-KADX-KADX_MEKAPU,Montážní stanice (dílenské vybavení),Equipment,Železnice,Stroj.-hod.,549.7242894660001,24.12927,1075.3193089320002,549.7242894660001,56,CZK,63046.30811802851,114.68714285714285,56,28,Železnice,RIVO,NADSTAVBA ŽELEZNIČNÍCH TRATÍ S ROZCHODEM 1520 MM,POLOŽENÍ A DEMONTÁŽ KOLEJÍ
