resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
,,Labour,Erdarbeiten,,,,,,0,EUR,,,252136,55719,Erdarbeiten,ME,"MECHANISIERTE BODENBEARBEITUNG (MIT BAGGER, SCHUBRAUPEN, BULLDOZERN, GRADERN, HYDRO-MECHANISCHEN VERFAHREN USW.)",BODENBEARBEITUNG MIT BAGGERN IN DEPONIE
DXDXDX_DXDXKAKA,Bauschutt,Material,Straßenbahnschienen,t,,,,,0,EUR,,3.845506761811024,1016,1016,Straßenbahnschienen,TORI,VERLEGUNG VON SCHIENEN FÜR STRASSENBAHNEN UND EISENBAHNEN AUF HOLZ- UND STAHLBETONSCHWELLEN,Verlegung und Demontage von Bahnübergängen mit Gummiplattenbelag
DXDXDX_DXDXKAME,MATERIALIEN (siehe Anhang),Material,Bohrlöcher,,,,,,0,EUR,,,175,175,Bohrlöcher,PU,BOHRUNGEN,ROTORBOHRUNG
DXDXDX_DXDXKARI,Um den Stein herum,Material,Autobahnen,m3,,,,,0,EUR,,,6,6,Autobahnen,RILI,VORBEREITUNG DER MATERIALIEN,Herstellung von Steinen
DXDXDX_DXVODXDX,Bauschutt und Rückgabematerialien,Material,Trennwände,t,,,,,0,EUR,,4.647235352112676,71,71,Trennwände,SASA,TRENNWÄNDE,Abbau von Ziegelwänden in einzelne Ziegelsteine
DXME-KADX-KADX_KAKAME,"Zweikonsolige Portalkrane für den Einsatz in Schienenmontagewerken, 10 t",Equipment,Eisenbahnen,Masch.-Std.,21.212048999999997,1.6755,40.74859799999999,21.212048999999993,398,EUR,283.3999031987186,13.360326633165828,398,199,Eisenbahnen,RIVO,OBERBAU VON EISENBAHNSTRECKEN MIT EINER SPURWEITE VON 1520 MM,VERLEGUNG UND DEMONTAGE VON GLEISEN
DXME-KADX-KADX_KAKARI,Verlegekrane für 25 m lange Schienenstücke auf Holzschwellen,Equipment,Eisenbahnen,Masch.-Std.,366.95373000000006,366.95373,366.95373,366.95373,23,EUR,1918.3702824000002,5.227826086956522,23,23,Eisenbahnen,RIVO,OBERBAU VON EISENBAHNSTRECKEN MIT EINER SPURWEITE VON 1520 MM,VERLEGUNG UND DEMONTAGE VON GLEISEN
DXME-KADX-KADX_KAKATO,Verlegekrane für 25 m lange Schienenstücke auf Stahlbetonschwellen,Equipment,Eisenbahnen,Masch.-Std.,433.011579,433.011579,433.011579,433.011579,113,EUR,1725.2254256405308,3.9842477876106193,113,113,Eisenbahnen,RIVO,OBERBAU VON EISENBAHNSTRECKEN MIT EINER SPURWEITE VON 1520 MM,VERLEGUNG UND DEMONTAGE VON GLEISEN
DXME-KADX-KADX_MEKAME,Fließbänder für die Montage von Gliedern mit Stahlbetonschwellen (Werkstattausrüstung),Equipment,Eisenbahnen,Masch.-Std.,118.91995199999998,8.0694,229.770504,118.919952,6,EUR,1733.0601004799998,14.573333333333332,6,3,Eisenbahnen,RIVO,OBERBAU VON EISENBAHNSTRECKEN MIT EINER SPURWEITE VON 1520 MM,VERLEGUNG UND DEMONTAGE VON GLEISEN
DXME-KADX-KADX_MEKAPU,Montagestände (Werkstattausrüstung),Equipment,Eisenbahnen,Masch.-Std.,20.504220000000004,0.8999999999999999,40.10844,20.50422,56,EUR,2351.5704083142855,114.68714285714285,56,28,Eisenbahnen,RIVO,OBERBAU VON EISENBAHNSTRECKEN MIT EINER SPURWEITE VON 1520 MM,VERLEGUNG UND DEMONTAGE VON GLEISEN
