resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
,,Other,भूमि कार्य  ,,,,,,0,INR,,,252136,55719,भूमि कार्य  ,ME,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि आदि)  ",खुदाई द्वारा मिट्टी का विकास  
DXDXDX_DXDXKAKA,निर्माण कचरा,Material,ट्राम पथ  ,ट,,,,,0,INR,,3.845374015748031,1016,1016,ट्राम पथ  ,TORI,लकड़ी और प्रीफैब कंक्रीट की स्लीपर पर ट्राम और रेलवे प्रोफाइल के साथ पथ की बिछाने  ,रबर की पैनलों से बने फर्श के साथ स्थानांतरण की स्थापना और विघटन  
DXDXDX_DXDXKAME,सामग्री (देखें अनुप्रयोग),Material,कुएं  ,,,,,,0,INR,,,175,175,कुएं  ,PU,कुएं की खुदाई  ,रोटरन बोरिंग
DXDXDX_DXDXKARI,पत्थर का कचरा,Material,सड़कें  ,घन मीटर,,,,,0,INR,,,6,6,सड़कें  ,RILI,सामग्रियों की तैयारी  ,पत्थर की तैयारी  
DXDXDX_DXVODXDX,निर्माण कचरा और वापसी सामग्री,Material,विभाजन  ,ट,,,,,0,INR,,4.647183098591548,71,71,विभाजन  ,SASA,पेरागोर्डकी,ईंट की दीवारों का अलग-अलग ईंटों में निस्तारण  
DXME-KADX-KADX_KAKAME,"दो-कंसोल वाले क्रेन, 10 टन, जो ज्वेलरी असेंबली बेस पर काम करते हैं",Equipment,रेलवे  ,मशीन-च,636.3599999999999,50.26,1222.46,636.36,398,INR,8501.997462311558,13.36035175879397,398,199,रेलवे  ,RIVO,1520 मिमी गेज रेलवे की ऊपरी संरचना  ,मार्ग की बिछाने और तोड़ने की प्रक्रिया  
DXME-KADX-KADX_KAKARI,लकड़ी के शिपल पर 25 मीटर रेल लिंक के लिए बिछाने वाले क्रेन,Equipment,रेलवे  ,मशीन-च,11008.609999999997,11008.61,11008.61,11008.61,23,INR,57551.11,5.227826086956522,23,23,रेलवे  ,RIVO,1520 मिमी गेज रेलवे की ऊपरी संरचना  ,मार्ग की बिछाने और तोड़ने की प्रक्रिया  
DXME-KADX-KADX_KAKATO,कंक्रीट शिपल पर 25 मीटर रेल लिंक के लिए बिछाने वाले क्रेन,Equipment,रेलवे  ,मशीन-च,12990.350000000004,12990.35,12990.35,12990.35,113,INR,51756.762566371675,3.9842477876106193,113,113,रेलवे  ,RIVO,1520 मिमी गेज रेलवे की ऊपरी संरचना  ,मार्ग की बिछाने और तोड़ने की प्रक्रिया  
DXME-KADX-KADX_MEKAME,स्ट्रिंग्स प्रवाह के लिए कंक्रीट की पट्टियों के साथ लिंक असेंबली (कारखाना उपकरण),Equipment,रेलवे  ,मशीन-च,3567.6000000000004,242.08,6893.12,3567.6,6,INR,51991.801666666666,14.573333333333332,6,3,रेलवे  ,RIVO,1520 मिमी गेज रेलवे की ऊपरी संरचना  ,मार्ग की बिछाने और तोड़ने की प्रक्रिया  
DXME-KADX-KADX_MEKAPU,लिंक असेंबली के लिए स्टैंड (कारखाना उपकरण),Equipment,रेलवे  ,मशीन-च,615.125,27.0,1203.25,615.125,56,INR,70547.11214285715,114.68714285714285,56,28,रेलवे  ,RIVO,1520 मिमी गेज रेलवे की ऊपरी संरचना  ,मार्ग की बिछाने और तोड़ने की प्रक्रिया  
DXME-KADX-KADX_MEKARI,लकड़ी की स्पल के साथ लिंक असेंबली के लिए अर्ध-स्वचालित प्रवाह लाइनें (कारखाना उपकरण),Equipment,रेलवे  ,मशीन-च,1775.0900000000001,156.99,3393.19,1775.0900000000001,12,INR,33726.636666666665,19.000000000000004,12,6,रेलवे  ,RIVO,1520 मिमी गेज रेलवे की ऊपरी संरचना  ,मार्ग की बिछाने और तोड़ने की प्रक्रिया  
