resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
,,Labour,Zemljani radovi,,,,,,0,EUR,,,252136,55719,Zemljani radovi,ME,"MEHANIZIRANA OBRAĐIVANJA TLA (S BAGERIMA, RAZGRTAČIMA, BULDOŽERIMA, GRADERIMA, HIDRO-MEHANIČKIM POSTUPCIMA ITD.)",OBRADA TLA BAGERIMA U DEPOU
DXDXDX_DXDXKAKA,Građevinski otpad,Material,Tramvajske tračnice,t,,,,,0,EUR,,3.845506761811024,1016,1016,Tramvajske tračnice,TORI,POLAGANJE TRAKTA ZA TRAMVAJE I ŽELJEZNICE NA DRVENIM I ČELIČNIM SVEŠTIMA,Postavljanje i demontaža željezničkih prijelaza s gumiranim pločama
DXDXDX_DXDXKAME,MATERIJALI (vidi prilog),Material,Bušotine,,,,,,0,EUR,,,175,175,Bušotine,PU,BUŠENJA,ROTORSKA BUŠOTINA
DXDXDX_DXDXKARI,Oko kamena,Material,Autoceste,m3,,,,,0,EUR,,,6,6,Autoceste,RILI,PRIPREMA MATERIJALA,Proizvodnja kamenja
DXDXDX_DXVODXDX,Građevinski otpad i povratni materijali,Material,Pregrade,t,,,,,0,EUR,,4.647235352112676,71,71,Pregrade,SASA,ODVOJNE ZIDOVE,Demontaža zidova od opeke na pojedinačne opeke
DXME-KADX-KADX_KAKAME,"Dvokonsolni portalni kranovi za upotrebu u radionicama za montažu tračnica, 10 t",Equipment,Željeznice,Maš.-h,22.27265144999999,1.7592750000000001,42.786027899999986,22.272651449999994,398,EUR,297.5698983586544,13.360326633165828,398,199,Željeznice,RIVO,OBALE ŽELJEZNIČKIH PRUGA S RAZMAKOM OD 1520 MM,POLAGANJE I DEMONTIRANJE PRUGA
DXME-KADX-KADX_KAKARI,Kranovi za postavljanje komada tračnica dužine 25 m na drvenim pragovima,Equipment,Željeznice,Maš.-h,385.3014165000001,385.3014165,385.3014165,385.3014165,23,EUR,2014.2887965200002,5.227826086956522,23,23,Željeznice,RIVO,OBALE ŽELJEZNIČKIH PRUGA S RAZMAKOM OD 1520 MM,POLAGANJE I DEMONTIRANJE PRUGA
DXME-KADX-KADX_KAKATO,Postavljači za tračnice dužine 25 m na čeličnim betonskim pragovima,Equipment,Željeznice,Maš.-h,454.66215794999994,454.66215795,454.66215795,454.66215795,113,EUR,1811.4866969225577,3.9842477876106193,113,113,Željeznice,RIVO,OBALE ŽELJEZNIČKIH PRUGA S RAZMAKOM OD 1520 MM,POLAGANJE I DEMONTIRANJE PRUGA
DXME-KADX-KADX_MEKAME,Transportne trake za montažu elemenata sa čeličnim betonskim pragovima (radionica oprema),Equipment,Željeznice,Maš.-h,124.86594959999998,8.47287,241.2590292,124.8659496,6,EUR,1819.713105504,14.573333333333332,6,3,Željeznice,RIVO,OBALE ŽELJEZNIČKIH PRUGA S RAZMAKOM OD 1520 MM,POLAGANJE I DEMONTIRANJE PRUGA
DXME-KADX-KADX_MEKAPU,Montažni postamenti (radionica oprema),Equipment,Željeznice,Maš.-h,21.529431000000006,0.945,42.113862000000005,21.529431000000002,56,EUR,2469.14892873,114.68714285714285,56,28,Željeznice,RIVO,OBALE ŽELJEZNIČKIH PRUGA S RAZMAKOM OD 1520 MM,POLAGANJE I DEMONTIRANJE PRUGA
