resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
DXDXDX_DXDXKAKA,Limbah konstruksi,Material,Rel trem,t,,,,,0,IDR,,3.845374015748031,1016,1016,Rel trem,TORI,PEMASANGAN REL DENGAN TRAM DAN REL KERETA API PADA KAYU DAN SLEEPER BETON BERTULANG,Pemasangan dan pembongkaran persimpangan level dengan dek panel karet
DXDXDX_DXDXKAME,MATERIAL (lihat lampiran),Material,Sumur,,,,,,0,IDR,,,175,175,Sumur,PU,PENGGALIAN SUMUR,PENGGALIAN PUTAR
DXDXDX_DXDXKARI,Lingkungan batu,Material,Jalan raya,m3,,,,,0,IDR,,,6,6,Jalan raya,RILI,PERSIAPAN MATERIAL,Persiapan batu
DXDXDX_DXVODXDX,Limbah konstruksi dan bahan kembali massal,Material,Partisi,t,,,,,0,IDR,,4.647183098591548,71,71,Partisi,SASA,PARTISI,Pembongkaran partisi bata menjadi bata individu
DXME-KADX-KADX_KAKAME,"Crane gantri balok ganda untuk digunakan di basis perakitan taut, 10 t",Equipment,Kereta api,Jam mesin,361975.54702026414,82083.15528265151,641867.938757877,361975.54702026426,398,IDR,4836120.636272596,13.36035175879397,398,199,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENYUSUNAN DAN PEMBONGKARAN REL
DXME-KADX-KADX_KAKARI,Crane penempatan untuk bagian rel 25 m di atas bantalan kayu,Equipment,Kereta api,Jam mesin,5781278.559312465,5781278.559312466,5781278.559312466,5781278.559312466,23,IDR,30223518.86833613,5.227826086956522,23,23,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENYUSUNAN DAN PEMBONGKARAN REL
DXME-KADX-KADX_KAKATO,Crane penempatan untuk bagian rel 25 m pada bantalan beton bertulang,Equipment,Kereta api,Jam mesin,6822115.303848946,6822115.303848945,6822115.303848945,6822115.303848945,113,IDR,27180997.80618471,3.9842477876106193,113,113,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENYUSUNAN DAN PEMBONGKARAN REL
DXME-KADX-KADX_MEKAME,Jalur perakitan untuk menghubungkan tautan dengan bantalan beton bertulang (peralatan bengkel),Equipment,Kereta api,Jam mesin,2007686.9715562826,395339.2785041992,3620034.664608366,2007686.9715562826,6,IDR,29258691.465480223,14.573333333333332,6,3,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENYUSUNAN DAN PEMBONGKARAN REL
DXME-KADX-KADX_MEKAPU,Stand perakitan (peralatan bengkel),Equipment,Kereta api,Jam mesin,337964.82812806003,44112.71610428211,631816.940151838,337964.82812806003,56,IDR,38760220.524212554,114.68714285714285,56,28,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENYUSUNAN DAN PEMBONGKARAN REL
DXME-KADX-KADX_MEKARI,Jalur perakitan semi-otomatis untuk merakit sambungan dengan bantalan kayu (peralatan bengkel),Equipment,Kereta api,Jam mesin,1019199.178092923,256300.4644539935,1782097.8917318524,1019199.178092923,12,IDR,19364784.383765534,19.000000000000004,12,6,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENYUSUNAN DAN PEMBONGKARAN REL
DXME-KADX-KADX_MEKATO,Jalur proses untuk merakit tautan dengan bantalan beton bertulang (peralatan pabrik),Equipment,Kereta api,Jam mesin,484123.09952421,110281.79026070528,857964.4087877147,484123.09952421,18,IDR,6467884.609643445,13.360000000000001,18,9,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENYUSUNAN DAN PEMBONGKARAN REL
DXME-KADX-KALI_KAMELI,"Mesin pembersih batu pecah, kapasitas 1000-1200 m3/jam, tidak mandiri",Equipment,Kereta api,Jam mesin,14209878.473693307,14209878.473693304,14209878.473693304,14209878.473693304,14,IDR,86416360.94644628,6.081428571428572,14,14,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PEMBERSIHAN MENYELURUH ATAU PENGGANTIAN BALLAST
DXME-KADX-KALI_KAMEME,Mesin untuk penimbunan rel kereta api,Equipment,Pekerjaan di atas,Jam mesin,6544875.258965703,6544875.258965704,6544875.258965704,6544875.258965704,147,IDR,6520387.630445764,0.9962585034013605,147,147,Pekerjaan di atas,RI,PERKEMBANGAN TANAH DENGAN EXCAVATOR KERANJANG SINGGAH,EKSKAVATOR PENGGALIAN TANAH DAN PEMUATAN KE TRANSPORTASI KAIS
DXME-KADX-KALI_KAMENE,"Mesin pembersih batu pecah, kapasitas 800-1200 m3/jam, berjalan sendiri",Equipment,Kereta api,Jam mesin,23498117.9632962,23498117.963296197,23498117.963296197,23498117.963296197,7,IDR,129877454.85713284,5.527142857142857,7,7,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PEMBERSIHAN MENYELURUH ATAU PENGGANTIAN BALLAST
DXME-KADX-KALI_KAMEPU,"Mesin pembersih batu pecah, kapasitas 400-600 m3/jam, tidak bergerak sendiri",Equipment,Kereta api,Jam mesin,6280198.962340011,6280198.962340011,6280198.962340011,6280198.962340011,18,IDR,92870186.65531468,14.787777777777778,18,18,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENGGANTIAN SWITCH TITIK
DXME-KADX-KALI_KAMERI,Mesin pemotong ballast yang berjalan sendiri,Equipment,Kereta api,Jam mesin,23758047.955024596,23758047.955024596,23758047.955024596,23758047.955024596,7,IDR,200144583.98682866,8.424285714285714,7,7,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PEMBERSIHAN MENYELURUH ATAU PENGGANTIAN BALLAST
DXME-KADX-KALI_KAMESA,"Mesin pembersih batu pecah, kapasitas 600-800 m3/jam, tidak digerakkan sendiri",Equipment,Kereta api,Jam mesin,6619420.165293825,6619420.165293826,6619420.165293826,6619420.165293826,22,IDR,22653461.102044187,3.422272727272727,22,22,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENGGANTIAN SWITCH TITIK
DXME-KADX-KALI_KAMETO,"Mesin putar untuk memotong ballast di ujung bantalan, tidak digerakkan sendiri",Equipment,Kereta api,Jam mesin,4197687.890049885,4197687.890049883,4197687.890049883,4197687.890049883,30,IDR,7312372.304466898,1.7419999999999995,30,30,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENGGANTIAN TAHAP JARINGAN REL
DXME-KADX-KALI_KAMEVO,"Mesin pembersih batu pecah, kapasitas hingga 600 m3/jam, berjalan sendiri",Equipment,Kereta api,Jam mesin,20538378.06822345,20538378.068223447,20538378.068223447,20538378.068223447,38,IDR,179300040.5355907,8.729999999999999,38,38,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENGGANTIAN SWITCH TITIK
DXME-KADX-KALI_KARIME,Grader balas,Equipment,Kereta api,Jam mesin,7036815.80185017,7036815.801850166,7036815.801850166,7036815.801850166,108,IDR,20000845.802721716,2.8423148148148147,108,108,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PENYEDIAAN BALAST REL DAN SWITCH TITIK
DXME-KADX-KALI_SAKAME,"Gerbong hopper-dispenser, kapasitas badan hingga 41 m3, kapasitas muatan hingga 71 t",Equipment,Kereta api,Jam mesin,210233.38750964828,210233.38750964828,210233.38750964828,210233.38750964828,2,IDR,116679.5300678548,0.555,2,2,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,JENIS PEKERJAAN LAIN
DXME-KADX-KALI_SAKAPU,"Mesin pembersih batu pecah, kapasitas 1000-2000 m3/jam, berjalan sendiri",Equipment,Kereta api,Jam mesin,48582339.34550649,48582339.34550649,48582339.34550649,48582339.34550649,7,IDR,271644680.2833034,5.591428571428572,7,7,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PEMBERSIHAN MENYELURUH ATAU PENGGANTIAN BALLAST
DXME-KADX-KALI_SAKASA,"Mesin rel untuk memproses (daur ulang) ballast batu pecah untuk meningkatkan area subgrade utama selama rekonstruksi (modernisasi) rel, kapasitas 300-500 m3/jam, kedalaman pemotongan hingga 1200 mm, berjalan sendiri",Equipment,Kereta api,Jam mesin,117442568.37869658,117442568.37869658,117442568.37869658,117442568.37869658,2,IDR,3744069079.9128466,31.88,2,2,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PEMBERSIHAN MENYELURUH ATAU PENGGANTIAN BALLAST
DXME-KADX-KALI_SAKATO,"Mesin pembersih batu pecah, kapasitas 1200-1600 m3/jam, tidak berjalan sendiri",Equipment,Kereta api,Jam mesin,28437904.583758626,28437904.583758626,28437904.583758626,28437904.583758626,7,IDR,162502311.90719217,5.714285714285714,7,7,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,PEMBERSIHAN MENYELURUH ATAU PENGGANTIAN BALLAST
DXME-KADX-KAME_KAKALI,"Kereta rel untuk bekerja pada jaringan kontak dengan crane-manipulator dan modul penempatan kabel, tinggi suspensi hingga 10.5 m.",Equipment,"Peralatan sinyal, sentralisasi, interlocking, dan jaringan kontak untuk transportasi kereta api",Jam mesin,2251982.0765641737,2251982.0765641737,2251982.0765641737,2251982.0765641737,72,IDR,6356219.411102381,2.8225,72,72,"Peralatan sinyal, sentralisasi, interlocking, dan jaringan kontak untuk transportasi kereta api",RIKA,PEKERJAAN REKONSTRUKSI DAN PERBAIKAN JARINGAN KONTAK YANG ADA PADA TRANSPORTASI KAIS,PEKERJAAN PADA REKONSTRUKSI DAN PERBAIKAN JARINGAN KONTAK YANG ADA UNTUK ORGANISASI PERGERAKAN KERETA PADA KECEPATAN DI ATAS 160 KM/JAM HINGGA 250 KM/JAM
DXME-KADX-KAME_KAKASA,"Mesin yang dipasang di rel kereta api untuk pekerjaan instalasi pada jaringan kontak, tegangan saat menggulung kabel 20-36 kN, kecepatan gerakan teknologi hingga 5 km/jam",Equipment,"Peralatan sinyal, sentralisasi, interlocking, dan jaringan kontak untuk transportasi kereta api",Jam mesin,2068830.546409686,2068830.546409686,2068830.546409686,2068830.546409686,16,IDR,3553216.463458636,1.7175,16,16,"Peralatan sinyal, sentralisasi, interlocking, dan jaringan kontak untuk transportasi kereta api",RIKA,PEKERJAAN REKONSTRUKSI DAN PERBAIKAN JARINGAN KONTAK YANG ADA PADA TRANSPORTASI KAIS,PEKERJAAN PADA REKONSTRUKSI DAN PERBAIKAN JARINGAN KONTAK YANG ADA UNTUK ORGANISASI PERGERAKAN KERETA PADA KECEPATAN DI ATAS 160 KM/JAM HINGGA 250 KM/JAM
DXME-KADX-KAME_KAKATO,"Kendaraan kereta api untuk pekerjaan instalasi pada jaringan kontak, tegangan saat penggulungan kabel hingga 35 kN, kecepatan gerak teknologi hingga 5 km/jam",Equipment,"Peralatan sinyal, sentralisasi, interlocking, dan jaringan kontak untuk transportasi kereta api",Jam mesin,3688995.682822022,3688995.682822022,3688995.682822022,3688995.682822022,8,IDR,5671830.86233886,1.5375,8,8,"Peralatan sinyal, sentralisasi, interlocking, dan jaringan kontak untuk transportasi kereta api",RIKA,PEKERJAAN REKONSTRUKSI DAN PERBAIKAN JARINGAN KONTAK YANG ADA PADA TRANSPORTASI KAIS,PEKERJAAN PADA REKONSTRUKSI DAN PERBAIKAN JARINGAN KONTAK YANG ADA UNTUK ORGANISASI PERGERAKAN KERETA PADA KECEPATAN DI ATAS 160 KM/JAM HINGGA 250 KM/JAM
DXME-KADX-KAME_KAMEME,Kereta rel untuk operasi pada jaringan kontak dengan platform pemasangan terisolasi dan unit crane yang dilengkapi dengan keranjang yang dapat dilepas,Equipment,Kereta api,Jam mesin,1765346.227388454,1765346.2273884541,1765346.2273884541,1765346.2273884541,388,IDR,37013987.05048525,20.966984536082474,388,388,Kereta api,RIVO,ELEKTRIFIKASI JALAN KA,STRUKTUR JARINGAN HUBUNGAN
DXME-KADX-KAME_KAMERI,Kereta rel untuk pemasangan tanpa peralatan crane,Equipment,Kereta api,Jam mesin,1659252.353213598,1659252.3532135985,1659252.3532135985,1659252.3532135985,15,IDR,3027582.4604970794,1.8246666666666664,15,15,Kereta api,RIVO,ELEKTRIFIKASI JALAN KA,PEMBONGKARAN PENYANGGA DAN STRUKTUR JARINGAN KONTAK
DXME-KADX-KANE_KAKAPU,"Mesin untuk memasang jaringan kontak saat bekerja ""di lapangan""",Equipment,Kereta api,Jam mesin,722275.9276061887,722275.9276061887,722275.9276061887,722275.9276061887,6,IDR,6222407.116327316,8.615,6,6,Kereta api,RIVO,ELEKTRIFIKASI JALAN KA,STRUKTUR JARINGAN HUBUNGAN
DXME-KADX-KANE_KAKASA,"Mesin untuk memasang jaringan kontak saat bekerja ""dari rel"" dengan crane-manipulator, kapasitas angkat hingga 10 ton",Equipment,Kereta api,Jam mesin,2490693.293457599,2490693.293457599,2490693.293457599,2490693.293457599,6,IDR,531347.9026042878,0.21333333333333335,6,6,Kereta api,RIVO,ELEKTRIFIKASI JALAN KA,STRUKTUR JARINGAN HUBUNGAN
DXME-KADX-KAPU_KAKAME,"Draisines crane barang lebar, universal, kapasitas angkat crane 1 t",Equipment,Kereta api,Jam mesin,571510.9485156043,571510.9485156043,571510.9485156043,571510.9485156043,25,IDR,3383573.419591784,5.920400000000001,25,25,Kereta api,RIVO,SUPERSTRUKTUR REL KERETA API DENGAN JARAK 1520 MM,KONSTRUKSI REL TANPA SAMBUNGAN
DXME-KADX-KAPU_KAKARI,"Kereta derek barang jarak lebar, kapasitas derek 3,5 t",Equipment,Pekerjaan di atas,Jam mesin,626791.4408488185,626791.4408488185,626791.4408488185,626791.4408488185,593,IDR,1465011.3672170117,2.337318718381113,593,593,Pekerjaan di atas,RI,PERKEMBANGAN TANAH DENGAN EXCAVATOR KERANJANG SINGGAH,EKSKAVATOR PENGGALIAN TANAH DAN PEMUATAN KE TRANSPORTASI KAIS
DXME-KADX-KARI_KAKADX,"Gerbong non-tipping, kapasitas 3,3 m3",Equipment,Pekerjaan terowongan,Jam mesin,9213.415388869047,9213.415388869049,9213.415388869049,9213.415388869049,180,IDR,154527.4029021117,16.772000000000002,180,180,Pekerjaan terowongan,TOSA,PEKERJAAN PERTAMBANGAN YANG DILAKUKAN DENGAN METODE KONVENSIONAL,LALUAN SHAFT INCLINED
DXME-KADX-KARI_KAKANE,"Gerbong non-tipping, kapasitas 1 m3",Equipment,Terowongan dan subway,Jam mesin,3350.332868679653,3350.3328686796535,3350.3328686796535,3350.3328686796535,124,IDR,135189.17350883887,40.35096774193549,124,124,Terowongan dan subway,RIDX,METODE OPERASI TERTUTUP,PENGGALIAN TUNNEL DAN JALAN KERJA
DXME-KADX-KARI_KAKARI,"Gerobak dorong non-tipping, kapasitas 1.4 m3",Equipment,Pekerjaan tanah,Jam mesin,3629.527274402958,3629.5272744029585,3629.5272744029585,3629.5272744029585,159,IDR,722438.4573809921,199.04477987421382,159,159,Pekerjaan tanah,ME,"JENIS PEKERJAAN TANAH LAINNYA, PEKERJAAN PERSIAPAN, PENDAMPING, DAN PERKUATAN",PERKUATAN PELANGKAH STRUKTUR TANAH
DXME-KADX-KARI_KAKASA,Troli rel dengan jarak lebar,Equipment,Kereta api,Jam mesin,8375.832171699134,8375.832171699134,8375.832171699134,8375.832171699134,16,IDR,8977462.961697176,1071.829375,16,16,Kereta api,RIVO,"SINYALISASI, SENTRALISASI, DAN PEMBLOKIRAN JALUR KAIS",PERLINDUNGAN KABEL
DXME-KADX-KARI_KAKATO,"Gerbong tipping, kapasitas 0.8 m3",Equipment,Terowongan dan subway,Jam mesin,4187.916085849568,4187.916085849567,4187.916085849567,4187.916085849567,38,IDR,297141.46295647067,70.95210526315788,38,38,Terowongan dan subway,RIDX,METODE OPERASI TERTUTUP,KONSTRUKSI PEKERJAAN PENYELESAIAN
DXME-KADX-KARI_KAKAVO,"Mobil kereta tambang non-tipping, kapasitas 2,5 m3",Equipment,Pekerjaan terowongan,Jam mesin,5304.693708742787,5304.693708742785,5304.693708742785,5304.693708742785,2892,IDR,446955.1675936358,84.25654564315353,2892,2892,Pekerjaan terowongan,TOSA,PEKERJAAN PERTAMBANGAN YANG DILAKUKAN DENGAN METODE KONVENSIONAL,"LALUAN SHAFT VERTIKAL YANG TERHUBUNG DENGAN HALAMAN SEKITAR, KAMAR PERANGKAT PEMUAT DI SHAFT VERTIKAL DAN INCLINED, BUNKER BAWAH TANAH, KAMAR PABRIK PENGHANCUR, PENGUMPAN DAN KONEKTOR"
