resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
DXDXDX_DXDXKAKA,建設廃棄物,Material,トラム軌道,t,,,,,0,JPY,,3.845374015748031,1016,1016,トラム軌道,TORI,木製および鉄筋コンクリートのスリーパー上にトラムおよび鉄道レールを敷設する,ゴムパネルデッキを使用した踏切の敷設および解体。
DXDXDX_DXDXKAME,材料（付録参照）,Material,井戸,,,,,,0,JPY,,,175,175,井戸,PU,井戸掘削,回転ドリル
DXDXDX_DXDXKARI,石の周囲,Material,高速道路,m3,,,,,0,JPY,,,6,6,高速道路,RILI,材料の準備,石の準備
DXDXDX_DXVODXDX,建設廃棄物およびバルク再利用可能材料,Material,仕切り,t,,,,,0,JPY,,4.647183098591548,71,71,仕切り,SASA,仕切り,煉瓦間仕切りの個別煉瓦への解体
DXME-KADX-KADX_KAKAME,リンク組立ベースで使用するダブルガーダーガントリークレーン、10 t,Equipment,鉄道,機械時間,3207.031349722936,727.2404294782438,5686.822269967627,3207.0313497229354,398,JPY,42847.066933778224,13.36035175879397,398,199,鉄道,RIVO,ゲージ1520 mmの鉄道軌道の上部構造,トラックの敷設および解体
DXME-KADX-KADX_KAKARI,木製スリーパー上の 25 m レールセクション用の敷設クレーン,Equipment,鉄道,機械時間,51220.978140156454,51220.97814015644,51220.97814015644,51220.97814015644,23,JPY,267774.3657205395,5.227826086956522,23,23,鉄道,RIVO,ゲージ1520 mmの鉄道軌道の上部構造,トラックの敷設および解体
DXME-KADX-KADX_KAKATO,鉄筋コンクリートの枕木上に25 mのレールセクションを敷設するクレーン,Equipment,鉄道,機械時間,60442.58467449281,60442.58467449281,60442.58467449281,60442.58467449281,113,JPY,240818.23426681553,3.9842477876106193,113,113,鉄道,RIVO,ゲージ1520 mmの鉄道軌道の上部構造,トラックの敷設および解体
DXME-KADX-KADX_MEKAME,鉄筋コンクリートスリーパーと接続リンクのための組立ライン（工場設備）,Equipment,鉄道,機械時間,17787.707239381125,3502.627374629909,32072.78710413234,17787.707239381125,6,JPY,259226.1868352476,14.573333333333332,6,3,鉄道,RIVO,ゲージ1520 mmの鉄道軌道の上部構造,トラックの敷設および解体
DXME-KADX-KADX_MEKAPU,組立スタンド（作業場設備）,Equipment,鉄道,機械時間,2994.3011560660343,390.8298906719814,5597.772421460087,2994.301156066034,56,JPY,343407.8444430533,114.68714285714285,56,28,鉄道,RIVO,ゲージ1520 mmの鉄道軌道の上部構造,トラックの敷設および解体
DXME-KADX-KADX_MEKARI,木製スリーパーを用いたリンク組立用の半自動組立ライン（工場設備）,Equipment,鉄道,機械時間,9029.901999354863,2270.7711369422714,15789.03286176745,9029.90199935486,12,JPY,171568.13798774235,19.000000000000004,12,6,鉄道,RIVO,ゲージ1520 mmの鉄道軌道の上部構造,トラックの敷設および解体
DXME-KADX-KADX_MEKATO,鉄筋コンクリートスリーパーを用いたリンクの組立プロセスライン（工場設備）,Equipment,鉄道,機械時間,4289.234369779846,977.0747266799534,7601.3940128797385,4289.234369779846,18,JPY,57304.17118025875,13.360000000000001,18,9,鉄道,RIVO,ゲージ1520 mmの鉄道軌道の上部構造,トラックの敷設および解体
DXME-KADX-KALI_KAMELI,砕石清掃機、能力1000-1200 m3/h、非自走式,Equipment,鉄道,機械時間,125896.69693443777,125896.69693443773,125896.69693443773,125896.69693443773,14,JPY,765631.7697855736,6.081428571428572,14,14,鉄道,RIVO,ゲージ1520 mmの鉄道軌道の上部構造,バラストの徹底的な清掃または交換
DXME-KADX-KALI_KAMEME,鉄道軌道のバラスト用機械,Equipment,オーバーヘッド作業,機械時間,57986.29301982652,57986.293019826495,57986.293019826495,57986.293019826495,147,JPY,57769.33750172511,0.9962585034013605,147,147,オーバーヘッド作業,RI,単一バケット掘削機による土壌開発,掘削機による土の掘削と鉄道輸送への積み込み
