resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
DXDXDX_DXDXKAKA,건설 폐기물,Material,트램 선로,t,,,,,0,KRW,,3.845374015748031,1016,1016,트램 선로,TORI,목재 및 철근 콘크리트 침목 위에 트램 및 철도 레일을 깔기,고무 패널 데크가 있는 레벨 크로싱의 설치 및 해체.
DXDXDX_DXDXKAME,자재 (부록 참조),Material,우물,,,,,,0,KRW,,,175,175,우물,PU,우물 굴착,회전 드릴링
DXDXDX_DXDXKARI,돌 주변,Material,고속도로,m3,,,,,0,KRW,,,6,6,고속도로,RILI,자재 준비,돌 준비
DXDXDX_DXVODXDX,건설 폐기물 및 대량 재사용 가능한 자재,Material,칸막이,t,,,,,0,KRW,,4.647183098591548,71,71,칸막이,SASA,칸막이,벽돌 파티션을 개별 벽돌로 해체
DXME-KADX-KADX_KAKAME,"링크 조립 기지에서 사용하기 위한 더블 거더 가니트 크레인, 10 t",Equipment,철도,기계 시간,28421.957150098493,6445.087082243702,50398.8272179533,28421.9571500985,398,KRW,379727.34519868536,13.36035175879397,398,199,철도,RIVO,1520 mm 게이지의 철도 선로 상부 구조,트랙의 설치 및 해체
DXME-KADX-KADX_KAKARI,목재 침목 위에 25 m 레일 섹션을 위한 포설 크레인,Equipment,철도,기계 시간,453940.19800006924,453940.1980000692,453940.1980000692,453940.1980000692,23,KRW,2373120.4090229715,5.227826086956522,23,23,철도,RIVO,1520 mm 게이지의 철도 선로 상부 구조,트랙의 설치 및 해체
DXME-KADX-KADX_KAKATO,철근 콘크리트 침목 위에 25 m 레일 구간을 놓는 크레인,Equipment,철도,기계 시간,535665.6559681119,535665.6559681117,535665.6559681117,535665.6559681117,113,KRW,2134224.704689941,3.9842477876106193,113,113,철도,RIVO,1520 mm 게이지의 철도 선로 상부 구조,트랙의 설치 및 해체
DXME-KADX-KADX_MEKAME,철근 콘크리트 침목과 연결 링크를 위한 조립 라인 (작업장 장비),Equipment,철도,기계 시간,157641.5687361036,31041.643906316607,284241.4935658906,157641.5687361036,6,KRW,2297363.1283808164,14.573333333333332,6,3,철도,RIVO,1520 mm 게이지의 철도 선로 상부 구조,트랙의 설치 및 해체
DXME-KADX-KADX_MEKAPU,조립 스탠드(작업장 장비),Equipment,철도,기계 시간,26536.659568217692,3463.6862550833503,49609.63288135203,26536.659568217692,56,KRW,3043413.666851549,114.68714285714285,56,28,철도,RIVO,1520 mm 게이지의 철도 선로 상부 구조,트랙의 설치 및 해체
DXME-KADX-KADX_MEKARI,목재 침목과 링크 조립을 위한 반자동 조립 라인 (작업장 장비),Equipment,철도,기계 시간,80026.49793785928,20124.455583332376,139928.54029238623,80026.4979378593,12,KRW,1520503.4608193266,19.000000000000004,12,6,철도,RIVO,1520 mm 게이지의 철도 선로 상부 구조,트랙의 설치 및 해체
DXME-KADX-KADX_MEKATO,철근 콘크리트 침목과 링크 조립을 위한 공정 라인(작업장 장비),Equipment,철도,기계 시간,38012.8605462945,8659.215637708376,67366.50545488061,38012.86054629449,18,KRW,507851.8168984943,13.360000000000001,18,9,철도,RIVO,1520 mm 게이지의 철도 선로 상부 구조,트랙의 설치 및 해체
DXME-KADX-KALI_KAMELI,"파쇄석 세척 기계, 용량 1000-1200 m3/h, 비자주식",Equipment,철도,기계 시간,1115745.4154349507,1115745.4154349505,1115745.4154349505,1115745.4154349505,14,KRW,6785326.04786655,6.081428571428572,14,14,철도,RIVO,1520 mm 게이지의 철도 선로 상부 구조,Ballast의 철저한 청소 또는 교체
DXME-KADX-KALI_KAMEME,철도 선로의 발라스팅 기계,Equipment,오버헤드 작업,기계 시간,513897.04551686015,513897.04551686003,513897.04551686003,513897.04551686003,147,KRW,511974.30146900774,0.9962585034013605,147,147,오버헤드 작업,RI,단일 버킷 굴착기를 이용한 토양 개발,굴착기 토양 굴착 및 철도 운송으로의 적재
DXME-KADX-KALI_KAMENE,"파쇄석 세척 기계, 용량 800-1200 m3/h, 자주식",Equipment,철도,기계 시간,1845048.6707141458,1845048.670714146,1845048.670714146,1845048.670714146,7,KRW,10197847.581418617,5.527142857142857,7,7,철도,RIVO,1520 mm 게이지의 철도 선로 상부 구조,Ballast의 철저한 청소 또는 교체
