resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
DXDXDX_DXDXKAKA,Construction waste,Material,Tram tracks,t,,,,,0,NGN,,3.845374015748031,1016,1016,Tram tracks,TORI,LAYING TRACKS WITH TRAM AND RAILWAY RAILS ON WOODEN AND REINFORCED CONCRETE SLEEPERS,Laying and dismantling level crossings with rubber panel decking
DXDXDX_DXDXKAME,MATERIALS (see appendix),Material,Wells,,,,,,0,NGN,,,175,175,Wells,PU,WELL DRILLING,ROTARY DRILLING
DXDXDX_DXDXKARI,Stone surroundings,Material,Motorways,m3,,,,,0,NGN,,,6,6,Motorways,RILI,PREPARATION OF MATERIALS,Preparation of stone
DXDXDX_DXVODXDX,Construction waste and bulk returnable materials,Material,Partitions,t,,,,,0,NGN,,4.647183098591548,71,71,Partitions,SASA,PARTITIONS,Dismantling brick partitions into individual bricks
DXME-KADX-KADX_KAKAME,"Double-girder gantry cranes for use at link assembly bases, 10 t",Equipment,Railways,Machine hours,32208.24856283769,7303.6830524290635,57112.814073246314,32208.24856283769,398,NGN,430313.5303341819,13.36035175879397,398,199,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_KAKARI,Laying cranes for 25 m rail sections on wooden sleepers,Equipment,Railways,Machine hours,514412.8060090091,514412.80600900896,514412.80600900896,514412.80600900896,23,NGN,2689260.686718403,5.227826086956522,23,23,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_KAKATO,Laying cranes for 25 m rail sections on reinforced concrete sleepers,Equipment,Railways,Machine hours,607025.4945105584,607025.4945105584,607025.4945105584,607025.4945105584,113,NGN,2418539.9835269344,3.9842477876106193,113,113,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKAME,Assembly lines for connecting links with reinforced concrete sleepers (workshop equipment),Equipment,Railways,Machine hours,178642.12527216805,35176.92245659712,322107.32808773895,178642.12527216802,6,NGN,2603411.2389663956,14.573333333333332,6,3,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKAPU,Assembly stands (workshop equipment),Equipment,Railways,Machine hours,30071.79705770538,3925.108579196572,56218.48553621419,30071.797057705382,56,NGN,3448848.485128065,114.68714285714285,56,28,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKARI,Semi-automatic assembly lines for assembling links with wooden sleepers (shop equipment),Equipment,Railways,Machine hours,90687.39790099421,22805.377694319322,158569.4181076691,90687.39790099421,12,NGN,1723060.5601188901,19.000000000000004,12,6,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKATO,Process lines for assembling links with reinforced concrete sleepers (shop equipment),Equipment,Railways,Machine hours,43076.82453371428,9812.77144799143,76340.87761943712,43076.82453371427,18,NGN,575506.3757704227,13.360000000000001,18,9,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KALI_KAMELI,"Crushed stone cleaning machines, capacity 1000-1200 m3/h, non-self-propelled",Equipment,Railways,Machine hours,1264381.8116885363,1264381.811688536,1264381.811688536,1264381.811688536,14,NGN,7689247.674797283,6.081428571428572,14,14,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,THOROUGH CLEANING OR REPLACEMENT OF BALLAST
DXME-KADX-KALI_KAMEME,Machines for ballasting railway tracks,Equipment,Overhead work,Machine hours,582356.9323640888,582356.9323640888,582356.9323640888,582356.9323640888,147,NGN,580178.0458824545,0.9962585034013605,147,147,Overhead work,RI,SOIL DEVELOPMENT WITH SINGLE-BUCKET EXCAVATORS,EXCAVATOR SOIL EXCAVATION AND LOADING INTO RAILWAY TRANSPORT
DXME-KADX-KALI_KAMENE,"Crushed stone cleaning machines, capacity 800-1200 m3/h, self-propelled",Equipment,Railways,Machine hours,2090840.7497436723,2090840.7497436726,2090840.7497436726,2090840.7497436726,7,NGN,11556375.515368957,5.527142857142857,7,7,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,THOROUGH CLEANING OR REPLACEMENT OF BALLAST
