resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
,,Labour,Grondwerken,,,,,,0,EUR,,,252136,55719,Grondwerken,ME,"GEMECHANISEERDE GRONDVERWERKING (MET GRONDVERZETMACHINES, SCHOVEL, BULLDOZERS, GRADERS, HYDRO-MECHANISCHE METHODEN, ENZ.)",BODEMBEWERKING MET BAGGEREN IN DEPONIE
DXDXDX_DXDXKAKA,Bouwafval,Material,Tramrails,t,,,,,0,EUR,,3.845506761811024,1016,1016,Tramrails,TORI,LEGGEN VAN SPOREN VOOR TRAMMEN EN SPOORWEGEN OP HOUTEN EN BETONEN SLOPEN,Leggen en demonteren van spoorwegovergangen met rubberen platenbekleding
DXDXDX_DXDXKAME,MATERIALEN (zie bijlage),Material,Boorgaten,,,,,,0,EUR,,,175,175,Boorgaten,PU,BORINGEN,ROTORBOORING
DXDXDX_DXDXKARI,Rond de steen,Material,Autosnelwegen,m3,,,,,0,EUR,,,6,6,Autosnelwegen,RILI,VOORBEREIDING VAN MATERIALEN,Productie van stenen
DXDXDX_DXVODXDX,Bouwafval en retourmaterialen,Material,Scheidingswanden,t,,,,,0,EUR,,4.647235352112676,71,71,Scheidingswanden,SASA,SCHEIDWANDEN,Afbraak van bakstenen muren in afzonderlijke bakstenen
DXME-KADX-KADX_KAKAME,"Tweekonsolige portaalkranen voor gebruik in spoormontagebedrijven, 10 t",Equipment,Spoorwegen,Masch.-uur,22.484771939999998,1.77603,43.19351387999999,22.484771939999995,398,EUR,300.40389739064165,13.360326633165828,398,199,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,LEGGEN EN DEMONTAGE VAN SPOREN
DXME-KADX-KADX_KAKARI,Legkranen voor 25 m lange spoorstukken op houten dwarsliggers,Equipment,Spoorwegen,Masch.-uur,388.9709538,388.9709538,388.9709538,388.9709538,23,EUR,2033.472499344,5.227826086956522,23,23,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,LEGGEN EN DEMONTAGE VAN SPOREN
DXME-KADX-KADX_KAKATO,Legkranen voor 25 m lange spoorstukken op staalbetonbalken,Equipment,Spoorwegen,Masch.-uur,458.9922737400001,458.99227374000003,458.99227374000003,458.99227374000003,113,EUR,1828.7389511789634,3.9842477876106193,113,113,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,LEGGEN EN DEMONTAGE VAN SPOREN
DXME-KADX-KADX_MEKAME,Transportbanden voor de montage van elementen met gewapende betonnen dwarsliggers (werkplaatsuitrusting),Equipment,Spoorwegen,Masch.-uur,126.05514912000001,8.553564,243.55673424,126.05514912,6,EUR,1837.0437065088,14.573333333333332,6,3,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,LEGGEN EN DEMONTAGE VAN SPOREN
DXME-KADX-KADX_MEKAPU,Montageplaatsen (werkplaatsuitrusting),Equipment,Spoorwegen,Masch.-uur,21.734473200000004,0.954,42.51494640000001,21.734473200000004,56,EUR,2492.6646328131433,114.68714285714285,56,28,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,LEGGEN EN DEMONTAGE VAN SPOREN
DXME-KADX-KADX_MEKARI,Halfautomatische transportbanden voor de montage van sporen met houten schwellen (werkplaatsuitrusting),Equipment,Spoorwegen,Masch.-uur,62.719706040000005,5.546874,119.89253808000001,62.719706040000005,12,EUR,1191.67441476,19.000000000000004,12,6,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,LEGGEN EN DEMONTAGE VAN SPOREN
DXME-KADX-KADX_MEKATO,Technologische lijnen voor de montage van elementen met betonstalen dwarsliggers (werkplaatsuitrusting),Equipment,Spoorwegen,Masch.-uur,30.056488679999998,2.3846819999999997,57.728295360000004,30.05648868,18,EUR,401.5546887648,13.360000000000001,18,9,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,LEGGEN EN DEMONTAGE VAN SPOREN
DXME-KADX-KALI_KAMELI,"Grindreinigingsmachines, vermogen 1000-1200 m3/h, niet zelfrijdend",Equipment,Spoorwegen,Masch.-uur,956.0440117800002,956.04401178,956.04401178,956.04401178,14,EUR,5814.113368782086,6.081428571428572,14,14,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,GRONDIGE REINIGING OF VERVANGING VAN DE GRINDLAAG
DXME-KADX-KALI_KAMEME,Machines voor het ballastbed van spoorrails,Equipment,Mijnbouwwerkzaamheden,Masch.-uur,440.3524811400001,440.35248114,440.35248114,440.35248114,147,EUR,438.7049038296123,0.9962585034013605,147,147,Mijnbouwwerkzaamheden,RI,GRONDVERWERKING MET ÉÉN-SCHEP GRONDVERZETMACHINES,UITGRAVEN EN LADEN VAN AARDE MET BULLDOZERS IN SPOORVERVOER
DXME-KADX-KALI_KAMENE,"Grindreinigingsmachines, capaciteit 800-1200 m3/h, zelfrijdend",Equipment,Spoorwegen,Masch.-uur,1580.96590938,1580.96590938,1580.96590938,1580.96590938,7,EUR,8738.22443341603,5.527142857142857,7,7,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,GRONDIGE REINIGING OF VERVANGING VAN DE GRINDLAAG
DXME-KADX-KALI_KAMEPU,"Grindreinigingsmachines, capaciteit 400-600 m3/u, niet zelfrijdend",Equipment,Spoorwegen,Masch.-uur,422.52667313999996,422.52667314,422.52667314,422.52667314,18,EUR,6248.230547578067,14.787777777777778,18,18,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,VERVANGING VAN DE SPORINGEN
DXME-KADX-KALI_KAMERI,Zelfrijdende machines voor het uitsnijden van grind,Equipment,Spoorwegen,Masch.-uur,1598.4456602400003,1598.44566024,1598.44566024,1598.44566024,7,EUR,13465.76294062183,8.424285714285714,7,7,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,GRONDIGE REINIGING OF VERVANGING VAN DE GRINDLAAG
DXME-KADX-KALI_KAMESA,"Grindreinigingsmachines, capaciteit 600-800 m3/h, niet zelfrijdend",Equipment,Spoorwegen,Masch.-uur,445.3559853599999,445.3559853599999,445.3559853599999,445.3559853599999,22,EUR,1524.1296426251997,3.422272727272727,22,22,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,VERVANGING VAN DE SPORINGEN
DXME-KADX-KALI_KAMETO,"Rotatie machines voor het uitsnijden van grind aan de uiteinden van dwarsliggers, niet zelfrijdend",Equipment,Spoorwegen,Masch.-uur,282.41673174,282.41673174000005,282.41673174000005,282.41673174000005,30,EUR,491.96994669108005,1.7419999999999995,30,30,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,UITWISSELING VAN RAILSPLITSEN
DXME-KADX-KALI_KAMEVO,"Grindreinigingsmachines, capaciteit tot 600 m3/u, zelfrijdend",Equipment,Spoorwegen,Masch.-uur,1381.8329896799999,1381.83298968,1381.83298968,1381.83298968,38,EUR,12063.4019999064,8.729999999999999,38,38,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,VERVANGING VAN DE SPORINGEN
DXME-KADX-KALI_KARIME,Grindplaner,Equipment,Spoorwegen,Masch.-uur,473.4389088,473.43890880000004,473.43890880000004,473.43890880000004,108,EUR,1345.662424392,2.8423148148148147,108,108,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,BALLASTERING VAN SPOREN EN BOCHTEN
DXME-KADX-KALI_SAKAME,"Hopperwagens, laadcapaciteit tot 41 m3, draagvermogen tot 71 t",Equipment,Spoorwegen,Masch.-uur,14.146389,14.146389,14.146389,14.146389,2,EUR,7.851245895,0.555,2,2,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,OVERIGE WERKZAAMHEDEN
DXME-KADX-KALI_SAKAPU,"Grindreinigingsmachines, capaciteit 1000-2000 m3/h, zelfrijdend",Equipment,Spoorwegen,Masch.-uur,3268.6420166399994,3268.64201664,3268.64201664,3268.64201664,7,EUR,18276.3783616128,5.591428571428572,7,7,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,GRONDIGE REINIGING OF VERVANGING VAN DE GRINDLAAG
DXME-KADX-KALI_SAKASA,"Machines voor de verwerking (recycling) van grindballast voor de renovatie van het hoofdgebied van de spoorbed bij de reconstructie (modernisering) van de sporen, capaciteit 300-500 m3/u, snijdiepte tot 1200 mm, zelfrijdend",Equipment,Spoorwegen,Masch.-uur,7901.589524399999,7901.589524399999,7901.589524399999,7901.589524399999,2,EUR,251902.67403787197,31.88,2,2,Spoorwegen,RIVO,BOVENBOUW VAN SPOORWEGEN MET EEN SPOORWEIDTE VAN 1520 MM,GRONDIGE REINIGING OF VERVANGING VAN DE GRINDLAAG
