resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
,,Other,Trabalhos de terraplenagem,,,,,,0,BRL,,,252136,55719,Trabalhos de terraplenagem,ME,"DESENVOLVIMENTO MECANIZADO DE SOLOS (COM ESCAVADORAS, RASPADORAS, TRATORES, NIVELADORAS, MÉTODO DE HIDROMECANIZAÇÃO, ETC.)",EXCAVAÇÃO DO SOLO COM EXCAVADORAS EM TERRAPLANAGEM
DXDXDX_DXDXKAKA,Entulho de construção,Material,Trilhos de bonde,t,,,,,0,BRL,,3.845374015748031,1016,1016,Trilhos de bonde,TORI,COLOCAÇÃO DE TRILHOS DE TRAMVAI E FERROVIA EM TRAVESSAS DE MADEIRA E CONCRETO ARMADO,Colocação e desmontagem de passagens com piso de painéis de borracha
DXDXDX_DXDXKAME,MATERIAIS (ver anexo),Material,Poços,,,,,,0,BRL,,,175,175,Poços,PU,PERFURAÇÃO DE POÇOS,PERFURAÇÃO ROTATIVA
DXDXDX_DXDXKARI,Pedra,Material,Rodovias,m³,,,,,0,BRL,,,6,6,Rodovias,RILI,PREPARAÇÃO DE MATERIAIS,Preparação de pedra
DXDXDX_DXVODXDX,Entulho de construção e massa de materiais recicláveis,Material,Divisórias,t,,,,,0,BRL,,4.647183098591548,71,71,Divisórias,SASA,PAREDES DIVISÓRIAS,Desmontagem de divisórias de tijolos em tijolos individuais
DXME-KADX-KADX_KAKAME,"Guindastes de duas vigas para trabalho em bases de montagem de elos, 10 t",Equipment,Ferrovias,máquina-hora,84.845,6.7,162.99,84.845,398,BRL,1133.5995728643215,13.36035175879397,398,199,Ferrovias,RIVO,ESTRUTURA SUPERIOR DA VIA FÉRREA DE 1520 MM,COLOCAÇÃO E DESMONTAGEM DE VIAS
DXME-KADX-KADX_KAKARI,Guindastes para colocação de trilhos de 25 m sobre dormentes de madeira,Equipment,Ferrovias,máquina-hora,1467.8100000000002,1467.81,1467.81,1467.81,23,BRL,7673.480434782606,5.227826086956522,23,23,Ferrovias,RIVO,ESTRUTURA SUPERIOR DA VIA FÉRREA DE 1520 MM,COLOCAÇÃO E DESMONTAGEM DE VIAS
DXME-KADX-KADX_KAKATO,Guindastes de assentamento para elos de trilhos de 25 m sobre dormentes de concreto armado,Equipment,Ferrovias,máquina-hora,1732.0499999999995,1732.05,1732.05,1732.05,113,BRL,6900.9030088495565,3.9842477876106193,113,113,Ferrovias,RIVO,ESTRUTURA SUPERIOR DA VIA FÉRREA DE 1520 MM,COLOCAÇÃO E DESMONTAGEM DE VIAS
DXME-KADX-KADX_MEKAME,Linhas de montagem para a montagem de elos com dormentes de concreto armado (equipamento de oficina),Equipment,Ferrovias,máquina-hora,475.68000000000006,32.28,919.08,475.68,6,BRL,6932.239999999999,14.573333333333332,6,3,Ferrovias,RIVO,ESTRUTURA SUPERIOR DA VIA FÉRREA DE 1520 MM,COLOCAÇÃO E DESMONTAGEM DE VIAS
DXME-KADX-KADX_MEKAPU,Bancadas de montagem de elos (equipamento de oficina),Equipment,Ferrovias,máquina-hora,82.01500000000001,3.6,160.43,82.015,56,BRL,9406.281428571428,114.68714285714285,56,28,Ferrovias,RIVO,ESTRUTURA SUPERIOR DA VIA FÉRREA DE 1520 MM,COLOCAÇÃO E DESMONTAGEM DE VIAS
DXME-KADX-KADX_MEKARI,Linhas de produção semiautomáticas para montagem de elos com dormentes de madeira (equipamento de oficina),Equipment,Ferrovias,máquina-hora,236.67499999999998,20.93,452.42,236.675,12,BRL,4496.883333333332,19.000000000000004,12,6,Ferrovias,RIVO,ESTRUTURA SUPERIOR DA VIA FÉRREA DE 1520 MM,COLOCAÇÃO E DESMONTAGEM DE VIAS
