resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
,,Labour,Lucrări de terasament,,,,,,0,RON,,,252136,55719,Lucrări de terasament,ME,"PRELUCRARE MECANIZATĂ A SOLULUI (CU EXCAVATOARE, ÎMPINGĂTOARE, BULDOZERE, GRADERE, METODE HIDRO-MECANICE ȘI ALTELE.)",PRELUCRAREA SOLULUI CU EXCAVATOARE ÎN DEPOZIT
DXDXDX_DXDXKAKA,Deșeuri de construcție,Material,Șine de tramvai,t,,,,,0,RON,,3.845506761811024,1016,1016,Șine de tramvai,TORI,Așezarea șinelor pentru tramvaie și căi ferate pe traverse din lemn și beton armat,Montarea și demontarea trecerilor la nivel cu acoperire din plăci de cauciuc
DXDXDX_DXDXKAME,MATERIALE (vezi anexa),Material,Găuri de foraj,,,,,,0,RON,,,175,175,Găuri de foraj,PU,FORAJ,FORAJUL ROTORULUI
DXDXDX_DXDXKARI,În jurul pietrei,Material,Autostrăzi,m3,,,,,0,RON,,,6,6,Autostrăzi,RILI,PREGĂTIREA MATERIALOR,Fabricarea de pietre
DXDXDX_DXVODXDX,Deșeuri de construcție și materiale de returnare,Material,Pereți despărțitori,t,,,,,0,RON,,4.647235352112676,71,71,Pereți despărțitori,SASA,PERETE DE SEPARARE,Demontarea zidurilor de cărămidă în cărămizi individuale
DXME-KADX-KADX_KAKAME,"Crane portal cu două console pentru utilizare în ateliere de montaj pe șine, 10 t",Equipment,Căi ferate,h-maş.,118.80126223184998,9.383889075,228.21863538869997,118.80126223184999,398,RON,1587.2236678499032,13.360326633165828,398,199,Căi ferate,RIVO,CONSTRUCȚIA SUPERIOARĂ A CĂILOR FERATE CU O LARGIME DE CURENT DE 1520 MM,Așezarea și demontarea șinelor
DXME-KADX-KADX_KAKARI,Macarale de montaj pentru bucăți de șină de 25 m pe traverse de lemn,Equipment,Căi ferate,h-maş.,2055.1794079245005,2055.1794079245005,2055.1794079245005,2055.1794079245005,23,RON,10744.120522123563,5.227826086956522,23,23,Căi ferate,RIVO,CONSTRUCȚIA SUPERIOARĂ A CĂILOR FERATE CU O LARGIME DE CURENT DE 1520 MM,Așezarea și demontarea șinelor
DXME-KADX-KADX_KAKATO,Macarale de instalare pentru bucăți de șină de 25 m pe traversa din beton armat,Equipment,Căi ferate,h-maş.,2425.14629992635,2425.1462999263504,2425.1462999263504,2425.1462999263504,113,RON,9662.38378011364,3.9842477876106193,113,113,Căi ferate,RIVO,CONSTRUCȚIA SUPERIOARĂ A CĂILOR FERATE CU O LARGIME DE CURENT DE 1520 MM,Așezarea și demontarea șinelor
DXME-KADX-KADX_MEKAME,Benzi transportoare pentru asamblarea elementelor cu traverse din beton armat (echipament de atelier),Equipment,Căi ferate,h-maş.,666.0290291688001,45.193885110000004,1286.8641732276,666.0290291688001,6,RON,9706.263051753313,14.573333333333332,6,3,Căi ferate,RIVO,CONSTRUCȚIA SUPERIOARĂ A CĂILOR FERATE CU O LARGIME DE CURENT DE 1520 MM,Așezarea și demontarea șinelor
DXME-KADX-KADX_MEKAPU,Stații de montaj (echipament de atelier),Equipment,Căi ferate,h-maş.,114.83695974300001,5.040585,224.63333448600005,114.83695974300002,56,RON,13170.322807325409,114.68714285714285,56,28,Căi ferate,RIVO,CONSTRUCȚIA SUPERIOARĂ A CĂILOR FERATE CU O LARGIME DE CURENT DE 1520 MM,Așezarea și demontarea șinelor
