resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
DXDXDX_DXDXKAKA,ขยะก่อสร้าง,Material,รางรถราง,t,,,,,0,THB,,3.845374015748031,1016,1016,รางรถราง,TORI,การวางรางรถรางและรางรถไฟบนไม้หมอนและคอนกรีตเสริมเหล็ก,การวางและรื้อถอนทางข้ามระดับด้วยการปูแผ่นยาง
DXDXDX_DXDXKAME,วัสดุ (ดูภาคผนวก),Material,บ่อ,,,,,,0,THB,,,175,175,บ่อ,PU,การเจาะหลุม,การเจาะแบบหมุน
DXDXDX_DXDXKARI,สภาพแวดล้อมหิน,Material,ทางหลวง,m3,,,,,0,THB,,,6,6,ทางหลวง,RILI,การเตรียมวัสดุ,การเตรียมหิน
DXDXDX_DXVODXDX,ขยะก่อสร้างและวัสดุที่สามารถนำกลับมาใช้ได้,Material,กั้น,t,,,,,0,THB,,4.647183098591548,71,71,กั้น,SASA,กั้นห้อง,การรื้อถอนพาร์ติชันอิฐเป็นอิฐแต่ละก้อน
DXME-KADX-KADX_KAKAME,"เครนยกแบบสองคานสำหรับใช้ที่ฐานการประกอบลิงก์, 10 ตัน",Equipment,รถไฟ,ชั่วโมงเครื่องจักร,651.2999556466941,147.69162125732979,1154.9082900360584,651.2999556466941,398,THB,8701.596507926743,13.36035175879397,398,199,รถไฟ,RIVO,โครงสร้างเหนือรางรถไฟที่มีระยะห่าง 1520 มม.,การวางและการรื้อถอนราง
DXME-KADX-KADX_KAKARI,เครนวางสำหรับส่วนราง 25 ม. บนรางไม้,Equipment,รถไฟ,ชั่วโมงเครื่องจักร,10402.212249576629,10402.212249576625,10402.212249576625,10402.212249576625,23,THB,54380.95656039538,5.227826086956522,23,23,รถไฟ,RIVO,โครงสร้างเหนือรางรถไฟที่มีระยะห่าง 1520 มม.,การวางและการรื้อถอนราง
DXME-KADX-KADX_KAKATO,การวางเครนสำหรับรางยาว 25 ม. บนรางคอนกรีตเสริมเหล็ก,Equipment,รถไฟ,ชั่วโมงเครื่องจักร,12274.982195315826,12274.982195315828,12274.982195315828,12274.982195315828,113,THB,48906.57065464682,3.9842477876106193,113,113,รถไฟ,RIVO,โครงสร้างเหนือรางรถไฟที่มีระยะห่าง 1520 มม.,การวางและการรื้อถอนราง
DXME-KADX-KADX_MEKAME,สายการประกอบสำหรับเชื่อมโยงกับรางคอนกรีตเสริมแรง (อุปกรณ์ในโรงงาน),Equipment,รถไฟ,ชั่วโมงเครื่องจักร,3612.4164913655054,711.3310738108129,6513.501908920198,3612.4164913655054,6,THB,52644.94966749996,14.573333333333332,6,3,รถไฟ,RIVO,โครงสร้างเหนือรางรถไฟที่มีระยะห่าง 1520 มม.,การวางและการรื้อถอนราง
DXME-KADX-KADX_MEKAPU,แท่นประกอบ (อุปกรณ์ในโรงงาน),Equipment,รถไฟ,ชั่วโมงเครื่องจักร,608.097644666659,79.37168761448336,1136.8236017188344,608.0976446666589,56,THB,69740.98144497721,114.68714285714285,56,28,รถไฟ,RIVO,โครงสร้างเหนือรางรถไฟที่มีระยะห่าง 1520 มม.,การวางและการรื้อถอนราง
DXME-KADX-KADX_MEKARI,สายการประกอบแบบกึ่งอัตโนมัติสำหรับประกอบลิงก์กับรางไม้ (อุปกรณ์ในโรงงาน),Equipment,รถไฟ,ชั่วโมงเครื่องจักร,1833.8376306118453,461.15955208921343,3206.5157091344763,1833.8376306118448,12,THB,34842.91498162506,19.000000000000004,12,6,รถไฟ,RIVO,โครงสร้างเหนือรางรถไฟที่มีระยะห่าง 1520 มม.,การวางและการรื้อถอนราง
DXME-KADX-KADX_MEKATO,สายการผลิตสำหรับประกอบลิงค์กับรางคอนกรีตเสริม (อุปกรณ์ในโรงงาน),Equipment,รถไฟ,ชั่วโมงเครื่องจักร,871.0791539462921,198.42921903620842,1543.7290888563757,871.0791539462921,18,THB,11637.617496722463,13.360000000000001,18,9,รถไฟ,RIVO,โครงสร้างเหนือรางรถไฟที่มีระยะห่าง 1520 มม.,การวางและการรื้อถอนราง
DXME-KADX-KALI_KAMELI,เครื่องทำความสะอาดหินบด ความจุ 1000-1200 ม3/ชม. ไม่ขับเคลื่อนด้วยตนเอง,Equipment,รถไฟ,ชั่วโมงเครื่องจักร,25567.73046092876,25567.730460928764,25567.730460928764,25567.730460928764,14,THB,155488.3265316768,6.081428571428572,14,14,รถไฟ,RIVO,โครงสร้างเหนือรางรถไฟที่มีระยะห่าง 1520 มม.,การทำความสะอาดอย่างทั่วถึงหรือการเปลี่ยนแปลงวัสดุรองรับ
DXME-KADX-KALI_KAMEME,เครื่องจักรสำหรับการถมดินรางรถไฟ,Equipment,งานเหนือศีรษะ,ชั่วโมงเครื่องจักร,11776.146209232395,11776.146209232398,11776.146209232398,11776.146209232398,147,THB,11732.085798245473,0.9962585034013605,147,147,งานเหนือศีรษะ,RI,การพัฒนาดินด้วยเครื่องขุดแบบถังเดี่ยว,การขุดดินด้วยรถขุดและการโหลดเข้าสู่การขนส่งทางรถไฟ
DXME-KADX-KALI_KAMENE,"เครื่องทำความสะอาดหินบด, ความจุ 800-1200 ม3/ชม., ขับเคลื่อนด้วยตนเอง",Equipment,รถไฟ,ชั่วโมงเครื่องจักร,42279.99187585682,42279.99187585682,42279.99187585682,42279.99187585682,7,THB,233687.55509670006,5.527142857142857,7,7,รถไฟ,RIVO,โครงสร้างเหนือรางรถไฟที่มีระยะห่าง 1520 มม.,การทำความสะอาดอย่างทั่วถึงหรือการเปลี่ยนแปลงวัสดุรองรับ
DXME-KADX-KALI_KAMEPU,"เครื่องทำความสะอาดหินบด, ความจุ 400-600 m3/h, ไม่ขับเคลื่อนด้วยตนเอง",Equipment,รถไฟ,ชั่วโมงเครื่องจักร,11299.9160835455,11299.916083545499,11299.916083545499,11299.916083545499,18,THB,167100.64795100782,14.787777777777778,18,18,รถไฟ,RIVO,โครงสร้างเหนือรางรถไฟที่มีระยะห่าง 1520 มม.,การเปลี่ยนสวิตช์จุด
