resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
,,Labour,Toprak işleri,,,,,,0,TRY,,,252136,55719,Toprak işleri,ME,"MEKANİZE ZEMİN İŞLEME (EKSKAVATÖR, KAZICI, BULDOZER, GRADER, HİDRO-MEKANİK YÖNTEMLER VB.)",DEPODA KAZICILARLA ZEMİN İŞLEME
DXDXDX_DXDXKAKA,İnşaat atıkları,Material,Tramvay rayları,t,,,,,0,TRY,,3.845506761811024,1016,1016,Tramvay rayları,TORI,AHŞAP VE ÇELİK BETON KİLİTLER ÜZERİNDE TRAMVAY VE DEMİRYOLU İÇİN RAYLARIN DÖŞENMESİ,Kauçuk levha kaplamalı demiryolu geçitlerinin döşenmesi ve sökülmesi
DXDXDX_DXDXKAME,MALZEMELER (eklere bakınız),Material,Delik açma,,,,,,0,TRY,,,175,175,Delik açma,PU,DELİKLER,ROTOR DELİĞİ
DXDXDX_DXDXKARI,Taşın etrafında,Material,Otoyollar,m3,,,,,0,TRY,,,6,6,Otoyollar,RILI,MALZEME HAZIRLIĞI,Taşların üretilmesi
DXDXDX_DXVODXDX,İnşaat atıkları ve geri dönüşüm malzemeleri,Material,Ayırıcı duvarlar,t,,,,,0,TRY,,4.647235352112676,71,71,Ayırıcı duvarlar,SASA,AYIRICI DUVARLAR,Tuğla duvarların tek tek tuğlalara sökülmesi
DXME-KADX-KADX_KAKAME,"Ray montaj tesislerinde kullanılmak üzere iki konsollu portal vinçler, 10 t",Equipment,Demiryolları,Mak.-saat,1286.3124391918498,101.60340907499999,2471.021469308699,1286.3124391918495,398,TRY,17185.55433990737,13.360326633165828,398,199,Demiryolları,RIVO,1520 MM GÜZERGAH ARALIĞINA SAHİP DEMİRYOLU ÜST YAPISI,RAY DÖŞEME VE SÖKME
DXME-KADX-KADX_KAKARI,Ahşap traversler üzerinde 25 m uzunluğundaki ray parçaları için döşeme vinçleri,Equipment,Demiryolları,Mak.-saat,22252.312707124504,22252.3127071245,22252.3127071245,22252.3127071245,23,TRY,116331.22086541956,5.227826086956522,23,23,Demiryolları,RIVO,1520 MM GÜZERGAH ARALIĞINA SAHİP DEMİRYOLU ÜST YAPISI,RAY DÖŞEME VE SÖKME
DXME-KADX-KADX_KAKATO,Çelik beton traversler üzerinde 25 m uzunluğundaki ray parçaları için döşeme vinçleri,Equipment,Demiryolları,Mak.-saat,26258.103608086352,26258.103608086345,26258.103608086345,26258.103608086345,113,TRY,104618.79120736844,3.9842477876106193,113,113,Demiryolları,RIVO,1520 MM GÜZERGAH ARALIĞINA SAHİP DEMİRYOLU ÜST YAPISI,RAY DÖŞEME VE SÖKME
DXME-KADX-KADX_MEKAME,Çelik beton kirişleri ile eleman montajı için bantlar (atölye ekipmanı),Equipment,Demiryolları,Mak.-saat,7211.383187248798,489.3336611099999,13933.432713387598,7211.383187248799,6,TRY,105093.8909821725,14.573333333333332,6,3,Demiryolları,RIVO,1520 MM GÜZERGAH ARALIĞINA SAHİP DEMİRYOLU ÜST YAPISI,RAY DÖŞEME VE SÖKME
DXME-KADX-KADX_MEKAPU,Montaj istasyonları (atölye ekipmanı),Equipment,Demiryolları,Mak.-saat,1243.3892285429997,54.57658499999999,2432.2018720859996,1243.3892285429997,56,TRY,142600.7580809437,114.68714285714285,56,28,Demiryolları,RIVO,1520 MM GÜZERGAH ARALIĞINA SAHİP DEMİRYOLU ÜST YAPISI,RAY DÖŞEME VE SÖKME
DXME-KADX-KADX_MEKARI,Ahşap traverslerle ray montajı için yarı otomatik bantlar (atölye ekipmanı),Equipment,Demiryolları,Mak.-saat,3588.0790019570995,317.32645738499997,6858.831546529199,3588.0790019570995,12,TRY,68173.50103718489,19.000000000000004,12,6,Demiryolları,RIVO,1520 MM GÜZERGAH ARALIĞINA SAHİP DEMİRYOLU ÜST YAPISI,RAY DÖŞEME VE SÖKME
DXME-KADX-KADX_MEKATO,Çelik beton traverslerin montajı için teknolojik hatlar (atölye ekipmanı),Equipment,Demiryolları,Mak.-saat,1719.4764247857,136.423270305,3302.5295792663997,1719.4764247857,18,TRY,22972.20503513695,13.360000000000001,18,9,Demiryolları,RIVO,1520 MM GÜZERGAH ARALIĞINA SAHİP DEMİRYOLU ÜST YAPISI,RAY DÖŞEME VE SÖKME
DXME-KADX-KALI_KAMELI,"Mıcır temizleme makineleri, güç 1000-1200 m3/saat, kendi kendine hareket etmeyen",Equipment,Demiryolları,Mak.-saat,54693.51915372346,54693.51915372344,54693.51915372344,54693.51915372344,14,TRY,332614.7300534296,6.081428571428572,14,14,Demiryolları,RIVO,1520 MM GÜZERGAH ARALIĞINA SAHİP DEMİRYOLU ÜST YAPISI,TAŞ DİBİNİN KAPSAMLI TEMİZLİĞİ VEYA DEĞİŞİMİ
