resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
DXDXDX_DXDXKAKA,Construction waste,Material,Tram tracks,t,,,,,0,GBP,,3.845374015748031,1016,1016,Tram tracks,TORI,LAYING TRACKS WITH TRAM AND RAILWAY RAILS ON WOODEN AND REINFORCED CONCRETE SLEEPERS,Laying and dismantling level crossings with rubber panel decking
DXDXDX_DXDXKAME,MATERIALS (see appendix),Material,Wells,,,,,,0,GBP,,,175,175,Wells,PU,WELL DRILLING,ROTARY DRILLING
DXDXDX_DXDXKARI,Stone surroundings,Material,Motorways,m3,,,,,0,GBP,,,6,6,Motorways,RILI,PREPARATION OF MATERIALS,Preparation of stone
DXDXDX_DXVODXDX,Construction waste and bulk returnable materials,Material,Partitions,t,,,,,0,GBP,,4.647183098591548,71,71,Partitions,SASA,PARTITIONS,Dismantling brick partitions into individual bricks
DXME-KADX-KADX_KAKAME,"Double-girder gantry cranes for use at link assembly bases, 10 t",Equipment,Railways,Machine hours,12.965000000000003,2.94,22.99,12.965,398,GBP,173.21698492462312,13.36035175879397,398,199,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_KAKARI,Laying cranes for 25 m rail sections on wooden sleepers,Equipment,Railways,Machine hours,207.07,207.07,207.07,207.07,23,GBP,1082.5286956521734,5.227826086956522,23,23,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_KAKATO,Laying cranes for 25 m rail sections on reinforced concrete sleepers,Equipment,Railways,Machine hours,244.34999999999994,244.35,244.35,244.35,113,GBP,973.5515044247788,3.9842477876106193,113,113,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKAME,Assembly lines for connecting links with reinforced concrete sleepers (workshop equipment),Equipment,Railways,Machine hours,71.91000000000001,14.16,129.66,71.91,6,GBP,1047.97,14.573333333333332,6,3,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKAPU,Assembly stands (workshop equipment),Equipment,Railways,Machine hours,12.105,1.58,22.63,12.105,56,GBP,1388.2876785714286,114.68714285714285,56,28,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKARI,Semi-automatic assembly lines for assembling links with wooden sleepers (shop equipment),Equipment,Railways,Machine hours,36.504999999999995,9.18,63.83,36.504999999999995,12,GBP,693.5958333333333,19.000000000000004,12,6,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
