resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
DXDXDX_DXDXKAKA,Chất thải xây dựng,Material,Đường ray xe điện,t,,,,,0,VND,,3.845374015748031,1016,1016,Đường ray xe điện,TORI,LÁT ĐƯỜNG VỚI ĐƯỜNG XE ĐIỆN VÀ RAILWAY RAILS TRÊN CÁC TẤM GỖ VÀ BÊ TÔNG CỐT THÉP,Lắp đặt và tháo dỡ các điểm giao cắt bằng ván cao su
DXDXDX_DXDXKAME,VẬT LIỆU (xem phụ lục),Material,Giếng,,,,,,0,VND,,,175,175,Giếng,PU,KHOAN GIẾNG,KHOAN XOAY
DXDXDX_DXDXKARI,Khu vực đá,Material,Đường cao tốc,m3,,,,,0,VND,,,6,6,Đường cao tốc,RILI,CHUẨN BỊ VẬT LIỆU,Chuẩn bị đá
DXDXDX_DXVODXDX,Chất thải xây dựng và vật liệu có thể trả lại,Material,Vách ngăn,t,,,,,0,VND,,4.647183098591548,71,71,Vách ngăn,SASA,VÁCH NGĂN,Tháo dỡ các vách ngăn gạch thành từng viên gạch riêng lẻ
DXME-KADX-KADX_KAKAME,"Cần cẩu cầu đôi cho sử dụng tại các cơ sở lắp ráp liên kết, 10 t",Equipment,Đường sắt,Giờ máy,490756.08561916056,111285.99241961683,870226.1788187044,490756.0856191606,398,VND,6556673.931640796,13.36035175879397,398,199,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,LẮP ĐẶT VÀ THÁO DỠ CÁC ĐƯỜNG RAY
DXME-KADX-KADX_KAKARI,Cần cẩu lắp đặt cho các đoạn ray dài 25 m trên dầm gỗ,Equipment,Đường sắt,Giờ máy,7838091.989908185,7838091.989908183,7838091.989908183,7838091.989908183,23,VND,40976181.776806936,5.227826086956522,23,23,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,LẮP ĐẶT VÀ THÁO DỠ CÁC ĐƯỜNG RAY
DXME-KADX-KADX_KAKATO,Lắp đặt cần cẩu cho các đoạn ray 25 m trên các thanh bê tông cốt thép,Equipment,Đường sắt,Giờ máy,9249228.655691624,9249228.655691624,9249228.655691624,9249228.655691624,113,VND,36851218.8085441,3.9842477876106193,113,113,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,LẮP ĐẶT VÀ THÁO DỠ CÁC ĐƯỜNG RAY
DXME-KADX-KADX_MEKAME,Dây chuyền lắp ráp để kết nối các liên kết với các thanh bê tông cốt thép (thiết bị xưởng),Equipment,Đường sắt,Giờ máy,2721964.52887573,535989.6777761137,4907939.379975347,2721964.5288757305,6,VND,39668096.40081565,14.573333333333332,6,3,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,LẮP ĐẶT VÀ THÁO DỠ CÁC ĐƯỜNG RAY
DXME-KADX-KADX_MEKAPU,Bệ lắp ráp (thiết bị xưởng),Equipment,Đường sắt,Giờ máy,458203.040217504,59806.75783095055,856599.3226040575,458203.040217504,56,VND,52549997.53100206,114.68714285714285,56,28,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,LẮP ĐẶT VÀ THÁO DỠ CÁC ĐƯỜNG RAY
DXME-KADX-KADX_MEKARI,Dây chuyền lắp ráp bán tự động cho việc lắp ráp các liên kết với thanh ray gỗ (thiết bị xưởng),Equipment,Đường sắt,Giờ máy,1381801.072543576,347484.8334734975,2416117.311613654,1381801.0725435757,12,VND,26254220.378327936,19.000000000000004,12,6,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,LẮP ĐẶT VÀ THÁO DỠ CÁC ĐƯỜNG RAY
DXME-KADX-KADX_MEKATO,Dây chuyền quy trình lắp ráp liên kết với thanh ray bê tông cốt thép (thiết bị xưởng),Equipment,Đường sắt,Giờ máy,656360.2410054952,149516.89457737637,1163203.587433614,656360.2410054952,18,VND,8768972.819833416,13.360000000000001,18,9,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,LẮP ĐẶT VÀ THÁO DỠ CÁC ĐƯỜNG RAY
DXME-KADX-KALI_KAMELI,"Máy làm sạch đá dăm, công suất 1000-1200 m3/h, không tự hành",Equipment,Đường sắt,Giờ máy,19265346.497240875,19265346.49724088,19265346.49724088,19265346.49724088,14,VND,117160828.62679204,6.081428571428572,14,14,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,VỆ SINH KỸ LƯỠNG HOẶC THAY THẾ ĐÁ BÓNG
DXME-KADX-KALI_KAMEME,Máy để làm đầy đường ray,Equipment,Công việc trên cao,Giờ máy,8873354.53843761,8873354.53843761,8873354.53843761,8873354.53843761,147,VND,8840154.912613524,0.9962585034013605,147,147,Công việc trên cao,RI,PHÁT TRIỂN ĐẤT VỚI MÁY KHOAN ĐƠN,KHAI THÁC ĐẤT BẰNG MÁY XÚC VÀ TẢI VÀO VẬN TẢI ĐƯỜNG SẮT
DXME-KADX-KALI_KAMENE,"Máy làm sạch đá dăm, công suất 800-1200 m3/h, tự hành",Equipment,Đường sắt,Giờ máy,31858075.734709628,31858075.73470963,31858075.73470963,31858075.73470963,7,VND,176084135.73941654,5.527142857142857,7,7,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,VỆ SINH KỸ LƯỠNG HOẶC THAY THẾ ĐÁ BÓNG
DXME-KADX-KALI_KAMEPU,"Máy làm sạch đá dăm, công suất 400-600 m3/h, không tự hành",Equipment,Đường sắt,Giờ máy,8514513.99145191,8514513.991451908,8514513.991451908,8514513.991451908,18,VND,125910740.79137047,14.787777777777778,18,18,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,THAY THẾ CÔNG TẮC ĐIỂM
DXME-KADX-KALI_KAMERI,Máy cắt ballast tự hành,Equipment,Đường sắt,Giờ máy,32210481.377371754,32210481.37737175,32210481.37737175,32210481.37737175,7,VND,271350298.1176589,8.424285714285714,7,7,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,VỆ SINH KỸ LƯỠNG HOẶC THAY THẾ ĐÁ BÓNG
DXME-KADX-KALI_KAMESA,"Máy làm sạch đá dăm, công suất 600-800 m3/h, không tự hành",Equipment,Đường sắt,Giờ máy,8974420.388696246,8974420.388696244,8974420.388696244,8974420.388696244,22,VND,30712914.13931546,3.422272727272727,22,22,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,THAY THẾ CÔNG TẮC ĐIỂM
DXME-KADX-KALI_KAMETO,"Máy cắt ballast ở đầu thanh ray, không tự hành",Equipment,Đường sắt,Giờ máy,5691105.0885338085,5691105.088533807,5691105.088533807,5691105.088533807,30,VND,9913905.06422589,1.7419999999999995,30,30,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,THAY THẾ CÁC LIÊN KẾT LƯỚI ĐƯỜNG SẮT
DXME-KADX-KALI_KAMEVO,"Máy làm sạch đá nghiền, công suất lên tới 600 m3/h, tự hành",Equipment,Đường sắt,Giờ máy,27845345.10327984,27845345.10327984,27845345.10327984,27845345.10327984,38,VND,243089862.75163293,8.729999999999999,38,38,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,THAY THẾ CÔNG TẮC ĐIỂM
DXME-KADX-KALI_KARIME,Máy làm phẳng ballast,Equipment,Đường sắt,Giờ máy,9540313.445387837,9540313.445387833,9540313.445387833,9540313.445387833,108,VND,27116574.243802804,2.8423148148148147,108,108,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,ĐỔ BÊ TÔNG ĐƯỜNG RAY VÀ CÁC CÔNG TẮC ĐIỂM
DXME-KADX-KALI_SAKAME,"Xe toa chứa-dispenser, dung tích thân lên đến 41 m3, tải trọng lên đến 71 t",Equipment,Đường sắt,Giờ máy,285028.40915636555,285028.40915636555,285028.40915636555,285028.40915636555,2,VND,158190.7670817829,0.555,2,2,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,CÁC LOẠI CÔNG VIỆC KHÁC
DXME-KADX-KALI_SAKAPU,"Máy làm sạch đá dăm, công suất 1000-2000 m3/h, tự hành",Equipment,Đường sắt,Giờ máy,65866545.08484729,65866545.084847294,65866545.084847294,65866545.084847294,7,VND,368288082.08870333,5.591428571428572,7,7,Đường sắt,RIVO,KẾT CẤU TRÊN CỦA ĐƯỜNG SẮT CÓ ĐỘ RỘNG 1520 MM,VỆ SINH KỸ LƯỠNG HOẶC THAY THẾ ĐÁ BÓNG
