resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
DXDXDX_DXDXKAKA,Construction waste,Material,Tram tracks,t,,,,,0,ZAR,,3.845374015748031,1016,1016,Tram tracks,TORI,LAYING TRACKS WITH TRAM AND RAILWAY RAILS ON WOODEN AND REINFORCED CONCRETE SLEEPERS,Laying and dismantling level crossings with rubber panel decking
DXDXDX_DXDXKAME,MATERIALS (see appendix),Material,Wells,,,,,,0,ZAR,,,175,175,Wells,PU,WELL DRILLING,ROTARY DRILLING
DXDXDX_DXDXKARI,Stone surroundings,Material,Motorways,m3,,,,,0,ZAR,,,6,6,Motorways,RILI,PREPARATION OF MATERIALS,Preparation of stone
DXDXDX_DXVODXDX,Construction waste and bulk returnable materials,Material,Partitions,t,,,,,0,ZAR,,4.647183098591548,71,71,Partitions,SASA,PARTITIONS,Dismantling brick partitions into individual bricks
DXME-KADX-KADX_KAKAME,"Double-girder gantry cranes for use at link assembly bases, 10 t",Equipment,Railways,Machine hours,304.20798307662176,68.98353029273183,539.4324358605118,304.2079830766218,398,ZAR,4064.3256617369107,13.36035175879397,398,199,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_KAKARI,Laying cranes for 25 m rail sections on wooden sleepers,Equipment,Railways,Machine hours,4858.646128474822,4858.646128474822,4858.646128474822,4858.646128474822,23,ZAR,25400.156977730985,5.227826086956522,23,23,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_KAKATO,Laying cranes for 25 m rail sections on reinforced concrete sleepers,Equipment,Railways,Machine hours,5733.376063615315,5733.376063615313,5733.376063615313,5733.376063615313,113,ZAR,22843.190896998996,3.9842477876106193,113,113,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKAME,Assembly lines for connecting links with reinforced concrete sleepers (workshop equipment),Equipment,Railways,Machine hours,1687.2808378742668,332.24720712417775,3042.3144686243563,1687.280837874267,6,ZAR,24589.306077287652,14.573333333333332,6,3,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKAPU,Assembly stands (workshop equipment),Equipment,Railways,Machine hours,284.0291272767071,37.07278158588989,530.9854729675242,284.029127276707,56,ZAR,32574.489095573306,114.68714285714285,56,28,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKARI,Semi-automatic assembly lines for assembling links with wooden sleepers (shop equipment),Equipment,Railways,Machine hours,856.5455011347534,215.39755377118303,1497.6934484983237,856.5455011347534,12,ZAR,16274.364521560316,19.000000000000004,12,6,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KADX_MEKATO,Process lines for assembling links with reinforced concrete sleepers (shop equipment),Equipment,Railways,Machine hours,406.8620460122346,92.68195396472473,721.0421380597445,406.8620460122346,18,ZAR,5435.676934723454,13.360000000000001,18,9,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,LAYING AND DISMANTLING OF TRACKS
DXME-KADX-KALI_KAMELI,"Crushed stone cleaning machines, capacity 1000-1200 m3/h, non-self-propelled",Equipment,Railways,Machine hours,11942.128427819318,11942.128427819316,11942.128427819316,11942.128427819316,14,ZAR,72625.20102460976,6.081428571428572,14,14,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,THOROUGH CLEANING OR REPLACEMENT OF BALLAST
DXME-KADX-KALI_KAMEME,Machines for ballasting railway tracks,Equipment,Overhead work,Machine hours,5500.380670483741,5500.380670483739,5500.380670483739,5500.380670483739,147,ZAR,5479.801014913901,0.9962585034013605,147,147,Overhead work,RI,SOIL DEVELOPMENT WITH SINGLE-BUCKET EXCAVATORS,EXCAVATOR SOIL EXCAVATION AND LOADING INTO RAILWAY TRANSPORT
DXME-KADX-KALI_KAMENE,"Crushed stone cleaning machines, capacity 800-1200 m3/h, self-propelled",Equipment,Railways,Machine hours,19748.060692372383,19748.060692372383,19748.060692372383,19748.060692372383,7,ZAR,109150.35259826963,5.527142857142857,7,7,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,THOROUGH CLEANING OR REPLACEMENT OF BALLAST
DXME-KADX-KALI_KAMEPU,"Crushed stone cleaning machines, capacity 400-600 m3/h, non-self-propelled",Equipment,Railways,Machine hours,5277.9439809684,5277.9439809684,5277.9439809684,5277.9439809684,18,ZAR,78049.06271412049,14.787777777777778,18,18,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,REPLACEMENT OF POINT SWITCHES
DXME-KADX-KALI_KAMERI,Self-propelled ballast cutting machines,Equipment,Railways,Machine hours,19966.508538299375,19966.50853829937,19966.50853829937,19966.50853829937,7,ZAR,168203.57264335913,8.424285714285714,7,7,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,THOROUGH CLEANING OR REPLACEMENT OF BALLAST
DXME-KADX-KALI_KAMESA,"Crushed stone cleaning machines, capacity 600-800 m3/h, non-self-propelled",Equipment,Railways,Machine hours,5563.028978606731,5563.028978606731,5563.028978606731,5563.028978606731,22,ZAR,19038.20235451367,3.422272727272727,22,22,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,REPLACEMENT OF POINT SWITCHES
DXME-KADX-KALI_KAMETO,"Rotary machines for cutting ballast at the ends of sleepers, non-self-propelled",Equipment,Railways,Machine hours,3527.7801971130016,3527.780197113003,3527.780197113003,3527.780197113003,30,ZAR,6145.393103370853,1.7419999999999995,30,30,Railways,RIVO,SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM,REPLACEMENT OF RAIL GRID LINKS
