resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
,,Other,土方工程,,,,,,0,CNY,,,252136,55719,土方工程,ME,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发
DXDXDX_DXDXKAKA,建筑垃圾,Material,电车轨道,吨,,,,,0,CNY,,3.845506761811024,1016,1016,电车轨道,TORI,在木制和钢筋混凝土轨枕上铺设电车轨道和铁路轨道,铺设和拆卸橡胶面板铺装的道口
DXDXDX_DXDXKAME,材料（见附件）,Material,钻孔,,,,,,0,CNY,,,175,175,钻孔,PU,钻井作业,旋转钻探
DXDXDX_DXDXKARI,石块周边,Material,公路,立方米,,,,,0,CNY,,,6,6,公路,RILI,材料准备,石料制备
DXDXDX_DXVODXDX,建筑垃圾和可回收材料,Material,隔墙,吨,,,,,0,CNY,,4.647235352112676,71,71,隔墙,SASA,隔断墙,将砖隔墙拆解为单独的砖块
DXME-KADX-KADX_KAKAME,用于轨道组装基地的双悬臂式龙门起重机，10吨,Equipment,铁路,台时,96.1612888,7.595600000000001,184.7269776,96.1612888,398,CNY,1284.746227834191,13.360326633165828,398,199,铁路,RIVO,1520毫米轨距铁路轨道上部结构,轨道铺设与拆卸
DXME-KADX-KADX_KAKARI,用于25米轨道段的铺轨起重机，木轨枕,Equipment,铁路,台时,1663.5235759999998,1663.523576,1663.523576,1663.523576,23,CNY,8696.611946879999,5.227826086956522,23,23,铁路,RIVO,1520毫米轨距铁路轨道上部结构,轨道铺设与拆卸
DXME-KADX-KADX_KAKATO,用于25米钢轨段在钢筋混凝土轨枕上的铺轨起重机,Equipment,铁路,台时,1962.985824800001,1962.9858248,1962.9858248,1962.9858248,113,CNY,7821.021929570406,3.9842477876106193,113,113,铁路,RIVO,1520毫米轨距铁路轨道上部结构,轨道铺设与拆卸
DXME-KADX-KADX_MEKAME,用于组装钢筋混凝土轨枕节段的流水线（车间设备）,Equipment,铁路,台时,539.1037823999999,36.58128000000001,1041.6262848,539.1037824,6,CNY,7856.539122176,14.573333333333332,6,3,铁路,RIVO,1520毫米轨距铁路轨道上部结构,轨道铺设与拆卸
DXME-KADX-KADX_MEKAPU,轨道组装台（车间设备）,Equipment,铁路,台时,92.95246399999999,4.08,181.824928,92.952464,56,CNY,10660.45251769143,114.68714285714285,56,28,铁路,RIVO,1520毫米轨距铁路轨道上部结构,轨道铺设与拆卸
DXME-KADX-KADX_MEKARI,半自动流水线，用于组装带木轨枕的轨道（车间设备）,Equipment,铁路,台时,268.23522080000004,23.72248,512.7479616,268.23522080000004,12,CNY,5096.469195199999,19.000000000000004,12,6,铁路,RIVO,1520毫米轨距铁路轨道上部结构,轨道铺设与拆卸
DXME-KADX-KADX_MEKATO,用于组装钢筋混凝土轨枕节段的生产线（车间设备）,Equipment,铁路,台时,128.5434736,10.19864,246.8883072,128.5434736,18,CNY,1717.340807296,13.360000000000001,18,9,铁路,RIVO,1520毫米轨距铁路轨道上部结构,轨道铺设与拆卸
DXME-KADX-KALI_KAMELI,碎石清理机，产能1000-1200立方米/小时，非自走式,Equipment,铁路,台时,4088.741685599999,4088.7416856,4088.7416856,4088.7416856,14,CNY,24865.390507998858,6.081428571428572,14,14,铁路,RIVO,1520毫米轨距铁路轨道上部结构,深度清理或更换道砟
DXME-KADX-KALI_KAMEME,铁路轨道道砟铺设机,Equipment,采矿顶板作业,台时,1883.2684728000004,1883.2684728,1883.2684728,1883.2684728,147,CNY,1876.222230214694,0.9962585034013605,147,147,采矿顶板作业,RI,单斗挖掘机开挖土方,挖掘机开挖土方并装载至铁路运输工具
