resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,فني,Labor,Labor,ساعة,87.73,87.73,87.73,87.73,1,AED,235.25,2.6815,968,898,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 21
002,عامل ماهر,Labor,Labor,ساعة,74.39,74.39,74.39,74.39,1,AED,234.4,3.1509,496,448,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 11
001,عامل غير ماهر,Labor,Labor,ساعة,67.64,67.64,67.64,67.64,1,AED,146.93,2.1722,341,327,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 11
211,خشب بلوط محلي,Material,General,,78.91,5.42,3312.41,5.42,2,AED,560.64,100.6957,270,175,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 55
251,مسامير عادية (إبر),Material,General,kg,152.52,2.47,1280.8,4.09,3,AED,31.59,2.0911,129,128,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
021,ماء,Material,General,m3,11.79,11.79,11.79,11.79,1,AED,2.67,0.2267,103,103,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
221,أسمنت عادي (من النوع اليوناني) بقيمة الأكياس الورقية كغ,Material,General,kg,0.44,0.44,0.44,0.44,1,AED,98.56,223.3854,96,55,Road works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال الطرق,أعمال الطرق - الفصل 25
1445,أعمال البناء 1445,Abstract Material,General,,260.06,260.06,260.06,260.06,1,AED,4.55,0.0175,88,88,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 42
214,زيت معدني,Material,General,kg,17.97,8.28,20.1,20.1,2,AED,115.61,5.7679,78,75,Hydraulic works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال هيدروليكية,الأعمال الهيدروليكية - الفصل 50
026,أسمنت عادي مع قيمة أكياس الورق,Material,General,kg,0.44,0.44,0.44,0.44,1,AED,99.32,225.1173,75,75,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
