resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Oficial,Labor,Labor,hora,21388.32,21388.32,21388.32,21388.32,1,ARS,57352.98,2.6815,968,898,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 21
002,Trabajador especializado,Labor,Labor,hora,18136.14,18136.14,18136.14,18136.14,1,ARS,57144.92,3.1509,496,448,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 11
001,Operario no cualificado,Labor,Labor,hora,16490.42,16490.42,16490.42,16490.42,1,ARS,35820.47,2.1722,341,327,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 11
211,Madera de roble nacional,Material,General,,19237.87,1321.79,807545.41,1321.79,2,ARS,136681.76,100.6957,270,175,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 55
251,Hojas comunes (agujas),Material,General,kg,37184.17,602.0,312250.89,998.13,3,ARS,7702.58,2.0911,129,128,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
021,Agua,Material,General,m3,2874.86,2874.86,2874.86,2874.86,1,ARS,651.74,0.2267,103,103,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
221,Cemento común (tipo griego) con el valor de las bolsas de papel Kg,Material,General,kg,107.57,107.57,107.57,107.57,1,ARS,24028.46,223.3854,96,55,Road works,Tarifas detalladas de obras (ΓΓΔΕ),Trabajos de carreteras,Trabajos de carreteras - capítulo 25
1445,OIK 1445,Abstract Material,General,,63401.04,63401.04,63401.04,63401.04,1,ARS,1110.25,0.0175,88,88,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 42
214,Aceite mineral,Material,General,kg,4382.05,2018.33,4899.11,4899.11,2,ARS,28183.95,5.7679,78,75,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 50
026,Cemento común con el valor de sacos de papel,Material,General,kg,107.57,107.57,107.57,107.57,1,ARS,24214.76,225.1173,75,75,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
201,"Madera aserrada (para andamios, techos, etc.) de origen nacional",Material,General,,312250.89,312250.89,312250.89,312250.89,1,ARS,29192.13,0.0935,75,75,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 23
203.2,"Madera aserrada blanca de origen de Europa Central 335,00 m3 .4 Madera aserrada autóctona de abeto",Material,General,,398389.07,398389.07,398389.07,398389.07,1,ARS,37135.21,0.0932,73,67,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 52
205,Madera aserrada de origen sueco A',Material,General,,516829.06,516829.06,516829.06,516829.06,1,ARS,21534.39,0.0417,69,59,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 54
116,"DISTRIBUIDOR DE ASFALTO (FINISHER) 18.1 BARBER GREEN 230, ancho máximo 8,00 m, potencia 18.2 BARBER GREEN 250, max.",Equipment,General,HМ,21837.59,21388.32,24926.35,21388.32,2,ARS,114764.23,5.1977,63,55,Road works,Tarifas detalladas de obras (ΓΓΔΕ),Trabajos de carreteras,Trabajos de carreteras - capítulo 12
081,"Piedras de cantera de cantera m3 11,01 MATERIALES PÉTREOS ARTIFICIALES",Material,General,,9632.4,9632.4,9632.4,9632.4,1,ARS,4234.94,0.4397,58,58,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 34
1444,OIK 1444,Abstract Material,General,,78727.6,78727.6,78727.6,78727.6,1,ARS,235.61,0.003,56,56,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 71
213,Zelatodinamiti 30%,Material,General,kg,3105.41,2018.33,4899.11,2018.33,2,ARS,13687.63,2.9575,53,47,Road works,Tarifas detalladas de obras (ΓΓΔΕ),Trabajos de carreteras,Trabajos de carreteras - capítulo 11
1407,OIK 1407,Abstract Material,General,,40490.33,40490.33,40490.33,40490.33,1,ARS,7817.1,0.1931,49,49,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
1417,OIK 1417,Abstract Material,General,,40574.8,40574.8,40574.8,40574.8,1,ARS,4512.75,0.1112,41,41,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 42
1447,OIK 1447,Abstract Material,General,,60453.82,60453.82,60453.82,60453.82,1,ARS,6955.35,0.1151,39,39,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 42
252,Anclajes de hierro con rosca (tuercas) con arandela,Material,General,kg,97043.03,2351.57,312250.89,2351.57,2,ARS,20235.46,1.1392,36,36,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 52
052,Arena de polvo fino,Material,General,,13469.86,13469.86,13469.86,13469.86,1,ARS,5766.84,0.4281,31,31,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 31
6501,Sistemas de fachada de vidrio continuo de la fachada del edificio de aluminio,Abstract Material,General,,251589.41,251589.41,251589.41,251589.41,1,ARS,240854.93,0.9573,30,30,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 65
265,Hierro en vigas y cuadrados,Material,General,kg,5037.2,937.4,123931.3,937.4,2,ARS,5325.9,1.308,30,29,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 48
222,Cemento limpio (sin tierra de Thira) con el valor de las bolsas de papel Kg,Material,General,kg,118.25,75.37,125.12,125.12,2,ARS,38544.68,308.6207,29,26,Road works,Tarifas detalladas de obras (ΓΓΔΕ),Trabajos de carreteras,Trabajos de carreteras - capítulo 25
6303,Tipos de aire (moldes inflables),Abstract Material,General,,21358.63,21358.63,21358.63,21358.63,1,ARS,109768.63,5.1393,29,29,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 67
051,Arena de mortero,Material,General,m3,13469.86,13469.86,13469.86,13469.86,1,ARS,8216.61,0.61,29,29,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
6328,ΥΔΡ 6328,Abstract Material,General,,170335.87,170335.87,170335.87,170335.87,1,ARS,220159.1,1.2925,28,28,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 67
319,"de 10 51 Perforadora rotatoria con capacidad de perforación en terrenos rocosos, agujero de diámetro 146 mm a una profundidad de 100 m, que incluye",Equipment,General,HМ,23763.37,23763.37,23763.37,23763.37,1,ARS,577.11,0.0243,28,4,Marine / port works,Tarifas detalladas de obras (ΓΓΔΕ),Trabajos marítimos / portuarios,Trabajos marítimos / portuarios - capítulo 42
6304,Precio adicional por la conformación de acabados terminados de superficies de hormigón,Abstract Material,General,,5915.34,5915.34,5915.34,5915.34,1,ARS,31826.79,5.3804,26,8,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 63
1476,OIK 1476,Abstract Material,General,,3323.96,3323.96,3323.96,3323.96,1,ARS,3390.45,1.02,25,25,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 54
6325,"Producción, transporte, extendido, compactación y mantenimiento de hormigón Producción o suministro y transporte in situ del hormigón de cualquier categoría o calidad, de acuerdo con las disposiciones del Reglamento de Tecnología del Hormigón (RTCH), del E.K.O.S. y las - Para construcciones de hormigón de categoría C10/12",Abstract Material,General,,123729.74,123729.74,123729.74,123729.74,1,ARS,24704.71,0.1997,24,24,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 67
6323,"Producción, transporte, extendido, compactación y mantenimiento del hormigón Producción o suministro y transporte in situ del hormigón de cualquier categoría o calidad, de acuerdo con las disposiciones del Reglamento de Tecnología del Hormigón (RTCH), del E.K.O.S. y las - Para construcciones de hormigón de categoría C8/10",Abstract Material,General,,112973.23,112973.23,112973.23,112973.23,1,ARS,15703.29,0.139,24,24,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 67
029,Cemento blanco nacional con valor de sacos por Kg,Material,General,,163.12,163.12,163.12,163.12,1,ARS,16522.25,101.2864,22,22,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
1502,OIK 1502,Abstract Material,General,,566124.9,566124.9,566124.9,566124.9,1,ARS,28306.3,0.05,21,8,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 31
331,"Mármol esquistoso de espesor 2 cm, rectificado, de hasta 1,50 m de longitud y procedencia de Penteli (blanco)",Material,General,m2,82746.49,82746.49,82746.49,82746.49,1,ARS,62721.83,0.758,20,20,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 74
441,papel de lija,Material,General,unidad,83.66,83.66,83.66,83.66,1,ARS,46.64,0.5575,20,20,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 77
1449,OIK 1449,Abstract Material,General,,54264.14,54264.14,54264.14,54264.14,1,ARS,1103.33,0.0203,18,18,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 73
6330,YD 6330,Abstract Material,General,,193150.92,193150.92,193150.92,193150.92,1,ARS,29358.94,0.152,18,6,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 63
032,Tierra de Thira,Material,General,,38762.18,38762.18,38762.18,38762.18,1,ARS,11990.43,0.3093,15,15,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
065,"Triturado (grava) de 0,4 a 1 cm",Material,General,,11294.87,11294.87,11294.87,11294.87,1,ARS,2953.22,0.2615,15,15,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 32
442,Smyridópano,Material,General,unidad,131.15,131.15,131.15,131.15,1,ARS,33.53,0.2554,14,14,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 77
6310,YD 6310,Abstract Material,General,,1541.1,1541.1,1541.1,1541.1,1,ARS,17248.07,11.192,14,8,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 63
6329.2,"Producción, transporte, extendido, compactación y mantenimiento del hormigón Producción o suministro y transporte en obra del hormigón de cualquier categoría o calidad, de acuerdo con las disposiciones del Reglamento de Tecnología del Hormigón (RTCH), del E.K.O.S. y las - Para construcciones de hormigón de categoría C20/25",Abstract Material,General,,177646.84,177646.84,177646.84,177646.84,1,ARS,28550.39,0.1607,14,8,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 63
321,"Mármol de peldaños de tamaño completo con longitud útil hasta 1,00 m y procedencia de Penteli (blanco)",Material,General,m,612.23,612.23,612.23,612.23,1,ARS,25866.08,36.3779,14,10,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 75
398.1,"Bentonita kg 0,210 .2 Varilla de anclaje de roca con extremo de resistencia a la fractura de 9t, longitud 1,50 m, pieza 42,30 .3 Varilla de anclaje de roca con extremo de resistencia a la fractura de 12 t, longitud 2,50 m, pieza 49,80 .4 Varilla de anclaje de roca PERFO, 1 pulg. y longitud 2,5 m o similares, pieza 71,20 .5 Láminas BERNOLD o similares kg 5,80 .6 Broca de diamante tipo GRAELIUS de 48 mm de diámetro, pieza 330,00 .7 Broca de diamante, diámetro 146 mm (muestra), pieza 1360,00 .8 Tubería de acero sin costura, diámetro interior 150 mm y espesor 4,5 mm, para revestimiento de perforaciones m 30,75 .9 Tubería de acero con costura longitudinal galvanizada, diámetro interior 650 mm y espesor 6 mm, para la tubería final de perforación de acuíferos ""MET""",Material,General,m,274.57,274.57,274.57,274.57,1,ARS,4118.48,15.0,14,14,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 71
061,"Sándwich de 0,7 a 7 cm de espesor",Material,General,,11844.0,11844.0,11844.0,11844.0,1,ARS,8959.53,0.7565,13,13,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 32
242,Tablero prensado (tablero de fibra) de 3 mm,Material,General,m2,34620.92,1615.09,398389.07,4845.27,3,ARS,23531.46,4.5546,13,12,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 56
056,"Chapas de revestimiento 0,7 hasta 7 cm",Material,General,,9249.09,9249.09,9249.09,9249.09,1,ARS,6889.86,0.7449,13,13,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 31
6314,ΥΔΡ 6314,Abstract Material,General,,2146.2,2146.2,2146.2,2146.2,1,ARS,17911.25,8.3456,13,7,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 63
112,Ladrillo (a cielo abierto) con orificios (a lo largo) de dimensiones 19 x 11 x 8 cm,Material,General,unidad,85.17,85.17,85.17,85.17,1,ARS,16764.05,196.8324,13,13,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 38
333,"Mármol de pizarra de 3 cm de espesor, rectificado, de hasta 1,50 m de longitud y m2 de origen Penteli (blanco)",Material,General,,120130.46,120130.46,120130.46,120130.46,1,ARS,99708.28,0.83,12,12,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 74
1501,OIK 1501,Abstract Material,General,,495324.91,495324.91,495324.91,495324.91,1,ARS,23800.34,0.048,12,12,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 21
266,Hierro de molde de todas las secciones simples con altura o lado inferior a 8 cm,Material,General,kg,670.26,670.26,670.26,670.26,1,ARS,1944.35,2.9009,11,10,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 61
457,Yeso preparado (masa),Material,General,kg,891.42,891.42,891.42,891.42,1,ARS,494.29,0.5545,11,11,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 76
484,Aceite mineral,Material,General,kg,4899.11,4899.11,4899.11,4899.11,1,ARS,10733.5,2.1909,11,11,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 11
6326,"Producción, transporte, extendido, compactación y mantenimiento del hormigón Producción o suministro y transporte in situ del proyecto de hormigón de cualquier categoría o calidad, de acuerdo con las disposiciones del Reglamento de Tecnología del Hormigón (RTCH), del E.K.O.S. y las - Para construcciones de hormigón de categoría C12/16",Abstract Material,General,,143099.18,143099.18,143099.18,143099.18,1,ARS,74000.16,0.5171,10,10,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 67
235,Hierro de forma con lado hasta 8 cm,Material,General,kg,670.26,670.26,670.26,670.26,1,ARS,136452.88,203.5812,10,9,Road works,Tarifas detalladas de obras (ΓΓΔΕ),Trabajos de carreteras,Trabajos de carreteras - capítulo 26
212,Gasolina It,Material,General,,1596.68,1596.68,1596.68,1596.68,1,ARS,18361.81,11.5,10,10,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 51
443,Aceite de linaza crudo,Material,General,kg,2140.43,2140.43,2140.43,2140.43,1,ARS,244.0,0.114,10,10,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
1446,OIK 1446,Abstract Material,General,,53452.72,53452.72,53452.72,53452.72,1,ARS,5003.16,0.0936,10,10,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 43
231,"Listones de madera de picea, de 4 a 7 cm de ancho, con un grosor mínimo de 22 mm y una longitud mínima de 40 cm, de origen americano",Material,General,m2,3267.11,998.13,23688.0,998.13,2,ARS,5641.32,3.265,10,10,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 53
363,Anclaje de gancho,Material,General,unidad,802.1,678.34,1915.93,678.34,2,ARS,6847.75,9.73,10,10,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
