resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Craftsman,Labor,Labor,hour,52.74,52.74,52.74,52.74,1,AUD,141.43,2.6815,968,898,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 21
002,Skilled laborer,Labor,Labor,hour,44.72,44.72,44.72,44.72,1,AUD,140.92,3.1509,496,448,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
001,Unskilled laborer,Labor,Labor,hour,40.67,40.67,40.67,40.67,1,AUD,88.33,2.1722,341,327,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
211,Domestic oak timber,Material,General,,47.44,3.26,1991.39,3.26,2,AUD,337.05,100.6957,270,175,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 55
251,Common nails (pins),Material,General,kg,91.7,1.48,770.0,2.46,3,AUD,18.99,2.0911,129,128,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
021,Water,Material,General,m3,7.09,7.09,7.09,7.09,1,AUD,1.61,0.2267,103,103,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
221,Common cement (Greek type) including the value of paper sacks Kg,Material,General,kg,0.27,0.27,0.27,0.27,1,AUD,59.25,223.3854,96,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 25
1445,BUI 1445,Abstract Material,General,,156.35,156.35,156.35,156.35,1,AUD,2.74,0.0175,88,88,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
214,Mineral oil,Material,General,kg,10.81,4.98,12.08,12.08,2,AUD,69.5,5.7679,78,75,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 50
026,Common cement including the value of paper bags,Material,General,kg,0.27,0.27,0.27,0.27,1,AUD,59.71,225.1173,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
201,"Carved timber (for scaffolding, roofs, etc.) of domestic origin",Material,General,,770.0,770.0,770.0,770.0,1,AUD,71.99,0.0935,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 23
203.2,"Sawn white timber originating from Central Europe 335,00 m3 .4 Domestic sawn fir timber",Material,General,,982.42,982.42,982.42,982.42,1,AUD,91.57,0.0932,73,67,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 52
205,Planed timber of Swedish origin A',Material,General,,1274.49,1274.49,1274.49,1274.49,1,AUD,53.1,0.0417,69,59,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 54
116,"ASPHALT CONCRETE PAVER (FINISHER) 18.1 BARBER GREEN 230, max. width 8,00 m, power 18.2 BARBER GREEN 250, max",Equipment,General,H.M,53.85,52.74,61.47,52.74,2,AUD,283.01,5.1977,63,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 12
081,"Slow quarry stones m3 11,01 ARTIFICIAL STONE MATERIALS",Material,General,,23.75,23.75,23.75,23.75,1,AUD,10.44,0.4397,58,58,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 34
1444,OIK 1444,Abstract Material,General,,194.14,194.14,194.14,194.14,1,AUD,0.58,0.003,56,56,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 71
213,Gelatodynamite 30%,Material,General,kg,7.66,4.98,12.08,4.98,2,AUD,33.75,2.9575,53,47,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 11
1407,OIK 1407,Abstract Material,General,,99.85,99.85,99.85,99.85,1,AUD,19.28,0.1931,49,49,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
1417,OIK 1417,Abstract Material,General,,100.06,100.06,100.06,100.06,1,AUD,11.13,0.1112,41,41,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
1447,BUILD 1447,Abstract Material,General,,149.08,149.08,149.08,149.08,1,AUD,17.15,0.1151,39,39,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
252,Threaded iron nails (bolts) with washer,Material,General,kg,239.31,5.8,770.0,5.8,2,AUD,49.9,1.1392,36,36,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 52
052,Sand for mortars,Material,General,,33.22,33.22,33.22,33.22,1,AUD,14.22,0.4281,31,31,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 31
6501,Continuous glass curtain wall systems for building facades made of aluminum,Abstract Material,General,,620.41,620.41,620.41,620.41,1,AUD,593.94,0.9573,30,30,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 65
265,Iron in strips and squares,Material,General,kg,12.42,2.31,305.61,2.31,2,AUD,13.13,1.308,30,29,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 48
222,Clean cement (without Thira earth) including the value of paper bags Kg,Material,General,kg,0.29,0.19,0.31,0.31,2,AUD,95.05,308.6207,29,26,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 25
6303,Pneumatic types (inflatable molds),Abstract Material,General,,52.67,52.67,52.67,52.67,1,AUD,270.69,5.1393,29,29,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
051,Mortar sand,Material,General,m3,33.22,33.22,33.22,33.22,1,AUD,20.26,0.61,29,29,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
6328,WAT 6328,Abstract Material,General,,420.04,420.04,420.04,420.04,1,AUD,542.91,1.2925,28,28,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
319,"from 10 51 Rotary drilling rig with the capability to drill rocky soils with a hole diameter of 146 mm to a depth of 100 m, including",Equipment,General,H.M,58.6,58.6,58.6,58.6,1,AUD,1.42,0.0243,28,4,Marine / port works,Detailed Project Pricing (GGDE),Marine / port works,Marine / port works - chapter 42
6304,Additional price for the formation of carefully finished concrete surface finishes,Abstract Material,General,,14.59,14.59,14.59,14.59,1,AUD,78.48,5.3804,26,8,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 63
1476,OIK 1476,Abstract Material,General,,8.2,8.2,8.2,8.2,1,AUD,8.36,1.02,25,25,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 54
6325,"Production, transportation, laying, compaction, and curing of concrete Production or supply and on-site transportation of concrete of any category or quality, in accordance with the provisions of the Concrete Technology Regulation (KTS), the E.K.O.S., and the - For constructions of concrete category C10/12",Abstract Material,General,,305.11,305.11,305.11,305.11,1,AUD,60.92,0.1997,24,24,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
6323,"Production, transport, laying, compaction, and curing of concrete Production or supply and on-site transport of concrete of any category or quality, according to the provisions of the Concrete Technology Regulation (KTS), the E.K.O.S., and - For constructions made of concrete category C8/10",Abstract Material,General,,278.59,278.59,278.59,278.59,1,AUD,38.72,0.139,24,24,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
029,Domestic white cement with the value of paper bags Kg,Material,General,,0.4,0.4,0.4,0.4,1,AUD,40.74,101.2864,22,22,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
1502,BUI 1502,Abstract Material,General,,1396.05,1396.05,1396.05,1396.05,1,AUD,69.8,0.05,21,8,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 31
331,"Schist marble thickness 2 cm squared, length up to 1,50 m and origin Penteli (white)",Material,General,m2,204.05,204.05,204.05,204.05,1,AUD,154.67,0.758,20,20,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 74
441,Sandpaper,Material,General,unit,0.21,0.21,0.21,0.21,1,AUD,0.12,0.5575,20,20,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 77
