resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Техник,Labor,Labor,час,15.3,15.3,15.3,15.3,1,BGN,41.02,2.6815,968,898,Building works,Аналитични цени на работите (ΓΓΔΕ),строителни работи,строителни работи - глава 21
002,специализиран работник,Labor,Labor,час,12.97,12.97,12.97,12.97,1,BGN,40.87,3.1509,496,448,Building works,Аналитични цени на работите (ΓΓΔΕ),строителни работи,строителни работи - глава 11
001,неграмотен работник,Labor,Labor,час,11.79,11.79,11.79,11.79,1,BGN,25.62,2.1722,341,327,Building works,Аналитични цени на работите (ΓΓΔΕ),строителни работи,строителни работи - глава 11
211,местна дъбова дървесина,Material,General,,13.76,0.95,577.52,0.95,2,BGN,97.75,100.6957,270,175,Building works,Аналитични цени на работите (ΓΓΔΕ),строителни работи,Строителни работи - глава 55
251,Обикновени хоросани (игли),Material,General,kg,26.59,0.43,223.31,0.71,3,BGN,5.51,2.0911,129,128,Building works,Аналитични цени на работите (ΓΓΔΕ),строителни работи,строителни работи - глава 14
021,Вода,Material,General,m3,2.06,2.06,2.06,2.06,1,BGN,0.47,0.2267,103,103,Building works,Аналитични цени на работите (ΓΓΔΕ),строителни работи,строителни работи - глава 14
221,Обикновен цимент (гръцки тип) с теглото на хартиените торби Kg,Material,General,kg,0.08,0.08,0.08,0.08,1,BGN,17.18,223.3854,96,55,Road works,Аналитични цени на работите (ΓΓΔΕ),Пътни работи,Пътни работи - глава 25
1445,ОИК 1445,Abstract Material,General,,45.34,45.34,45.34,45.34,1,BGN,0.79,0.0175,88,88,Building works,Аналитични цени на работите (ΓΓΔΕ),строителни работи,строителни работи - глава 42
214,Минерално масло,Material,General,kg,3.13,1.44,3.5,3.5,2,BGN,20.16,5.7679,78,75,Hydraulic works,Аналитични цени на работите (ΓΓΔΕ),Хидравлични работи,Хидравлични работи - глава 50
026,Обикновен цимент с стойност на торбите,Material,General,kg,0.08,0.08,0.08,0.08,1,BGN,17.32,225.1173,75,75,Building works,Аналитични цени на работите (ΓΓΔΕ),строителни работи,строителни работи - глава 14
