resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Ajudante,Labor,Labor,hora,96.31,96.31,96.31,96.31,1,BRL,258.25,2.6815,968,898,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 21
002,Operário especializado,Labor,Labor,hora,81.66,81.66,81.66,81.66,1,BRL,257.31,3.1509,496,448,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 11
001,Operário não qualificado,Labor,Labor,hora,74.25,74.25,74.25,74.25,1,BRL,161.29,2.1722,341,327,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 11
211,Madeira de carvalho nacional,Material,General,,86.62,5.95,3636.19,5.95,2,BRL,615.45,100.6957,270,175,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 55
251,Hastes comuns (agulhas),Material,General,kg,167.43,2.71,1405.99,4.49,3,BRL,34.68,2.0911,129,128,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 14
021,Água,Material,General,m3,12.94,12.94,12.94,12.94,1,BRL,2.93,0.2267,103,103,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 14
221,Cimento comum (tipo grego) com o valor das sacolas de papel Kg,Material,General,kg,0.48,0.48,0.48,0.48,1,BRL,108.19,223.3854,96,55,Road works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de pavimentação,Obras rodoviárias - capítulo 25
1445,OIK 1445,Abstract Material,General,,285.48,285.48,285.48,285.48,1,BRL,5.0,0.0175,88,88,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 42
214,Óleo mineral,Material,General,kg,19.73,9.09,22.06,22.06,2,BRL,126.91,5.7679,78,75,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 50
026,Cimento comum com o valor de sacos de papel,Material,General,kg,0.48,0.48,0.48,0.48,1,BRL,109.03,225.1173,75,75,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 14
201,"Madeira serrada (para andaimes, telhados etc.) de origem nacional",Material,General,,1405.99,1405.99,1405.99,1405.99,1,BRL,131.45,0.0935,75,75,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Capítulo 23 - trabalhos de construção
203.2,"Madeira serrada branca de origem da Europa Central 335,00 m3 .4 Madeira serrada de abeto doméstico",Material,General,,1793.85,1793.85,1793.85,1793.85,1,BRL,167.21,0.0932,73,67,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 52
205,Madeira serrada de origem sueca A',Material,General,,2327.16,2327.16,2327.16,2327.16,1,BRL,96.96,0.0417,69,59,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 54
116,"ASFALTADORA DE REBOCO (FINISHER) 18.1 BARBER GREEN 230, largura máxima 8,00 m, potência 18.2 BARBER GREEN 250,",Equipment,General,H.M,98.33,96.31,112.24,96.31,2,BRL,516.76,5.1977,63,55,Road works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de pavimentação,Obras rodoviárias - capítulo 12
081,"Pedras de pedreira artificial m3 11,01",Material,General,,43.37,43.37,43.37,43.37,1,BRL,19.07,0.4397,58,58,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 34
1444,OIK 1444,Abstract Material,General,,354.49,354.49,354.49,354.49,1,BRL,1.06,0.003,56,56,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 71
213,Zelatodinamítica 30%,Material,General,kg,13.98,9.09,22.06,9.09,2,BRL,61.63,2.9575,53,47,Road works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de pavimentação,Obras rodoviárias - capítulo 11
1407,OIK 1407,Abstract Material,General,,182.32,182.32,182.32,182.32,1,BRL,35.2,0.1931,49,49,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 14
1417,OIK 1417,Abstract Material,General,,182.7,182.7,182.7,182.7,1,BRL,20.32,0.1112,41,41,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 42
1447,OIK 1447,Abstract Material,General,,272.21,272.21,272.21,272.21,1,BRL,31.32,0.1151,39,39,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 42
252,Porcas de aço com arruela,Material,General,kg,436.96,10.59,1405.99,10.59,2,BRL,91.12,1.1392,36,36,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 52
052,Areia de partículas finas,Material,General,,60.65,60.65,60.65,60.65,1,BRL,25.97,0.4281,31,31,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 31
6501,Sistemas de fachada contínua de vidro de edifício de alumínio,Abstract Material,General,,1132.85,1132.85,1132.85,1132.85,1,BRL,1084.51,0.9573,30,30,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 65
265,Aço em vigas e quadrados,Material,General,kg,22.68,4.22,558.03,4.22,2,BRL,23.98,1.308,30,29,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 48
222,Cimento limpo (sem argila de Thira) com o valor das sacolas de papel Kg,Material,General,kg,0.53,0.34,0.56,0.56,2,BRL,173.56,308.6207,29,26,Road works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de pavimentação,Obras rodoviárias - capítulo 25
6303,Tipos de ar comprimido (moldes infláveis),Abstract Material,General,,96.17,96.17,96.17,96.17,1,BRL,494.26,5.1393,29,29,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 67
051,Areia para argamassas,Material,General,m3,60.65,60.65,60.65,60.65,1,BRL,37.0,0.61,29,29,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 14
6328,YDR 6328,Abstract Material,General,,766.98,766.98,766.98,766.98,1,BRL,991.33,1.2925,28,28,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 67
319,"de 10 51 Broca rotativa de perfuração com capacidade de perfuração de solos rochosos, diâmetro de 146 mm, profundidade de 100 m, que inclui",Equipment,General,H.M,107.0,107.0,107.0,107.0,1,BRL,2.6,0.0243,28,4,Marine / port works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras marítimas / portuárias,Obras marítimas / portuárias - capítulo 42
6304,Valor adicional para a preparação de acabamentos acabados de superfícies de betão,Abstract Material,General,,26.64,26.64,26.64,26.64,1,BRL,143.31,5.3804,26,8,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 63
1476,OIK 1476,Abstract Material,General,,14.97,14.97,14.97,14.97,1,BRL,15.27,1.02,25,25,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 54
6325,"Produção, transporte, espalhamento, compactação e manutenção de concreto Produção ou fornecimento e transporte no local da obra de concreto de qualquer categoria ou qualidade, de acordo com as disposições do Regulamento de Tecnologia do Concreto (RTC), do E.K.O.S. e as - Para construções de concreto da categoria C10/12",Abstract Material,General,,557.13,557.13,557.13,557.13,1,BRL,111.24,0.1997,24,24,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 67
6323,"Produção, transporte, espalhamento, compactação e manutenção de concreto Produção ou fornecimento e transporte no local da obra de concreto de qualquer categoria ou qualidade, de acordo com as disposições do Regulamento de Tecnologia do Concreto (RTC), do E.K.O.S. e as - Para construções de concreto da categoria C8/10",Abstract Material,General,,508.69,508.69,508.69,508.69,1,BRL,70.71,0.139,24,24,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 67
029,Cimento branco nacional com valor de sacos Kg,Material,General,,0.73,0.73,0.73,0.73,1,BRL,74.4,101.2864,22,22,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 14
1502,OIK 1502,Abstract Material,General,,2549.13,2549.13,2549.13,2549.13,1,BRL,127.46,0.05,21,8,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 31
331,"Mármore folheado de espessura 2 cm, retificado, com comprimento até 1,50 m e origem Penteli (branco)",Material,General,m2,372.59,372.59,372.59,372.59,1,BRL,282.42,0.758,20,20,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 74
441,Lixa de papel,Material,General,un,0.38,0.38,0.38,0.38,1,BRL,0.21,0.5575,20,20,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 77
1449,OIK 1449,Abstract Material,General,,244.34,244.34,244.34,244.34,1,BRL,4.97,0.0203,18,18,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 73
6330,YDR 6330,Abstract Material,General,,869.71,869.71,869.71,869.71,1,BRL,132.2,0.152,18,6,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 63
032,TERRA DE CRETA,Material,General,,174.54,174.54,174.54,174.54,1,BRL,53.99,0.3093,15,15,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 14
065,"Brita (granulado) de diâmetro 0,4 a 1 cm",Material,General,,50.86,50.86,50.86,50.86,1,BRL,13.3,0.2615,15,15,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 32
442,Tecido de asfalto para telhados,Material,General,un,0.59,0.59,0.59,0.59,1,BRL,0.15,0.2554,14,14,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 77
6310,YDR 6310,Abstract Material,General,,6.94,6.94,6.94,6.94,1,BRL,77.66,11.192,14,8,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 63
6329.2,"Produção, transporte, espalhamento, compactação e cura de concreto Produção ou fornecimento e transporte no local da obra de concreto de qualquer categoria ou resistência, de acordo com as disposições do Regulamento de Tecnologia do Concreto (RTC), do E.K.O.S. e as - Para construções de concreto da categoria C20/25",Abstract Material,General,,799.9,799.9,799.9,799.9,1,BRL,128.56,0.1607,14,8,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 63
321,"Mármore de degraus de comprimento útil até 1,00 m e origem Pentéli (branco)",Material,General,m,2.76,2.76,2.76,2.76,1,BRL,116.47,36.3779,14,10,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 75
398.1,"Bentonita kg 0,210 .2 Vara de ancoragem de rocha com extremidade de resistência à trinca de 9t, comprimento 1,50 m, peça 42,30 .3 Vara de ancoragem de rocha com extremidade de resistência à trinca de 12 t, comprimento 2,50 m, peça 49,80 .4 Vara de ancoragem de rocha PERFO, 1 polegada e comprimento 2,5 m ou similares, peça 71,20 .5 Flanges BERNOLD ou similares, kg 5,80 .6 Broca de diamante do tipo GRAELIUS de diâmetro 48 mm, peça 330,00 .7 Broca de diamante de diâmetro 146 mm (amostragem), peça 1360,00 .8 Tubo de aço sem costura, diâmetro interno 150 mm e espessura 4,5 mm, para revestimento de perfurações, m 30,75 .9 Tubo de aço com costura longitudinal, galvanizado, diâmetro interno 650 mm e espessura 6 mm, para a tubulação final de poço de água subterrânea ""MET""",Material,General,m,1.24,1.24,1.24,1.24,1,BRL,18.54,15.0,14,14,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 71
061,"Screed de revestimento 0,7 até 7 cm",Material,General,,53.33,53.33,53.33,53.33,1,BRL,40.34,0.7565,13,13,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 32
242,Revestimento de mapa (hardboard) com espessura de 3 mm,Material,General,m2,155.89,7.27,1793.85,21.82,3,BRL,105.96,4.5546,13,12,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 56
056,"Chapas de revestimento 0,7 até 7 cm",Material,General,,41.65,41.65,41.65,41.65,1,BRL,31.02,0.7449,13,13,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 31
6314,ΥΔΡ 6314,Abstract Material,General,,9.66,9.66,9.66,9.66,1,BRL,80.65,8.3456,13,7,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 63
112,Lajota (aberta) com orifícios (com furos ao longo) 19 x 11 x 8 cm,Material,General,un,0.38,0.38,0.38,0.38,1,BRL,75.48,196.8324,13,13,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 38
333,"Mármore folhado de espessura 3 cm, retificado, com comprimento até 1,50 m e área de origem Pentélis (branco)",Material,General,,540.92,540.92,540.92,540.92,1,BRL,448.96,0.83,12,12,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 74
