resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Craftsman,Labor,Labor,hour,43.99,43.99,43.99,43.99,1,CAD,117.95,2.6815,968,898,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 21
002,Skilled laborer,Labor,Labor,hour,37.3,37.3,37.3,37.3,1,CAD,117.52,3.1509,496,448,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
001,Unskilled laborer,Labor,Labor,hour,33.91,33.91,33.91,33.91,1,CAD,73.67,2.1722,341,327,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
211,Domestic oak timber,Material,General,,39.56,2.72,1660.77,2.72,2,CAD,281.09,100.6957,270,175,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 55
251,Common nails (pins),Material,General,kg,76.47,1.24,642.16,2.05,3,CAD,15.84,2.0911,129,128,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
021,Water,Material,General,m3,5.91,5.91,5.91,5.91,1,CAD,1.34,0.2267,103,103,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
221,Common cement (Greek type) including the value of paper sacks Kg,Material,General,kg,0.22,0.22,0.22,0.22,1,CAD,49.42,223.3854,96,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 25
1445,BUI 1445,Abstract Material,General,,130.39,130.39,130.39,130.39,1,CAD,2.28,0.0175,88,88,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
214,Mineral oil,Material,General,kg,9.01,4.15,10.08,10.08,2,CAD,57.96,5.7679,78,75,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 50
026,Common cement including the value of paper bags,Material,General,kg,0.22,0.22,0.22,0.22,1,CAD,49.8,225.1173,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
201,"Carved timber (for scaffolding, roofs, etc.) of domestic origin",Material,General,,642.16,642.16,642.16,642.16,1,CAD,60.04,0.0935,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 23
203.2,"Sawn white timber originating from Central Europe 335,00 m3 .4 Domestic sawn fir timber",Material,General,,819.31,819.31,819.31,819.31,1,CAD,76.37,0.0932,73,67,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 52
205,Planed timber of Swedish origin A',Material,General,,1062.89,1062.89,1062.89,1062.89,1,CAD,44.29,0.0417,69,59,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 54
116,"ASPHALT CONCRETE PAVER (FINISHER) 18.1 BARBER GREEN 230, max. width 8,00 m, power 18.2 BARBER GREEN 250, max",Equipment,General,H.M,44.91,43.99,51.26,43.99,2,CAD,236.02,5.1977,63,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 12
081,"Slow quarry stones m3 11,01 ARTIFICIAL STONE MATERIALS",Material,General,,19.81,19.81,19.81,19.81,1,CAD,8.71,0.4397,58,58,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 34
1444,OIK 1444,Abstract Material,General,,161.91,161.91,161.91,161.91,1,CAD,0.48,0.003,56,56,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 71
213,Gelatodynamite 30%,Material,General,kg,6.39,4.15,10.08,4.15,2,CAD,28.15,2.9575,53,47,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 11
1407,OIK 1407,Abstract Material,General,,83.27,83.27,83.27,83.27,1,CAD,16.08,0.1931,49,49,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
1417,OIK 1417,Abstract Material,General,,83.44,83.44,83.44,83.44,1,CAD,9.28,0.1112,41,41,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
1447,BUILD 1447,Abstract Material,General,,124.33,124.33,124.33,124.33,1,CAD,14.3,0.1151,39,39,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
252,Threaded iron nails (bolts) with washer,Material,General,kg,199.58,4.84,642.16,4.84,2,CAD,41.62,1.1392,36,36,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 52
052,Sand for mortars,Material,General,,27.7,27.7,27.7,27.7,1,CAD,11.86,0.4281,31,31,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 31
6501,Continuous glass curtain wall systems for building facades made of aluminum,Abstract Material,General,,517.41,517.41,517.41,517.41,1,CAD,495.33,0.9573,30,30,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 65
265,Iron in strips and squares,Material,General,kg,10.36,1.93,254.87,1.93,2,CAD,10.95,1.308,30,29,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 48
222,Clean cement (without Thira earth) including the value of paper bags Kg,Material,General,kg,0.24,0.16,0.26,0.26,2,CAD,79.27,308.6207,29,26,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 25
6303,Pneumatic types (inflatable molds),Abstract Material,General,,43.93,43.93,43.93,43.93,1,CAD,225.75,5.1393,29,29,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
051,Mortar sand,Material,General,m3,27.7,27.7,27.7,27.7,1,CAD,16.9,0.61,29,29,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
6328,WAT 6328,Abstract Material,General,,350.31,350.31,350.31,350.31,1,CAD,452.77,1.2925,28,28,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
319,"from 10 51 Rotary drilling rig with the capability to drill rocky soils with a hole diameter of 146 mm to a depth of 100 m, including",Equipment,General,H.M,48.87,48.87,48.87,48.87,1,CAD,1.19,0.0243,28,4,Marine / port works,Detailed Project Pricing (GGDE),Marine / port works,Marine / port works - chapter 42
