resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Artisan,Labor,Labor,heure,8152.0,8152.0,8152.0,8152.0,1,XOF,21859.68,2.6815,968,898,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 21
002,Ouvrier qualifié,Labor,Labor,heure,6912.46,6912.46,6912.46,6912.46,1,XOF,21780.38,3.1509,496,448,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 11
001,Ouvrier non qualifié,Labor,Labor,heure,6285.2,6285.2,6285.2,6285.2,1,XOF,13652.72,2.1722,341,327,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 11
211,Bois de chêne local,Material,General,,7332.38,503.79,307790.13,503.79,2,XOF,52095.27,100.6957,270,175,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 55
251,Clous communs (aiguilles),Material,General,kg,14172.48,229.45,119012.18,380.43,3,XOF,2935.78,2.0911,129,128,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
021,Eau,Material,General,m3,1095.73,1095.73,1095.73,1095.73,1,XOF,248.41,0.2267,103,103,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
221,Ciment ordinaire (type grec) avec la valeur des sacs en papier Kg,Material,General,kg,41.0,41.0,41.0,41.0,1,XOF,9158.28,223.3854,96,55,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 25
1445,OIK 1445,Abstract Material,General,,24164.85,24164.85,24164.85,24164.85,1,XOF,423.16,0.0175,88,88,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 42
214,Pétrole brut,Material,General,kg,1670.18,769.27,1867.26,1867.26,2,XOF,10742.11,5.7679,78,75,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 50
026,Ciment commun avec la valeur des sacs en papier,Material,General,kg,41.0,41.0,41.0,41.0,1,XOF,9229.28,225.1173,75,75,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
201,"Bois scié (pour échafaudages, toits, etc.) d'origine intérieure",Material,General,,119012.18,119012.18,119012.18,119012.18,1,XOF,11126.37,0.0935,75,75,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 23
203.2,"Bois scié blanc d'origine d'Europe centrale 335,00 m3 .4 Bois scié domestique d'épicéa",Material,General,,151843.13,151843.13,151843.13,151843.13,1,XOF,14153.82,0.0932,73,67,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 52
205,Bois scié d'origine suédoise A',Material,General,,196985.68,196985.68,196985.68,196985.68,1,XOF,8207.68,0.0417,69,59,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 54
116,"FINISSEUR D'ASPHALTE (FINISHER) 18.1 BARBER GREEN 230, largeur max. 8,00 m, puissance 18.2 BARBER GREEN 250,",Equipment,General,H.M,8323.24,8152.0,9500.5,8152.0,2,XOF,43741.56,5.1977,63,55,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 12
