resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Artisan,Labor,Labor,heure,7476.68,7476.68,7476.68,7476.68,1,XAF,20048.79,2.6815,968,898,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 21
002,Ouvrier qualifié,Labor,Labor,heure,6339.82,6339.82,6339.82,6339.82,1,XAF,19976.06,3.1509,496,448,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 11
001,Ouvrier non qualifié,Labor,Labor,heure,5764.53,5764.53,5764.53,5764.53,1,XAF,12521.71,2.1722,341,327,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 11
211,Bois de chêne local,Material,General,,6724.95,462.06,282292.34,462.06,2,XAF,47779.62,100.6957,270,175,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 55
251,Clous communs (aiguilles),Material,General,kg,12998.41,210.44,109153.04,348.91,3,XAF,2692.58,2.0911,129,128,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
021,Eau,Material,General,m3,1004.96,1004.96,1004.96,1004.96,1,XAF,227.83,0.2267,103,103,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
221,Ciment ordinaire (type grec) avec la valeur des sacs en papier Kg,Material,General,kg,37.6,37.6,37.6,37.6,1,XAF,8399.59,223.3854,96,55,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 25
1445,OIK 1445,Abstract Material,General,,22163.0,22163.0,22163.0,22163.0,1,XAF,388.11,0.0175,88,88,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 42
214,Pétrole brut,Material,General,kg,1531.82,705.54,1712.57,1712.57,2,XAF,9852.22,5.7679,78,75,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 50
026,Ciment commun avec la valeur des sacs en papier,Material,General,kg,37.6,37.6,37.6,37.6,1,XAF,8464.71,225.1173,75,75,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
