resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Mistr,Labor,Labor,hodina,489.88,489.88,489.88,489.88,1,CZK,1313.63,2.6815,968,898,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 21
002,Specializovaný pracovník,Labor,Labor,hodina,415.39,415.39,415.39,415.39,1,CZK,1308.86,3.1509,496,448,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 11
001,Nedělní dělník,Labor,Labor,hodina,377.7,377.7,377.7,377.7,1,CZK,820.44,2.1722,341,327,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 11
211,domácí dubové dřevo,Material,General,,440.63,30.27,18496.19,30.27,2,CZK,3130.59,100.6957,270,175,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 55
251,Obecné hřebíky (špendlíky),Material,General,kg,851.67,13.79,7151.86,22.86,3,CZK,176.42,2.0911,129,128,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 14
021,Voda,Material,General,m3,65.85,65.85,65.85,65.85,1,CZK,14.93,0.2267,103,103,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 14
221,Portland cement (Greek type) with the value of paper bags Kg,Material,General,kg,2.46,2.46,2.46,2.46,1,CZK,550.35,223.3854,96,55,Road works,Podrobný rozpočet prací (ΓΓΔΕ),Silniční práce,Silniční práce - kapitola 25
1445,OIK 1445,Abstract Material,General,,1452.15,1452.15,1452.15,1452.15,1,CZK,25.43,0.0175,88,88,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 42
214,Minerální olej,Material,General,kg,100.37,46.23,112.21,112.21,2,CZK,645.53,5.7679,78,75,Hydraulic works,Podrobný rozpočet prací (ΓΓΔΕ),Hydraulické práce,Hydraulické práce - kapitola 50
026,Všeobecná cementová směs,Material,General,kg,2.46,2.46,2.46,2.46,1,CZK,554.62,225.1173,75,75,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 14
201,"Dřevo řezané (pro lešení, střechy atd.) původem z vnitrozemí",Material,General,,7151.86,7151.86,7151.86,7151.86,1,CZK,668.62,0.0935,75,75,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 23
203.2,"Řezivo bílé, původ střední Evropa 335,00 m3 .4 Řezivo domácí smrk",Material,General,,9124.79,9124.79,9124.79,9124.79,1,CZK,850.55,0.0932,73,67,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 52
205,Řezivo pocházející ze Švédska A',Material,General,,11837.56,11837.56,11837.56,11837.56,1,CZK,493.23,0.0417,69,59,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 54
116,"DILATAČ ASFALTOVÉHO ZÁKLADU (FINISHER) 18.1 BARBER GREEN 230, max. šířka 8,00 m, výkon 18.2 BARBER GREEN 250, max",Equipment,General,H,500.17,489.88,570.92,489.88,2,CZK,2628.58,5.1977,63,55,Road works,Podrobný rozpočet prací (ΓΓΔΕ),Silniční práce,Silniční práce - kapitola 12
081,"Lámanové kameny z lomu m3 11,01 UMĚLÉ KAMENY",Material,General,,220.62,220.62,220.62,220.62,1,CZK,97.0,0.4397,58,58,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 34
1444,ΟΙΚ 1444,Abstract Material,General,,1803.19,1803.19,1803.19,1803.19,1,CZK,5.4,0.003,56,56,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 71
213,Gelatodynamitida 30%,Material,General,kg,71.13,46.23,112.21,46.23,2,CZK,313.5,2.9575,53,47,Road works,Podrobný rozpočet prací (ΓΓΔΕ),Silniční práce,Silniční práce - kapitola 11
1407,OIK 1407,Abstract Material,General,,927.4,927.4,927.4,927.4,1,CZK,179.04,0.1931,49,49,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 14
1417,ΟΙΚ 1417,Abstract Material,General,,929.33,929.33,929.33,929.33,1,CZK,103.36,0.1112,41,41,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 42
1447,OIK 1447,Abstract Material,General,,1384.65,1384.65,1384.65,1384.65,1,CZK,159.31,0.1151,39,39,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 42
252,Ocelové šroubové hřebíky (šroubky) s podložkou,Material,General,kg,2222.69,53.86,7151.86,53.86,2,CZK,463.48,1.1392,36,36,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 52
052,písek z drceného písku,Material,General,,308.52,308.52,308.52,308.52,1,CZK,132.08,0.4281,31,31,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 31
6501,Systémy kontinuálního skleněného obkladu fasád budovy z hliníku,Abstract Material,General,,5762.46,5762.46,5762.46,5762.46,1,CZK,5516.59,0.9573,30,30,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 65
265,Ocel v deskách a čtvercích,Material,General,kg,115.37,21.47,2838.55,21.47,2,CZK,121.99,1.308,30,29,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 48
222,Čisté cementové (bez Thiraické hlíny) s hodnotou papírových pytlů Kg,Material,General,kg,2.71,1.73,2.87,2.87,2,CZK,882.84,308.6207,29,26,Road works,Podrobný rozpočet prací (ΓΓΔΕ),Silniční práce,Silniční práce - kapitola 25
6303,Pneumatické formy (nafukovací formy),Abstract Material,General,,489.2,489.2,489.2,489.2,1,CZK,2514.16,5.1393,29,29,Hydraulic works,Podrobný rozpočet prací (ΓΓΔΕ),Hydraulické práce,Hydraulické práce - kapitola 67
051,písek na maltu,Material,General,m3,308.52,308.52,308.52,308.52,1,CZK,188.2,0.61,29,29,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 14
6328,YDR 6328,Abstract Material,General,,3901.41,3901.41,3901.41,3901.41,1,CZK,5042.57,1.2925,28,28,Hydraulic works,Podrobný rozpočet prací (ΓΓΔΕ),Hydraulické práce,Hydraulické práce - kapitola 67
319,"od 10 51 Rotující geotermální vrtná souprava s vrtací kapacitou pro tvrdé půdy, otvor o průměru 146 mm do hloubky 100 m, která zahrnuje",Equipment,General,H,544.28,544.28,544.28,544.28,1,CZK,13.22,0.0243,28,4,Marine / port works,Podrobný rozpočet prací (ΓΓΔΕ),Marine / port works,Práce na moři / přístavech - kapitola 42
6304,Přídavná cena za úpravu dokončených povrchů betonových konstrukcí,Abstract Material,General,,135.49,135.49,135.49,135.49,1,CZK,728.97,5.3804,26,8,Hydraulic works,Podrobný rozpočet prací (ΓΓΔΕ),Hydraulické práce,Hydraulické práce - kapitola 63
1476,ΟΙΚ 1476,Abstract Material,General,,76.13,76.13,76.13,76.13,1,CZK,77.66,1.02,25,25,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 54
6325,"Výroba, přeprava, rozprostření, zhutnění a údržba betonu Výroba nebo dodávka a přeprava na místě stavby betonu jakékoliv třídy nebo kvality, v souladu s předpisy Technologických předpisů pro beton (KTS), E.K.O.S. a - Pro konstrukce z betonu třídy C10/12",Abstract Material,General,,2833.93,2833.93,2833.93,2833.93,1,CZK,565.84,0.1997,24,24,Hydraulic works,Podrobný rozpočet prací (ΓΓΔΕ),Hydraulické práce,Hydraulické práce - kapitola 67
6323,"Výroba, přeprava, rozprostření, zhutnění a údržba betonu Výroba nebo dodávka a přeprava na místě stavby betonu jakéhokoliv druhu nebo kvality v souladu s předpisy Technologického předpisu pro beton (KTS), E.K.O.S. a - Pro konstrukce z betonu třídy C8/10",Abstract Material,General,,2587.56,2587.56,2587.56,2587.56,1,CZK,359.67,0.139,24,24,Hydraulic works,Podrobný rozpočet prací (ΓΓΔΕ),Hydraulické práce,Hydraulické práce - kapitola 67
029,Bílý domácí cement s hodnotou pytlů Kg,Material,General,,3.74,3.74,3.74,3.74,1,CZK,378.43,101.2864,22,22,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 14
1502,OIK 1502,Abstract Material,General,,12966.65,12966.65,12966.65,12966.65,1,CZK,648.33,0.05,21,8,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 31
331,"Žulový břidlicový mramor o tloušťce 2 cm, opracovaný do pravého úhlu, délky až 1,50 m a původu Penteli (bílý)",Material,General,m2,1895.24,1895.24,1895.24,1895.24,1,CZK,1436.59,0.758,20,20,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 74
441,šmirglpapír,Material,General,ks,1.92,1.92,1.92,1.92,1,CZK,1.07,0.5575,20,20,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 77
1449,ΟΙΚ 1449,Abstract Material,General,,1242.88,1242.88,1242.88,1242.88,1,CZK,25.27,0.0203,18,18,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 73
6330,YDR 6330,Abstract Material,General,,4423.97,4423.97,4423.97,4423.97,1,CZK,672.44,0.152,18,6,Hydraulic works,Podrobný rozpočet prací (ΓΓΔΕ),Hydraulické práce,Hydraulické práce - kapitola 63
032,Thiraická země,Material,General,,887.82,887.82,887.82,887.82,1,CZK,274.63,0.3093,15,15,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 14
065,"Štěrkodrť (gabion) rozměr 0,4 až 1 cm",Material,General,,258.7,258.7,258.7,258.7,1,CZK,67.64,0.2615,15,15,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 32
442,Smyriďdopano,Material,General,ks,3.0,3.0,3.0,3.0,1,CZK,0.77,0.2554,14,14,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 77
6310,YDR 6310,Abstract Material,General,,35.3,35.3,35.3,35.3,1,CZK,395.05,11.192,14,8,Hydraulic works,Podrobný rozpočet prací (ΓΓΔΕ),Hydraulické práce,Hydraulické práce - kapitola 63
6329.2,"Výroba, přeprava, rozprostření, zhutnění a údržba betonu Výroba nebo dodávka a přeprava na místě stavby betonu jakékoliv třídy nebo kvality, v souladu s předpisy Technologických předpisů pro beton (TPB), E.K.O.S. a - Pro konstrukce z betonu třídy C20/25",Abstract Material,General,,4068.86,4068.86,4068.86,4068.86,1,CZK,653.92,0.1607,14,8,Hydraulic works,Podrobný rozpočet prací (ΓΓΔΕ),Hydraulické práce,Hydraulické práce - kapitola 63
321,"Mramor celistvých schodnic délky až 1,00 m a původu Penteli (bílý)",Material,General,m,14.02,14.02,14.02,14.02,1,CZK,592.44,36.3779,14,10,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 75
398.1,"Bentónit kg 0,210 .2 Prut pro kotvení skalního výstupku s rozšířeným koncem odolnosti proti destrukci 9t, délka 1,50 m ks 42,30 .3 Prut pro kotvení skalního výstupku s rozšířeným koncem odolnosti proti destrukci 12 t, délka 2,50 m ks 49,80 .4 Prut pro kotvení skalního výstupku PERFO, 1 ins a délka 2,5 m nebo podobné ks 71,20 .5 Plechy BERNOLD nebo podobné kg 5,80 .6 Diamantová korunka vrtáku typu GRAELIUS o průměru 48 mm ks 330,00 .7 Diamantová korunka vrtáku, průměr 146 mm (vzorek) ks 1360,00 .8 Bezešvá ocelová trubka s vnitřním průměrem 150 mm a tloušťkou 4,5 mm, pro výstelku vrtů m 30,75 .9 Železobetonová trubka s podélným svařováním, galvanizovaná, vnitřní průměr 650 mm a tloušťka 6 mm, pro finální potrubí hydrogeologického vrtu ""MET""",Material,General,m,6.29,6.29,6.29,6.29,1,CZK,94.33,15.0,14,14,Hydraulic works,Podrobný rozpočet prací (ΓΓΔΕ),Hydraulické práce,Hydraulické práce - kapitola 71
061,"Stropní deska 0,7 až 7 cm",Material,General,,271.28,271.28,271.28,271.28,1,CZK,205.21,0.7565,13,13,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 32
242,Tlakovaná deska (hardboard) tloušťky 3 mm,Material,General,m2,792.97,36.99,9124.79,110.98,3,CZK,538.97,4.5546,13,12,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 56
056,"Vrstvené drážky 0,7 až 7 cm",Material,General,,211.84,211.84,211.84,211.84,1,CZK,157.81,0.7449,13,13,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 31
6314,ΥΔΡ 6314,Abstract Material,General,,49.16,49.16,49.16,49.16,1,CZK,410.24,8.3456,13,7,Hydraulic works,Podrobný rozpočet prací (ΓΓΔΕ),Hydraulické práce,Hydraulické práce - kapitola 63
112,Cihlová (průhledná) s otvory (s otvory podél) rozměr 19 χ 11 χ 8 cm,Material,General,ks,1.95,1.95,1.95,1.95,1,CZK,383.97,196.8324,13,13,Building works,Podrobný rozpočet prací (ΓΓΔΕ),Stavební práce,Stavební práce - kapitola 38
