resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,فني,Labor,Labor,ساعة,285.92,285.92,285.92,285.92,1,EGP,766.7,2.6815,968,898,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 21
002,عامل ماهر,Labor,Labor,ساعة,242.45,242.45,242.45,242.45,1,EGP,763.92,3.1509,496,448,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 11
001,عامل غير ماهر,Labor,Labor,ساعة,220.45,220.45,220.45,220.45,1,EGP,478.85,2.1722,341,327,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 11
211,خشب بلوط محلي,Material,General,,257.17,17.67,10795.38,17.67,2,EGP,1827.18,100.6957,270,175,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 55
251,مسامير عادية (إبر),Material,General,kg,497.08,8.05,4174.21,13.34,3,EGP,102.97,2.0911,129,128,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
021,ماء,Material,General,m3,38.43,38.43,38.43,38.43,1,EGP,8.71,0.2267,103,103,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
221,أسمنت عادي (من النوع اليوناني) بقيمة الأكياس الورقية كغ,Material,General,kg,1.44,1.44,1.44,1.44,1,EGP,321.22,223.3854,96,55,Road works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال الطرق,أعمال الطرق - الفصل 25
1445,أعمال البناء 1445,Abstract Material,General,,847.55,847.55,847.55,847.55,1,EGP,14.84,0.0175,88,88,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 42
214,زيت معدني,Material,General,kg,58.58,26.98,65.49,65.49,2,EGP,376.77,5.7679,78,75,Hydraulic works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال هيدروليكية,الأعمال الهيدروليكية - الفصل 50
026,أسمنت عادي مع قيمة أكياس الورق,Material,General,kg,1.44,1.44,1.44,1.44,1,EGP,323.71,225.1173,75,75,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
201,خشب منشور (للسقالات، الأسقف وغيرها) من منشأ محلي,Material,General,,4174.21,4174.21,4174.21,4174.21,1,EGP,390.24,0.0935,75,75,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 23
203.2,"خشب منشور أبيض من وسط أوروبا 335,00 m3 .4 خشب منشور محلي من شجر التنوب",Material,General,,5325.72,5325.72,5325.72,5325.72,1,EGP,496.43,0.0932,73,67,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 52
205,خشب منشور من أصل سويدي درجة أولى,Material,General,,6909.04,6909.04,6909.04,6909.04,1,EGP,287.87,0.0417,69,59,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 54
116,"فرّاشة خرسانة إسفلتية (FINISHER) 18.1 BARBER GREEN 230، أقصى عرض 8,00 m، قدرة 18.2 BARBER GREEN 250،",Equipment,General,س.م,291.93,285.92,333.22,285.92,2,EGP,1534.18,5.1977,63,55,Road works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال الطرق,أعمال الطرق - الفصل 12
081,"حجارة محجر خام m3 11,01 مواد حجرية صناعية",Material,General,,128.77,128.77,128.77,128.77,1,EGP,56.61,0.4397,58,58,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 34
1444,أعمال البناء 1444,Abstract Material,General,,1052.44,1052.44,1052.44,1052.44,1,EGP,3.15,0.003,56,56,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 71
213,جيلاتوديناميت 30%,Material,General,kg,41.51,26.98,65.49,26.98,2,EGP,182.98,2.9575,53,47,Road works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال الطرق,أعمال الطرق - الفصل 11
1407,أعمال البناء 1407,Abstract Material,General,,541.28,541.28,541.28,541.28,1,EGP,104.5,0.1931,49,49,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
1417,أويس 1417,Abstract Material,General,,542.41,542.41,542.41,542.41,1,EGP,60.33,0.1112,41,41,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 42
1447,أويس 1447,Abstract Material,General,,808.15,808.15,808.15,808.15,1,EGP,92.98,0.1151,39,39,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 42
252,مسامير حديدية لولبية (براغي) مع وردة,Material,General,kg,1297.28,31.44,4174.21,31.44,2,EGP,270.51,1.1392,36,36,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 52
052,رمل الملاط,Material,General,,180.07,180.07,180.07,180.07,1,EGP,77.09,0.4281,31,31,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 31
6501,أنظمة الواجهات الزجاجية المستمرة للمباني من الألمنيوم,Abstract Material,General,,3363.28,3363.28,3363.28,3363.28,1,EGP,3219.78,0.9573,30,30,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 65
265,حديد على شكل شرائح ومربعات,Material,General,kg,67.34,12.53,1656.73,12.53,2,EGP,71.2,1.308,30,29,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 48
222,أسمنت نقي (بدون بوزولانا) بقيمة الأكياس الورقية كغ,Material,General,kg,1.58,1.01,1.67,1.67,2,EGP,515.27,308.6207,29,26,Road works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال الطرق,أعمال الطرق - الفصل 25
6303,أنواع هوائية (قوالب قابلة للنفخ),Abstract Material,General,,285.53,285.53,285.53,285.53,1,EGP,1467.4,5.1393,29,29,Hydraulic works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال هيدروليكية,الأعمال الهيدروليكية - الفصل 67
051,رمل للملاط,Material,General,m3,180.07,180.07,180.07,180.07,1,EGP,109.84,0.61,29,29,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
6328,مياه 6328,Abstract Material,General,,2277.07,2277.07,2277.07,2277.07,1,EGP,2943.12,1.2925,28,28,Hydraulic works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال هيدروليكية,الأعمال الهيدروليكية - الفصل 67
319,من 10 51 جهاز حفر دوار بقدرة حفر في تربة صخرية بقطر فتحة 146 mm وعمق 100 m، يشمل,Equipment,General,س.م,317.67,317.67,317.67,317.67,1,EGP,7.71,0.0243,28,4,Marine / port works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال بحرية / أعمال الموانئ,أعمال بحرية / أعمال الموانئ - الفصل 42
6304,سعر إضافي لتشكيل تشطيبات سطحية دقيقة للخرسانة,Abstract Material,General,,79.08,79.08,79.08,79.08,1,EGP,425.46,5.3804,26,8,Hydraulic works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال هيدروليكية,الأعمال الهيدروليكية - الفصل 63
