resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Oficial,Labor,Labor,hora,21.53,21.53,21.53,21.53,1,EUR,57.73,2.6815,968,898,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 21
002,Trabajador especializado,Labor,Labor,hora,18.25,18.25,18.25,18.25,1,EUR,57.52,3.1509,496,448,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 11
001,Operario no cualificado,Labor,Labor,hora,16.6,16.6,16.6,16.6,1,EUR,36.05,2.1722,341,327,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 11
211,Madera de roble nacional,Material,General,,19.36,1.33,812.8,1.33,2,EUR,137.57,100.6957,270,175,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 55
251,Hojas comunes (agujas),Material,General,kg,37.43,0.61,314.28,1.0,3,EUR,7.75,2.0911,129,128,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
021,Agua,Material,General,m3,2.89,2.89,2.89,2.89,1,EUR,0.66,0.2267,103,103,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
221,Cemento común (tipo griego) con el valor de las bolsas de papel Kg,Material,General,kg,0.11,0.11,0.11,0.11,1,EUR,24.18,223.3854,96,55,Road works,Tarifas detalladas de obras (ΓΓΔΕ),Trabajos de carreteras,Trabajos de carreteras - capítulo 25
1445,OIK 1445,Abstract Material,General,,63.81,63.81,63.81,63.81,1,EUR,1.12,0.0175,88,88,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 42
214,Aceite mineral,Material,General,kg,4.41,2.03,4.93,4.93,2,EUR,28.37,5.7679,78,75,Hydraulic works,Tarifas detalladas de obras (ΓΓΔΕ),Obras hidráulicas,Trabajos hidráulicos - capítulo 50
026,Cemento común con el valor de sacos de papel,Material,General,kg,0.11,0.11,0.11,0.11,1,EUR,24.37,225.1173,75,75,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 14
201,"Madera aserrada (para andamios, techos, etc.) de origen nacional",Material,General,,314.28,314.28,314.28,314.28,1,EUR,29.38,0.0935,75,75,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 23
203.2,"Madera aserrada blanca de origen de Europa Central 335,00 m3 .4 Madera aserrada autóctona de abeto",Material,General,,400.98,400.98,400.98,400.98,1,EUR,37.38,0.0932,73,67,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 52
205,Madera aserrada de origen sueco A',Material,General,,520.19,520.19,520.19,520.19,1,EUR,21.67,0.0417,69,59,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 54
116,"DISTRIBUIDOR DE ASFALTO (FINISHER) 18.1 BARBER GREEN 230, ancho máximo 8,00 m, potencia 18.2 BARBER GREEN 250, max.",Equipment,General,HМ,21.98,21.53,25.09,21.53,2,EUR,115.51,5.1977,63,55,Road works,Tarifas detalladas de obras (ΓΓΔΕ),Trabajos de carreteras,Trabajos de carreteras - capítulo 12
081,"Piedras de cantera de cantera m3 11,01 MATERIALES PÉTREOS ARTIFICIALES",Material,General,,9.7,9.7,9.7,9.7,1,EUR,4.26,0.4397,58,58,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,Trabajos de construcción - capítulo 34
1444,OIK 1444,Abstract Material,General,,79.24,79.24,79.24,79.24,1,EUR,0.24,0.003,56,56,Building works,Tarifas detalladas de obras (ΓΓΔΕ),trabajos de construcción,trabajos de construcción - capítulo 71
213,Zelatodinamiti 30%,Material,General,kg,3.13,2.03,4.93,2.03,2,EUR,13.78,2.9575,53,47,Road works,Tarifas detalladas de obras (ΓΓΔΕ),Trabajos de carreteras,Trabajos de carreteras - capítulo 11
