resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Artisan,Labor,Labor,heure,25.55,25.55,25.55,25.55,1,EUR,68.51,2.6815,968,898,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 21
002,Ouvrier qualifié,Labor,Labor,heure,21.66,21.66,21.66,21.66,1,EUR,68.26,3.1509,496,448,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 11
001,Ouvrier non qualifié,Labor,Labor,heure,19.7,19.7,19.7,19.7,1,EUR,42.79,2.1722,341,327,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 11
211,Bois de chêne local,Material,General,,22.98,1.58,964.59,1.58,2,EUR,163.26,100.6957,270,175,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 55
251,Clous communs (aiguilles),Material,General,kg,44.42,0.72,372.97,1.19,3,EUR,9.2,2.0911,129,128,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
021,Eau,Material,General,m3,3.43,3.43,3.43,3.43,1,EUR,0.78,0.2267,103,103,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
221,Ciment ordinaire (type grec) avec la valeur des sacs en papier Kg,Material,General,kg,0.13,0.13,0.13,0.13,1,EUR,28.7,223.3854,96,55,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 25
1445,OIK 1445,Abstract Material,General,,75.73,75.73,75.73,75.73,1,EUR,1.33,0.0175,88,88,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 42
214,Pétrole brut,Material,General,kg,5.23,2.41,5.85,5.85,2,EUR,33.66,5.7679,78,75,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 50
026,Ciment commun avec la valeur des sacs en papier,Material,General,kg,0.13,0.13,0.13,0.13,1,EUR,28.92,225.1173,75,75,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
201,"Bois scié (pour échafaudages, toits, etc.) d'origine intérieure",Material,General,,372.97,372.97,372.97,372.97,1,EUR,34.87,0.0935,75,75,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 23
203.2,"Bois scié blanc d'origine d'Europe centrale 335,00 m3 .4 Bois scié domestique d'épicéa",Material,General,,475.86,475.86,475.86,475.86,1,EUR,44.36,0.0932,73,67,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 52
205,Bois scié d'origine suédoise A',Material,General,,617.34,617.34,617.34,617.34,1,EUR,25.72,0.0417,69,59,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 54
116,"FINISSEUR D'ASPHALTE (FINISHER) 18.1 BARBER GREEN 230, largeur max. 8,00 m, puissance 18.2 BARBER GREEN 250,",Equipment,General,H.M,26.08,25.55,29.77,25.55,2,EUR,137.08,5.1977,63,55,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 12
081,"Pierres argileuses de carrière m3 11,01 MATÉRIAUX PÉTRIFIÉS ARTIFICIELS",Material,General,,11.51,11.51,11.51,11.51,1,EUR,5.06,0.4397,58,58,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 34
1444,OIK 1444,Abstract Material,General,,94.04,94.04,94.04,94.04,1,EUR,0.28,0.003,56,56,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 71
213,Zélatodynamitide 30%,Material,General,kg,3.71,2.41,5.85,2.41,2,EUR,16.35,2.9575,53,47,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 11
1407,OIK 1407,Abstract Material,General,,48.36,48.36,48.36,48.36,1,EUR,9.34,0.1931,49,49,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
1417,OIK 1417,Abstract Material,General,,48.47,48.47,48.47,48.47,1,EUR,5.39,0.1112,41,41,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 42
1447,OIK 1447,Abstract Material,General,,72.21,72.21,72.21,72.21,1,EUR,8.31,0.1151,39,39,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 42
252,Boulons en acier avec rondelle,Material,General,kg,115.91,2.81,372.97,2.81,2,EUR,24.17,1.1392,36,36,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 52
052,Sable de concassage,Material,General,,16.09,16.09,16.09,16.09,1,EUR,6.89,0.4281,31,31,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 31
6501,Systèmes de façades en verre continu en aluminium,Abstract Material,General,,300.52,300.52,300.52,300.52,1,EUR,287.69,0.9573,30,30,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 65
265,Fer en plaques et en carrés,Material,General,kg,6.02,1.12,148.03,1.12,2,EUR,6.36,1.308,30,29,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 48
222,Ciment pur (sans terre de Théra) avec la valeur des sacs en papier Kg,Material,General,kg,0.14,0.09,0.15,0.15,2,EUR,46.04,308.6207,29,26,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 25
6303,Types de moules (gonflables),Abstract Material,General,,25.51,25.51,25.51,25.51,1,EUR,131.11,5.1393,29,29,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 67
