resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Craftsman,Labor,Labor,hour,25.53,25.53,25.53,25.53,1,GBP,68.46,2.6815,968,898,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 21
002,Skilled laborer,Labor,Labor,hour,21.65,21.65,21.65,21.65,1,GBP,68.21,3.1509,496,448,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
001,Unskilled laborer,Labor,Labor,hour,19.68,19.68,19.68,19.68,1,GBP,42.76,2.1722,341,327,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
211,Domestic oak timber,Material,General,,22.96,1.58,963.9,1.58,2,GBP,163.14,100.6957,270,175,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 55
251,Common nails (pins),Material,General,kg,44.38,0.72,372.71,1.19,3,GBP,9.19,2.0911,129,128,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
021,Water,Material,General,m3,3.43,3.43,3.43,3.43,1,GBP,0.78,0.2267,103,103,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
221,Common cement (Greek type) including the value of paper sacks Kg,Material,General,kg,0.13,0.13,0.13,0.13,1,GBP,28.68,223.3854,96,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 25
1445,BUI 1445,Abstract Material,General,,75.68,75.68,75.68,75.68,1,GBP,1.33,0.0175,88,88,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
214,Mineral oil,Material,General,kg,5.23,2.41,5.85,5.85,2,GBP,33.64,5.7679,78,75,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 50
026,Common cement including the value of paper bags,Material,General,kg,0.13,0.13,0.13,0.13,1,GBP,28.9,225.1173,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
201,"Carved timber (for scaffolding, roofs, etc.) of domestic origin",Material,General,,372.71,372.71,372.71,372.71,1,GBP,34.84,0.0935,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 23
203.2,"Sawn white timber originating from Central Europe 335,00 m3 .4 Domestic sawn fir timber",Material,General,,475.52,475.52,475.52,475.52,1,GBP,44.33,0.0932,73,67,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 52
205,Planed timber of Swedish origin A',Material,General,,616.89,616.89,616.89,616.89,1,GBP,25.7,0.0417,69,59,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 54
116,"ASPHALT CONCRETE PAVER (FINISHER) 18.1 BARBER GREEN 230, max. width 8,00 m, power 18.2 BARBER GREEN 250, max",Equipment,General,H.M,26.07,25.53,29.75,25.53,2,GBP,136.98,5.1977,63,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 12
081,"Slow quarry stones m3 11,01 ARTIFICIAL STONE MATERIALS",Material,General,,11.5,11.5,11.5,11.5,1,GBP,5.05,0.4397,58,58,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 34
1444,OIK 1444,Abstract Material,General,,93.97,93.97,93.97,93.97,1,GBP,0.28,0.003,56,56,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 71
