resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Majstor,Labor,Labor,sat,17.75,17.75,17.75,17.75,1,EUR,47.6,2.6815,968,898,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 21
002,Specijalist radnik,Labor,Labor,sat,15.05,15.05,15.05,15.05,1,EUR,47.43,3.1509,496,448,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 11
001,Nepoobučeni radnik,Labor,Labor,sat,13.69,13.69,13.69,13.69,1,EUR,29.73,2.1722,341,327,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 11
211,Domaće hrastovo drvo,Material,General,,15.97,1.1,670.2,1.1,2,EUR,113.44,100.6957,270,175,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradi - poglavlje 55
251,opće letve (šipke),Material,General,kg,30.86,0.5,259.14,0.83,3,EUR,6.39,2.0911,129,128,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 14
021,Voda,Material,General,m3,2.39,2.39,2.39,2.39,1,EUR,0.54,0.2267,103,103,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 14
221,Općenito cement (tip grčkog standarda) s vrijednošću papirnatih vreća Kg,Material,General,kg,0.09,0.09,0.09,0.09,1,EUR,19.94,223.3854,96,55,Road works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na cestama,Radovi na cestama - poglavlje 25
1445,ΟΙΚ 1445,Abstract Material,General,,52.62,52.62,52.62,52.62,1,EUR,0.92,0.0175,88,88,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 42
214,Mineralno ulje,Material,General,kg,3.64,1.68,4.07,4.07,2,EUR,23.39,5.7679,78,75,Hydraulic works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Hidraulični radovi,Hidraulični radovi - poglavlje 50
026,Opći cement s vrijednošću vreća,Material,General,kg,0.09,0.09,0.09,0.09,1,EUR,20.1,225.1173,75,75,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 14
201,"Oblikovana drvena građa (za oplatu, krovove itd.) porijeklom iz unutrašnjosti",Material,General,,259.14,259.14,259.14,259.14,1,EUR,24.23,0.0935,75,75,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradi - poglavlje 23
203.2,"Obrađeno bijelo rezano drvo porijeklom iz Srednje Europe 335,00 m3 .4 Obrađeno domaće jele",Material,General,,330.63,330.63,330.63,330.63,1,EUR,30.82,0.0932,73,67,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradi - poglavlje 52
205,Sječina rezana porijeklom iz Švedske A',Material,General,,428.93,428.93,428.93,428.93,1,EUR,17.87,0.0417,69,59,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 54
116,"DISTRIBUATOR ASVALTOSKIRIDEMATOS (FINISHER) 18.1 BARBER GREEN 230, maksimalna širina 8,00 m, snaga 18.2 BARBER GREEN 250, snaga",Equipment,General,ΗΜ,18.12,17.75,20.69,17.75,2,EUR,95.25,5.1977,63,55,Road works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na cestama,Radovi na cestama - poglavlje 12
081,"Kamenje iz kamenoloma, m3 11,01, UMJETNI KAMENI MATERIJALI",Material,General,,7.99,7.99,7.99,7.99,1,EUR,3.51,0.4397,58,58,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 34
1444,ΟΙΚ 1444,Abstract Material,General,,65.34,65.34,65.34,65.34,1,EUR,0.2,0.003,56,56,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na građevini - poglavlje 71
213,Gelatodinamiti 30%,Material,General,kg,2.58,1.68,4.07,1.68,2,EUR,11.36,2.9575,53,47,Road works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na cestama,Radovi na cestama - poglavlje 11
1407,ΟΙΚ 1407,Abstract Material,General,,33.6,33.6,33.6,33.6,1,EUR,6.49,0.1931,49,49,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 14
1417,ΟΙΚ 1417,Abstract Material,General,,33.67,33.67,33.67,33.67,1,EUR,3.75,0.1112,41,41,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 42
1447,ΟΙΚ 1447,Abstract Material,General,,50.17,50.17,50.17,50.17,1,EUR,5.77,0.1151,39,39,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 42
252,Vijci od čeličnih sidara (vijci) s podloškom,Material,General,kg,80.54,1.95,259.14,1.95,2,EUR,16.79,1.1392,36,36,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradi - poglavlje 52
052,Prašak za sitno brušenje,Material,General,,11.18,11.18,11.18,11.18,1,EUR,4.79,0.4281,31,31,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradi - poglavlje 31
6501,Sustavi kontinuiranog staklenog sustava fasade zgrade od aluminija,Abstract Material,General,,208.8,208.8,208.8,208.8,1,EUR,199.89,0.9573,30,30,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 65
265,Čelik u lamelama i kvadratima,Material,General,kg,4.18,0.78,102.85,0.78,2,EUR,4.42,1.308,30,29,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradi - poglavlje 48
222,Čisto cement (bez Thira zemlje) s vrijednošću papirnatih vreća Kg,Material,General,kg,0.1,0.06,0.1,0.1,2,EUR,31.99,308.6207,29,26,Road works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na cestama,Radovi na cestama - poglavlje 25
6303,Pneumatski tipovi (napuhani kalupi),Abstract Material,General,,17.73,17.73,17.73,17.73,1,EUR,91.1,5.1393,29,29,Hydraulic works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Hidraulični radovi,Hidraulični radovi - poglavlje 67
051,Pješčani za miješanje,Material,General,m3,11.18,11.18,11.18,11.18,1,EUR,6.82,0.61,29,29,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 14
6328,ΥΔΡ 6328,Abstract Material,General,,141.37,141.37,141.37,141.37,1,EUR,182.72,1.2925,28,28,Hydraulic works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Hidraulični radovi,Hidraulični radovi - poglavlje 67
319,"od 10 51 Obrtni geotermalni bušilica s kapacitetom bušenja stijenskih tla, rupa promjera 146 mm do dubine 100 m, koja uključuje",Equipment,General,ΗΜ,19.72,19.72,19.72,19.72,1,EUR,0.48,0.0243,28,4,Marine / port works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na moru / u luci,Radovi na moru / u luci - poglavlje 42
6304,Dodatna cijena za oblikovanje završnih slojeva betonskih površina,Abstract Material,General,,4.91,4.91,4.91,4.91,1,EUR,26.41,5.3804,26,8,Hydraulic works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Hidraulični radovi,Hidraulični radovi - poglavlje 63
1476,ΟΙΚ 1476,Abstract Material,General,,2.76,2.76,2.76,2.76,1,EUR,2.81,1.02,25,25,Building works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Radovi na zgradi,Radovi na zgradama - poglavlje 54
6325,"Proizvodnja, prijevoz, rasprostiranje, zbijanje i održavanje betona Proizvodnja ili nabava i prijevoz na gradilište betona bilo koje kategorije ili kvalitete, u skladu s odredbama Pravilnika o tehnologiji betona (PTB), E.K.O.S. i - Za konstrukcije od betona kategorije C10/12",Abstract Material,General,,102.69,102.69,102.69,102.69,1,EUR,20.5,0.1997,24,24,Hydraulic works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Hidraulični radovi,Hidraulični radovi - poglavlje 67
6323,"Proizvodnja, prijevoz, rasprostiranje, zbijanje i održavanje betona Proizvodnja ili nabava i prijevoz na gradilište betona bilo koje kategorije ili kvalitete, u skladu s odredbama Pravilnika o tehnologiji betona (PTB), E.K.O.S. i - Za konstrukcije od betona kategorije C8/10",Abstract Material,General,,93.76,93.76,93.76,93.76,1,EUR,13.03,0.139,24,24,Hydraulic works,Detaljni Troškovi Računa Radova (ΓΓΔΕ),Hidraulični radovi,Hidraulični radovi - poglavlje 67
