resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Tukang,Labor,Labor,jam,177991.66,177991.66,177991.66,177991.66,1,IDR,477286.31,2.6815,968,898,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,pekerjaan bangunan - bab 21
002,Pekerja terampil,Labor,Labor,jam,150927.28,150927.28,150927.28,150927.28,1,IDR,475554.83,3.1509,496,448,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,pekerjaan bangunan - bab 11
001,Pekerja tidak terampil,Labor,Labor,jam,137231.74,137231.74,137231.74,137231.74,1,IDR,298094.73,2.1722,341,327,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,pekerjaan bangunan - bab 11
211,Kayu ekir domestik,Material,General,,160095.81,10999.82,6720319.4,10999.82,2,IDR,1137453.14,100.6957,270,175,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,Pekerjaan bangunan - bab 55
251,Beton bertulang umum (batang beton),Material,General,kg,309443.25,5009.77,2598523.5,8306.31,3,IDR,64100.15,2.0911,129,128,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,pekerjaan bangunan - bab 14
021,Air,Material,General,m3,23924.34,23924.34,23924.34,23924.34,1,IDR,5423.7,0.2267,103,103,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,pekerjaan bangunan - bab 14
221,Semen Portland (tipe Yunani) dengan nilai kantong kertas Kg,Material,General,kg,895.15,895.15,895.15,895.15,1,IDR,199962.68,223.3854,96,55,Road works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan jalan raya,Pekerjaan jalan - bab 25
1445,ΟΙΚ 1445,Abstract Material,General,,527617.65,527617.65,527617.65,527617.65,1,IDR,9239.39,0.0175,88,88,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,pekerjaan bangunan - bab 42
214,Minyak mineral,Material,General,kg,36466.98,16796.32,40769.94,40769.94,2,IDR,234544.24,5.7679,78,75,Hydraulic works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan hidrolik,Pekerjaan Hidrolik - bab 50
026,Semen biasa dengan nilai kantong kertas,Material,General,kg,895.15,895.15,895.15,895.15,1,IDR,201513.01,225.1173,75,75,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,pekerjaan bangunan - bab 14
201,"Kayu gergajian (untuk kerangka, atap, dll.) asal dalam negeri",Material,General,,2598523.5,2598523.5,2598523.5,2598523.5,1,IDR,242934.23,0.0935,75,75,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,Pekerjaan bangunan - bab 23
203.2,"Kayu gergaji putih asal Eropa Tengah 335,00 m3 .4 Kayu gergaji lokal dari pinus",Material,General,,3315357.57,3315357.57,3315357.57,3315357.57,1,IDR,309035.83,0.0932,73,67,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,Pekerjaan bangunan - bab 52
205,Kayu gergajian asal Swedia A',Material,General,,4301004.42,4301004.42,4301004.42,4301004.42,1,IDR,179207.27,0.0417,69,59,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,Pekerjaan bangunan - bab 54
116,"DISTRIBUTOR ASPAL (FINISHER) 18.1 BARBER GREEN 230, lebar maksimum 8,00 m, daya 18.2 BARBER GREEN 250, lebar maksimum 8,00 m",Equipment,General,ΗΜ,181730.47,177991.66,207434.79,177991.66,2,IDR,955057.49,5.1977,63,55,Road works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan jalan raya,Pekerjaan jalan - bab 12
081,"Batu batu dari tambang lokal m3 11,01 BAHAN Batuan Buatan",Material,General,,80159.97,80159.97,80159.97,80159.97,1,IDR,35242.75,0.4397,58,58,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,Pekerjaan bangunan - bab 34
1444,ΟΙΚ 1444,Abstract Material,General,,655163.94,655163.94,655163.94,655163.94,1,IDR,1960.75,0.003,56,56,Building works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan bangunan,pekerjaan bangunan - bab 71
213,Zelatodinamiti 30%,Material,General,kg,25842.97,16796.32,40769.94,16796.32,2,IDR,113907.23,2.9575,53,47,Road works,Rincian Harga Pekerjaan (ΓΓΔΕ),Pekerjaan jalan raya,Pekerjaan jalan - bab 11
