resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,???,Labor,Labor,시간,30777.35,30777.35,30777.35,30777.35,1,KRW,82529.76,2.6815,968,898,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 21?
002,?? ???,Labor,Labor,시간,26097.53,26097.53,26097.53,26097.53,1,KRW,82230.36,3.1509,496,448,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 11?
001,??? ???,Labor,Labor,시간,23729.37,23729.37,23729.37,23729.37,1,KRW,51544.92,2.1722,341,327,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 11?
211,국산 참나무 목재,Material,General,,27682.9,1902.03,1162041.17,1902.03,2,KRW,196682.23,100.6957,270,175,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 55?
251,?? ?(?),Material,General,kg,53507.25,866.26,449322.59,1436.28,3,KRW,11083.85,2.0911,129,128,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 14?
021,?,Material,General,m3,4136.87,4136.87,4136.87,4136.87,1,KRW,937.84,0.2267,103,103,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 14?
221,일반 시멘트(그리스형) 종이 자루 무게 기준 Kg 단위 가격,Material,General,kg,154.78,154.78,154.78,154.78,1,KRW,34576.46,223.3854,96,55,Road works,??? ?? ??? (????),?? ??,?? ?? - ? 25?
1445,OIK 1445,Abstract Material,General,,91232.78,91232.78,91232.78,91232.78,1,KRW,1597.63,0.0175,88,88,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 42?
214,??,Material,General,kg,6305.67,2904.33,7049.72,7049.72,2,KRW,40556.12,5.7679,78,75,Hydraulic works,??? ?? ??? (????),?? ??,?? ?? - ? 50?
026,종이 자루 단가를 포함한 일반 시멘트,Material,General,kg,154.78,154.78,154.78,154.78,1,KRW,34844.54,225.1173,75,75,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 14?
201,"??? ??? ??(??, ?? ??)",Material,General,,449322.59,449322.59,449322.59,449322.59,1,KRW,42006.87,0.0935,75,75,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 23?
203.2,"????? ?? ??? 335,00 m3 .4 ?? ??? ???",Material,General,,573273.64,573273.64,573273.64,573273.64,1,KRW,53436.8,0.0932,73,67,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 52?
205,스웨덴산 A급 제재목,Material,General,,743706.35,743706.35,743706.35,743706.35,1,KRW,30987.55,0.0417,69,59,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 54?
116,"아스팔트 콘크리트 포장기 (FINISHER) 18.1 BARBER GREEN 230, 최대 폭 8,00 m, 출력 18.2 BARBER GREEN 250,",Equipment,General,ΗΜ,31423.85,30777.35,35868.5,30777.35,2,KRW,165143.36,5.1977,63,55,Road works,??? ?? ??? (????),?? ??,도로 공사 - 챕터 12
081,"채석장 원석 석재 m3 11,01 인공 암석 재료",Material,General,,13860.83,13860.83,13860.83,13860.83,1,KRW,6093.98,0.4397,58,58,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 34?
1444,OIK 1444,Abstract Material,General,,113287.39,113287.39,113287.39,113287.39,1,KRW,339.04,0.003,56,56,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 71?
213,젤라토다이나마이트 30%,Material,General,kg,4468.63,2904.33,7049.72,2904.33,2,KRW,19696.22,2.9575,53,47,Road works,??? ?? ??? (????),?? ??,도로 공사 - 챕터 11
1407,ΟΙΚ 1407,Abstract Material,General,,58264.74,58264.74,58264.74,58264.74,1,KRW,11248.64,0.1931,49,49,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 14?
1417,OIK 1417,Abstract Material,General,,58386.29,58386.29,58386.29,58386.29,1,KRW,6493.75,0.1112,41,41,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 42?
1447,ΟΙΚ 1447,Abstract Material,General,,86991.8,86991.8,86991.8,86991.8,1,KRW,10008.6,0.1151,39,39,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 42?
252,와셔가 있는 철제 나사못(볼트),Material,General,kg,139642.92,3383.86,449322.59,3383.86,2,KRW,29118.41,1.1392,36,36,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 52?
052,분쇄 모래,Material,General,,19382.85,19382.85,19382.85,19382.85,1,KRW,8298.36,0.4281,31,31,Building works,??? ?? ??? (????),?? ??,?? ?? - ? 31?
