resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,فني,Labor,Labor,ساعة,148.24,148.24,148.24,148.24,1,MAD,397.5,2.6815,968,898,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 21
002,عامل ماهر,Labor,Labor,ساعة,125.7,125.7,125.7,125.7,1,MAD,396.06,3.1509,496,448,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 11
001,عامل غير ماهر,Labor,Labor,ساعة,114.29,114.29,114.29,114.29,1,MAD,248.26,2.1722,341,327,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 11
211,خشب بلوط محلي,Material,General,,133.33,9.16,5596.9,9.16,2,MAD,947.31,100.6957,270,175,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 55
251,مسامير عادية (إبر),Material,General,kg,257.71,4.17,2164.13,6.92,3,MAD,53.38,2.0911,129,128,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
021,ماء,Material,General,m3,19.92,19.92,19.92,19.92,1,MAD,4.52,0.2267,103,103,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
221,أسمنت عادي (من النوع اليوناني) بقيمة الأكياس الورقية كغ,Material,General,kg,0.75,0.75,0.75,0.75,1,MAD,166.54,223.3854,96,55,Road works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال الطرق,أعمال الطرق - الفصل 25
1445,أعمال البناء 1445,Abstract Material,General,,439.42,439.42,439.42,439.42,1,MAD,7.69,0.0175,88,88,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 42
214,زيت معدني,Material,General,kg,30.37,13.99,33.95,33.95,2,MAD,195.34,5.7679,78,75,Hydraulic works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال هيدروليكية,الأعمال الهيدروليكية - الفصل 50
026,أسمنت عادي مع قيمة أكياس الورق,Material,General,kg,0.75,0.75,0.75,0.75,1,MAD,167.83,225.1173,75,75,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
