resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Техник,Labor,Labor,цаг,45681.92,45681.92,45681.92,45681.92,1,MNT,122496.5,2.6815,968,898,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 21
002,Мэргэшсэн ажилтан,Labor,Labor,цаг,38735.79,38735.79,38735.79,38735.79,1,MNT,122052.11,3.1509,496,448,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 11
001,Түвшингүй ажилчин,Labor,Labor,цаг,35220.81,35220.81,35220.81,35220.81,1,MNT,76506.62,2.1722,341,327,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 11
211,"Ордны хүлэмжийн мод, дотоодын",Material,General,,41088.91,2823.13,1724783.6,2823.13,2,MNT,291929.65,100.6957,270,175,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - 55-р бүлэг
251,Нийллэг бетонон хашлага (шүдэнз),Material,General,kg,79419.24,1285.77,666916.33,2131.83,3,MNT,16451.43,2.0911,129,128,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 14
021,Ус,Material,General,m3,6140.23,6140.23,6140.23,6140.23,1,MNT,1392.0,0.2267,103,103,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 14
221,Нийтийн цимент (Грек загвар) уутны үнэ Kg,Material,General,kg,229.74,229.74,229.74,229.74,1,MNT,51320.83,223.3854,96,55,Road works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Замын ажил,Замын ажил - бүлэг 25
1445,ОΙΚ 1445,Abstract Material,General,,135414.14,135414.14,135414.14,135414.14,1,MNT,2371.31,0.0175,88,88,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 42
214,Битумын тослох материал,Material,General,kg,9359.32,4310.81,10463.69,10463.69,2,MNT,60196.25,5.7679,78,75,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Гидравлик ажил - бүлэг 50
026,Цемент عمومی з вартістю мішків,Material,General,kg,229.74,229.74,229.74,229.74,1,MNT,51718.72,225.1173,75,75,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 14
201,"Өрөмдсөн модлол (шаңырақ, дээвэр гэх мэт) дотоод гаралтай",Material,General,,666916.33,666916.33,666916.33,666916.33,1,MNT,62349.56,0.0935,75,75,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 23
203.2,"White sawn timber originating from Central Europe 335,00 m3 .4 Domestic spruce sawn timber",Material,General,,850893.24,850893.24,850893.24,850893.24,1,MNT,79314.67,0.0932,73,67,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 52
205,Швед гаралтай нарийн боловсруулсан модон материал,Material,General,,1103861.5,1103861.5,1103861.5,1103861.5,1,MNT,45993.91,0.0417,69,59,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 54
116,"АСФАЛЬТОН ТӨГСЛӨГЧ (FINISHER) 18.1 BARBER GREEN 230, хамгийн их өргөн 8,00 м, хүчин чадал 18.2 BARBER GREEN 250, хамгийн",Equipment,General,ΗΜ,46641.49,45681.92,53238.56,45681.92,2,MNT,245117.44,5.1977,63,55,Road works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Замын ажил,Замын ажил - бүлэг 12
081,"Литоси арготі лотамейου m3 11,01 Штучні кам’яні матеріали",Material,General,,20573.22,20573.22,20573.22,20573.22,1,MNT,9045.12,0.4397,58,58,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 34
1444,ОΙΚ 1444,Abstract Material,General,,168149.15,168149.15,168149.15,168149.15,1,MNT,503.23,0.003,56,56,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилга ажлууд - бүлэг 71
213,30% Зеллатодинамитида,Material,General,kg,6632.65,4310.81,10463.69,4310.81,2,MNT,29234.52,2.9575,53,47,Road works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Замын ажил,Замын ажил - бүлэг 11
1407,ОΙΚ 1407,Abstract Material,General,,86480.65,86480.65,86480.65,86480.65,1,MNT,16696.03,0.1931,49,49,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 14
1417,ОΙΚ 1417,Abstract Material,General,,86661.06,86661.06,86661.06,86661.06,1,MNT,9638.48,0.1112,41,41,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 42
1447,ОΙΚ 1447,Abstract Material,General,,129119.37,129119.37,129119.37,129119.37,1,MNT,14855.47,0.1151,39,39,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 42
252,Гипсокартон бэхэлгээний төмөр (бур) ба таглаа,Material,General,kg,207267.88,5022.57,666916.33,5022.57,2,MNT,43219.6,1.1392,36,36,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 52
052,Ковшовая пясок,Material,General,,28769.39,28769.39,28769.39,28769.39,1,MNT,12317.01,0.4281,31,31,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 31
6501,"Тасралтын цонхны системүүд, хөнгөн цагаан хана",Abstract Material,General,,537353.42,537353.42,537353.42,537353.42,1,MNT,514426.34,0.9573,30,30,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 65
265,Төмөрлөгийг зүсмэл болон дөрвөлжин хэлбэрээр,Material,General,kg,10758.62,2002.13,264696.79,2002.13,2,MNT,11375.25,1.308,30,29,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 48
222,Цемент чист (без тирайской глины) с ценой бумажных мешков Kg,Material,General,kg,252.57,160.98,267.23,267.23,2,MNT,82325.07,308.6207,29,26,Road works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Замын ажил,Замын ажил - бүлэг 25
6303,Пневматик төрлүүд (хөөсөлсөн хучилтууд),Abstract Material,General,,45618.5,45618.5,45618.5,45618.5,1,MNT,234447.65,5.1393,29,29,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Хидравлик ажил - бүлэг 67
051,цементний пісок,Material,General,m3,28769.39,28769.39,28769.39,28769.39,1,MNT,17549.33,0.61,29,29,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 14
6328,ΥΔΡ 6328,Abstract Material,General,,363809.27,363809.27,363809.27,363809.27,1,MNT,470223.47,1.2925,28,28,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Хидравлик ажил - бүлэг 67
319,"10 51 Геотүвшигч эргэлдэгч, бэхэлгээний чадвар бүхий, 146 мм диаметртэй нүхийг 100 м гүнд өрөмдөх, багтсан",Equipment,General,ΗΜ,50754.63,50754.63,50754.63,50754.63,1,MNT,1232.61,0.0243,28,4,Marine / port works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Хамгаалалт / боомтын ажил,Далайн / боомтын ажил - 42-р бүлэг
6304,Бетон хучилтын гадаргууг боловсруулсан төгсгөлийн тохиргооны нэмэлт үнэ,Abstract Material,General,,12634.18,12634.18,12634.18,12634.18,1,MNT,67976.76,5.3804,26,8,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Гидравлик ажил - бүлэг 63
1476,ΟΙΚ 1476,Abstract Material,General,,7099.44,7099.44,7099.44,7099.44,1,MNT,7241.43,1.02,25,25,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 54
6325,"Үйлдвэрлэл, тээвэрлэлт, тэгшилт, шахалт, бетон хольцын засвар үйлчилгээ Бетон хольцын үйлдвэрлэл эсвэл бэлтгэл, түүнийг газар дээр нь тээвэрлэх, ямар ч ангилал, чанарын бетон үйлдвэрлэл, Техникийн дүрмийг дагаж мөрдөнө (КТШ), Е.К.О.С-ийн дагуу бөгөөд - Барилгын бетон C10/12 ангиллын",Abstract Material,General,,264266.28,264266.28,264266.28,264266.28,1,MNT,52765.18,0.1997,24,24,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Хидравлик ажил - бүлэг 67
6323,"Үйлдвэрлэл, тээвэрлэлт, тэгшилт, шахалт, бетон хольцын засвар үйлчилгээ Бетон хольцын үйлдвэрлэл эсвэл бэлтгэл, түүнийг газар дээр нь тээвэрлэх, ямар ч ангилал, чанарын бетон, Бетон технологийн дүрэм (БТД), ЕКӨС-ийн заавар, мөн - Барилгын бетон C8/10 ангиллын",Abstract Material,General,,241292.16,241292.16,241292.16,241292.16,1,MNT,33539.63,0.139,24,24,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Хидравлик ажил - бүлэг 67
029,"Цагаан цимент орон нутгийн, кг",Material,General,,348.41,348.41,348.41,348.41,1,MNT,35288.79,101.2864,22,22,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 14
1502,ОΙΚ 1502,Abstract Material,General,,1209149.27,1209149.27,1209149.27,1209149.27,1,MNT,60457.57,0.05,21,8,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 31
331,"Шиферний мармарас товщиною 2 см, з прямокутною формою, довжиною до 1,50 м та походженням з Пентелі (білий)",Material,General,m2,176732.83,176732.83,176732.83,176732.83,1,MNT,133963.46,0.758,20,20,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 74
441,Гялалуу цаас,Material,General,шоо,178.69,178.69,178.69,178.69,1,MNT,99.62,0.5575,20,20,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 77
1449,ΟΙΚ 1449,Abstract Material,General,,115899.25,115899.25,115899.25,115899.25,1,MNT,2356.54,0.0203,18,18,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 73
6330,6330,Abstract Material,General,,412538.45,412538.45,412538.45,412538.45,1,MNT,62705.84,0.152,18,6,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Гидравлик ажил - бүлэг 63
032,Θηραϊκή γη,Material,General,,82789.61,82789.61,82789.61,82789.61,1,MNT,25609.59,0.3093,15,15,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 14
065,"Шахмал (гарби) диаметр 0,4-1 см",Material,General,,24123.97,24123.97,24123.97,24123.97,1,MNT,6307.59,0.2615,15,15,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 32
442,Смириδοπάνо,Material,General,шоо,280.1,280.1,280.1,280.1,1,MNT,71.62,0.2554,14,14,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 77
6310,УДР 6310,Abstract Material,General,,3291.54,3291.54,3291.54,3291.54,1,MNT,36839.03,11.192,14,8,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Гидравлик ажил - бүлэг 63
6329.2,"Бетон хольц, тээвэрлэлт, тэгшилт, шахалт, болон хадгалах бетон үйлдвэрлэл, эсвэл тээвэрлэлт, үйлдвэрлэл, тээвэрлэлт, бетонын төрөл, чанартай байдал, Барилгын технологийн дүрэм (БТД), ЕКӨС-ийн заалтууд болон - C20/25 ангиллын бетон бүтээцийн барилга байгууламжийн хувьд",Abstract Material,General,,379424.31,379424.31,379424.31,379424.31,1,MNT,60978.92,0.1607,14,8,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Гидравлик ажил - бүлэг 63
321,"Мармар оλόссон бадмийгийн ашигтай урт нь 1,00 м хүртэл бөгөөд Пενделис (цагаан) гаралтай",Material,General,m,1307.62,1307.62,1307.62,1307.62,1,MNT,55245.68,36.3779,14,10,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 75
398.1,"Бентонист кг 0,210 .2 Бетон баттэрийн бэхэлгээний утас, хүчний цэгийн өргөтгөлтэй, хугарал тэсвэртэй, 9t, урт 1,50 м, ширхэг 42,30 .3 Бетон баттэрийн бэхэлгээний утас, хүчний цэгийн өргөтгөлтэй, хугарал тэсвэртэй, 12 t, урт 2,50 м, ширхэг 49,80 .4 PERFO, 1 инчийн бэхэлгээний утас, урт 2,5 м эсвэл ижил төстэй ширхэг 71,20 .5 BERNOLD хавтангууд эсвэл ижил төстэй кг 5,80 .6 GRAELIUS төрлийн диаметр 48 мм, үнэгүй өрөмдлөгийн диаметртэй, ширхэг 330,00 .7 Диаметр 146 мм (жишиг дээж) үнэгүй өрөмдлөгийн диаметртэй, ширхэг 1360,00 .8 Гадаргуугийн диаметр 150 мм, зузаан 4,5 мм, гагнажгүй ган хоолой, геотехникийн өрөмдлөгийн хучилтэд зориулсан м 30,75 .9 Гадаргуугийн диаметр 650 мм, зузаан 6 мм, гадагш гагнасан, дулаан цацрагжуулагч, эцсийн хоолой, усны геотехникийн өрөмдлөгт зориулсан ""MET""",Material,General,m,586.43,586.43,586.43,586.43,1,MNT,8796.4,15.0,14,14,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Хидравлик ажил - бүлэг 71
061,"Дөрвөн цэгийн хучилт 0,7-ээс 7 см",Material,General,,25296.83,25296.83,25296.83,25296.83,1,MNT,19136.08,0.7565,13,13,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 32
242,Битүүмжлэгдсэн хавтан (хөнгөн цагаан хавтан) 3 мм зузаантай,Material,General,m2,73944.57,3449.57,850893.24,10348.7,3,MNT,50259.31,4.5546,13,12,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 56
056,"Халықе диза. 0,7 хүртэл 7 см",Material,General,,19754.52,19754.52,19754.52,19754.52,1,MNT,14715.61,0.7449,13,13,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 31
6314,УДР 6314,Abstract Material,General,,4583.92,4583.92,4583.92,4583.92,1,MNT,38255.47,8.3456,13,7,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Гидравлик ажил - бүлэг 63
112,Плінтус (оптичний) з отворами (з отворами по довжині) розміром 19 χ 11 χ 8 см,Material,General,шоо,181.91,181.91,181.91,181.91,1,MNT,35805.23,196.8324,13,13,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 38
333,"Шиферний мармур товщиною 3 см, з прямокутною формою, довжиною до 1,50 м і площею м2, походження Пентелі (білий)",Material,General,,256578.81,256578.81,256578.81,256578.81,1,MNT,212960.41,0.83,12,12,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 74
1501,ОΙΚ 1501,Abstract Material,General,,1057932.18,1057932.18,1057932.18,1057932.18,1,MNT,50833.59,0.048,12,12,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 21
266,Морфосидір όλων των απλών διατομών ύψους ή πλευράς κάτω των 8 cm,Material,General,kg,1431.57,1431.57,1431.57,1431.57,1,MNT,4152.82,2.9009,11,10,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 61
457,Бэлэн гипс (зүм),Material,General,kg,1903.93,1903.93,1903.93,1903.93,1,MNT,1055.71,0.5545,11,11,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 76
484,Битумын тослох материал,Material,General,kg,10463.69,10463.69,10463.69,10463.69,1,MNT,22924.99,2.1909,11,11,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 11
6326,"Бетон хольцлох, тээвэрлэх, түгээх, шахах, баталгаажуулах үйл ажиллагаа Бетон үйлдвэрлэх эсвэл тээвэрлэх, тухайн төслийн талбайд бэлтгэх, ямар ч ангилал, чанарын бетон үйлдвэрлэх эсвэл тээвэрлэх, Бетон технологийн дүрэм (БТД), ЕКӨС-ийн заавар, болон - C12/16 ангиллын бетон бүтээн байгуулалтанд зориулсан",Abstract Material,General,,305636.2,305636.2,305636.2,305636.2,1,MNT,158052.11,0.5171,10,10,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Хидравлик ажил - бүлэг 67
235,8 см хүртэл талын хэмжээтэй морфосидерит,Material,General,kg,1431.57,1431.57,1431.57,1431.57,1,MNT,291440.8,203.5812,10,9,Road works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Замын ажил,Замын ажил - бүлэг 26
212,Бензин It,Material,General,,3410.24,3410.24,3410.24,3410.24,1,MNT,39217.78,11.5,10,10,Hydraulic works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Гидравлик ажил,Гидравлик ажил - бүлэг 51
443,Руо линолеум,Material,General,kg,4571.6,4571.6,4571.6,4571.6,1,MNT,521.14,0.114,10,10,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 14
1446,ОΙΚ 1446,Abstract Material,General,,114166.19,114166.19,114166.19,114166.19,1,MNT,10685.93,0.0936,10,10,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 43
231,"Рамбо́т рейсингийн зүсмэлүүд, пицпайн модноос, өргөн нь 4-7 см, цэвэр зузаан нь ядаж 22 мм, урт нь ядаж 40 см, Америкийн гаралтай",Material,General,m2,6978.01,2131.83,50593.65,2131.83,2,MNT,12048.92,3.265,10,10,Building works,Аналитик Төлөвлөлтийн Төлбөр (ГГДЭ),Барилгын ажил,Барилгын ажил - бүлэг 53
