resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Craftsman,Labor,Labor,hour,7352.77,7352.77,7352.77,7352.77,1,NGN,19716.51,2.6815,968,898,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 21
002,Skilled laborer,Labor,Labor,hour,6234.75,6234.75,6234.75,6234.75,1,NGN,19644.98,3.1509,496,448,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
001,Unskilled laborer,Labor,Labor,hour,5668.99,5668.99,5668.99,5668.99,1,NGN,12314.18,2.1722,341,327,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
211,Domestic oak timber,Material,General,,6613.49,454.4,277613.75,454.4,2,NGN,46987.74,100.6957,270,175,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 55
251,Common nails (pins),Material,General,kg,12782.98,206.95,107343.98,343.13,3,NGN,2647.95,2.0911,129,128,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
021,Water,Material,General,m3,988.3,988.3,988.3,988.3,1,NGN,224.05,0.2267,103,103,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
221,Common cement (Greek type) including the value of paper sacks Kg,Material,General,kg,36.98,36.98,36.98,36.98,1,NGN,8260.38,223.3854,96,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 25
1445,BUI 1445,Abstract Material,General,,21795.68,21795.68,21795.68,21795.68,1,NGN,381.68,0.0175,88,88,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
214,Mineral oil,Material,General,kg,1506.44,693.85,1684.19,1684.19,2,NGN,9688.93,5.7679,78,75,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 50
026,Common cement including the value of paper bags,Material,General,kg,36.98,36.98,36.98,36.98,1,NGN,8324.42,225.1173,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
201,"Carved timber (for scaffolding, roofs, etc.) of domestic origin",Material,General,,107343.98,107343.98,107343.98,107343.98,1,NGN,10035.52,0.0935,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 23
203.2,"Sawn white timber originating from Central Europe 335,00 m3 .4 Domestic sawn fir timber",Material,General,,136956.12,136956.12,136956.12,136956.12,1,NGN,12766.15,0.0932,73,67,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 52
205,Planed timber of Swedish origin A',Material,General,,177672.8,177672.8,177672.8,177672.8,1,NGN,7402.98,0.0417,69,59,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 54
116,"ASPHALT CONCRETE PAVER (FINISHER) 18.1 BARBER GREEN 230, max. width 8,00 m, power 18.2 BARBER GREEN 250, max",Equipment,General,H.M,7507.21,7352.77,8569.05,7352.77,2,NGN,39453.05,5.1977,63,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 12
081,"Slow quarry stones m3 11,01 ARTIFICIAL STONE MATERIALS",Material,General,,3311.38,3311.38,3311.38,3311.38,1,NGN,1455.86,0.4397,58,58,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 34
1444,OIK 1444,Abstract Material,General,,27064.56,27064.56,27064.56,27064.56,1,NGN,81.0,0.003,56,56,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 71
213,Gelatodynamite 30%,Material,General,kg,1067.56,693.85,1684.19,693.85,2,NGN,4705.46,2.9575,53,47,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 11
1407,OIK 1407,Abstract Material,General,,13919.55,13919.55,13919.55,13919.55,1,NGN,2687.32,0.1931,49,49,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
1417,OIK 1417,Abstract Material,General,,13948.59,13948.59,13948.59,13948.59,1,NGN,1551.37,0.1112,41,41,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
1447,BUILD 1447,Abstract Material,General,,20782.5,20782.5,20782.5,20782.5,1,NGN,2391.07,0.1151,39,39,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
252,Threaded iron nails (bolts) with washer,Material,General,kg,33360.95,808.41,107343.98,808.41,2,NGN,6956.44,1.1392,36,36,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 52
052,Sand for mortars,Material,General,,4630.6,4630.6,4630.6,4630.6,1,NGN,1982.49,0.4281,31,31,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 31
6501,Continuous glass curtain wall systems for building facades made of aluminum,Abstract Material,General,,86490.1,86490.1,86490.1,86490.1,1,NGN,82799.85,0.9573,30,30,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 65
265,Iron in strips and squares,Material,General,kg,1731.66,322.25,42604.46,322.25,2,NGN,1830.91,1.308,30,29,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 48
222,Clean cement (without Thira earth) including the value of paper bags Kg,Material,General,kg,40.65,25.91,43.01,43.01,2,NGN,13250.69,308.6207,29,26,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 25
6303,Pneumatic types (inflatable molds),Abstract Material,General,,7342.56,7342.56,7342.56,7342.56,1,NGN,37735.69,5.1393,29,29,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
051,Mortar sand,Material,General,m3,4630.6,4630.6,4630.6,4630.6,1,NGN,2824.66,0.61,29,29,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
6328,WAT 6328,Abstract Material,General,,58557.18,58557.18,58557.18,58557.18,1,NGN,75685.15,1.2925,28,28,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
319,"from 10 51 Rotary drilling rig with the capability to drill rocky soils with a hole diameter of 146 mm to a depth of 100 m, including",Equipment,General,H.M,8169.25,8169.25,8169.25,8169.25,1,NGN,198.4,0.0243,28,4,Marine / port works,Detailed Project Pricing (GGDE),Marine / port works,Marine / port works - chapter 42
6304,Additional price for the formation of carefully finished concrete surface finishes,Abstract Material,General,,2033.54,2033.54,2033.54,2033.54,1,NGN,10941.25,5.3804,26,8,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 63
1476,OIK 1476,Abstract Material,General,,1142.7,1142.7,1142.7,1142.7,1,NGN,1165.55,1.02,25,25,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 54
6325,"Production, transportation, laying, compaction, and curing of concrete Production or supply and on-site transportation of concrete of any category or quality, in accordance with the provisions of the Concrete Technology Regulation (KTS), the E.K.O.S., and the - For constructions of concrete category C10/12",Abstract Material,General,,42535.16,42535.16,42535.16,42535.16,1,NGN,8492.86,0.1997,24,24,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
6323,"Production, transport, laying, compaction, and curing of concrete Production or supply and on-site transport of concrete of any category or quality, according to the provisions of the Concrete Technology Regulation (KTS), the E.K.O.S., and - For constructions made of concrete category C8/10",Abstract Material,General,,38837.35,38837.35,38837.35,38837.35,1,NGN,5398.4,0.139,24,24,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
029,Domestic white cement with the value of paper bags Kg,Material,General,,56.08,56.08,56.08,56.08,1,NGN,5679.93,101.2864,22,22,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
1502,BUI 1502,Abstract Material,General,,194619.47,194619.47,194619.47,194619.47,1,NGN,9730.99,0.05,21,8,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 31
331,"Schist marble thickness 2 cm squared, length up to 1,50 m and origin Penteli (white)",Material,General,m2,28446.16,28446.16,28446.16,28446.16,1,NGN,21562.18,0.758,20,20,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 74
441,Sandpaper,Material,General,unit,28.76,28.76,28.76,28.76,1,NGN,16.03,0.5575,20,20,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 77
1449,BUILD 1449,Abstract Material,General,,18654.64,18654.64,18654.64,18654.64,1,NGN,379.3,0.0203,18,18,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 73
6330,WAT 6330,Abstract Material,General,,66400.41,66400.41,66400.41,66400.41,1,NGN,10092.86,0.152,18,6,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 63
032,Theraean soil,Material,General,,13325.46,13325.46,13325.46,13325.46,1,NGN,4122.01,0.3093,15,15,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
065,"Crushed stone (gravel) size 0,4 to 1 cm",Material,General,,3882.89,3882.89,3882.89,3882.89,1,NGN,1015.24,0.2615,15,15,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 32
442,Emery cloth,Material,General,unit,45.08,45.08,45.08,45.08,1,NGN,11.53,0.2554,14,14,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 77
6310,WAT 6310,Abstract Material,General,,529.79,529.79,529.79,529.79,1,NGN,5929.45,11.192,14,8,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 63
6329.2,"Production, transportation, placement, compaction, and curing of concrete Production or supply and on-site transportation of concrete of any category or quality, in accordance with the provisions of the Concrete Technology Regulation (CTR), E.K.O.S., and the - For concrete structures of category C20/25",Abstract Material,General,,61070.51,61070.51,61070.51,61070.51,1,NGN,9814.9,0.1607,14,8,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 63
321,"Marble of full-body steps with useful length up to 1,00 m and origin Penteli (white)",Material,General,m,210.47,210.47,210.47,210.47,1,NGN,8892.11,36.3779,14,10,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 75
398.1,"Bentonite kg 0,210 .2 Rock anchorage rod with expanding end, tensile strength 9t, length 1,50 m pcs 42,30 .3 Rock anchorage rod with expanding end, tensile strength 12 t, length 2,50 m pcs 49,80 .4 Rock anchorage rod PERFO, 1 ins and length 2,5 m or similar pcs 71,20 .5 BERNOLD plates or similar kg 5,80 .6 GRAELIUS type diamond drill bit diameter 48 mm pcs 330,00 .7 Diamond drill bit, diameter 146 mm (sampling) pcs 1360,00 .8 Seamless steel pipe internal diameter 150 mm and thickness 4,5 mm, for borehole casing m 30,75 .9 Galvanized longitudinal seam steel pipe, internal diameter 650mm and thickness 6 mm, for final casing of water borehole ""MET""",Material,General,m,94.39,94.39,94.39,94.39,1,NGN,1415.83,15.0,14,14,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 71
061,"Crushed stone size 0,7 to 7 cm",Material,General,,4071.67,4071.67,4071.67,4071.67,1,NGN,3080.06,0.7565,13,13,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 32
242,Compressed hardboard sheet thickness 3 mm,Material,General,m2,11901.8,555.23,136956.12,1665.68,3,NGN,8089.52,4.5546,13,12,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 56
056,"Gravel size 0,7 to 7 cm",Material,General,,3179.6,3179.6,3179.6,3179.6,1,NGN,2368.56,0.7449,13,13,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 31
6314,WAT 6314,Abstract Material,General,,737.81,737.81,737.81,737.81,1,NGN,6157.44,8.3456,13,7,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 63
112,Slotted (perforated) brickwork (with holes along) dimensions 19 x 11 x 8 cm,Material,General,unit,29.28,29.28,29.28,29.28,1,NGN,5763.06,196.8324,13,13,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 38
333,"Schist marble, 3 cm thick, squared, length up to 1,50 m and m2, originating from Penteli (white)",Material,General,,41297.82,41297.82,41297.82,41297.82,1,NGN,34277.19,0.83,12,12,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 74
1501,BUI 1501,Abstract Material,General,,170280.21,170280.21,170280.21,170280.21,1,NGN,8181.96,0.048,12,12,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 21
266,Shaped steel of all simple sections with height or side less than 8 cm,Material,General,kg,230.42,230.42,230.42,230.42,1,NGN,668.42,2.9009,11,10,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 61
457,Ready plaster (putty),Material,General,kg,306.45,306.45,306.45,306.45,1,NGN,169.92,0.5545,11,11,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 76
484,Mineral oil,Material,General,kg,1684.19,1684.19,1684.19,1684.19,1,NGN,3689.91,2.1909,11,11,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
6326,"Production, transport, laying, compaction, and curing of concrete Production or supply and transport on site of concrete of any category or quality, in accordance with the provisions of the Concrete Technology Regulation (KTS), the E.K.O.S., and - For constructions of concrete category C12/16",Abstract Material,General,,49193.89,49193.89,49193.89,49193.89,1,NGN,25439.39,0.5171,10,10,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
235,Shaped steel with side height up to 8 cm,Material,General,kg,230.42,230.42,230.42,230.42,1,NGN,46909.06,203.5812,10,9,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 26
212,Gasoline It,Material,General,,548.9,548.9,548.9,548.9,1,NGN,6312.33,11.5,10,10,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 51
443,Raw linseed oil,Material,General,kg,735.82,735.82,735.82,735.82,1,NGN,83.88,0.114,10,10,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
1446,BUILD 1446,Abstract Material,General,,18375.7,18375.7,18375.7,18375.7,1,NGN,1719.96,0.0936,10,10,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 43
231,"Tongue-and-groove strips made of pitch pine timber, width from 4 to 7 cm, net thickness at least 22 mm and length at least 40 cm, of American origin",Material,General,m2,1123.15,343.13,8143.34,343.13,2,NGN,1939.34,3.265,10,10,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 53
363,Wind brace hook,Material,General,unit,275.74,233.2,658.65,233.2,2,NGN,2354.08,9.73,10,10,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
1492,BUILD 1492,Abstract Material,General,,1051.63,1051.63,1051.63,1051.63,1,NGN,214.01,0.2035,10,10,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 77
1479,OIK 1479,Abstract Material,General,,14109.7,14109.7,14109.7,14109.7,1,NGN,9594.58,0.68,10,10,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 54
111,Perforated brickwork (with holes along) dimensions 19 x 9 x 6 cm,Material,General,unit,26.69,26.69,26.69,26.69,1,NGN,6688.0,250.6,10,10,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 46
128,Brick made of cellular concrete weighing 800 of any dimensions,Material,General,,32662.18,32662.18,32662.18,32662.18,1,NGN,4137.21,0.1267,9,9,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 47
035,Common gypsum (gray),Material,General,kg,32.68,32.68,32.68,32.68,1,NGN,1275.43,39.0222,9,9,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
282,Rectangular section steel tube (profile tube) for frames of any dimensions,Material,General,kg,1559.51,366.38,11104.55,366.38,2,NGN,1612.83,1.1456,9,9,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 62
7019,WATER 7019,Abstract Material,General,,32867.87,3402.76,77474.27,24933.49,8,NGN,25824.75,0.9,9,2,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 70
445,Naphtha,Material,General,kg,592.24,592.24,592.24,592.24,1,NGN,32.9,0.0556,9,9,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
473,Synthetic resin ripolin varnish paint,Material,General,kg,1048.45,1048.45,1048.45,1048.45,1,NGN,164.27,0.1567,9,9,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 77
332,"Split marble with a thickness of 2 cm squared, rectilinear, length over 1,50 m and m2, originating from Penteli (white)",Material,General,,29493.68,29493.68,29493.68,29493.68,1,NGN,23816.15,0.8075,8,8,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 74
1418,BUI 1418,Abstract Material,General,,14505.93,14505.93,14505.93,14505.93,1,NGN,226.65,0.0156,8,8,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 71
485,Crude oil (fuel) It,Material,General,,454.4,454.4,454.4,454.4,1,NGN,17914.65,39.425,8,8,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
444,Boiled linseed oil,Material,General,kg,817.11,817.11,817.11,817.11,1,NGN,148.83,0.1821,7,7,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
370,Four-wood support (frame),Material,General,unit,108.86,108.86,108.86,108.86,1,NGN,839.79,7.7143,7,7,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
370.8,150 - 370.16 150 - 370.24 150 - WAT 371. PLASTIC PIPES MADE OF PVC nominal pressure,Material,General,,0.0,0.0,0.0,0.0,0,NGN,0.0,1.0,7,7,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
223,"High early strength PORTLAND cement, including the value of paper bags",Material,General,kg,44.16,44.16,44.16,44.16,1,NGN,16338.86,370.0,7,7,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 63
233,"Plates of combined strips of glued oak flooring of mosaic parquet type, m2 thickness 8 to 10 mm, Central Europe",Material,General,kg,2400.46,206.95,7884.23,206.95,2,NGN,1584.13,1.6449,7,6,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 53
6069,Bedding layers and encasement of pipes with quarry sand,Abstract Material,General,,9249.84,9249.84,9249.84,9249.84,1,NGN,3924.57,0.4243,7,7,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 67
446,Dryer,Material,General,kg,985.53,985.53,985.53,985.53,1,NGN,20.41,0.0207,7,7,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
1412,BUI 1412,Abstract Material,General,,9376.24,9376.24,9376.24,9376.24,1,NGN,1326.07,0.1414,7,7,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
450,Parketin,Material,General,kg,22470.09,1052.27,31037.22,31037.22,2,NGN,39929.05,1.3086,7,7,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 77
1504,BUI 1504,Abstract Material,General,,230365.87,230365.87,230365.87,230365.87,1,NGN,1214.36,0.0053,7,7,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 21
1488,OIK 1488,Abstract Material,General,,288.65,288.65,288.65,288.65,1,NGN,124.53,0.4314,7,7,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 77
334,"Rectangular schist marble with thickness 3 cm, length over 1,50 m and m2, originating from Penteli (white)",Material,General,,44247.93,44247.93,44247.93,44247.93,1,NGN,41719.48,0.9429,7,7,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 75
366,"Wind brace mill, for German covers",Material,General,unit,7557.29,1850.94,8698.56,8698.56,2,NGN,2089.94,0.5027,6,3,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
241,"Margins (baseboards) of chestnut timber with width from 5 to 8 cm, thickness at least 12 mm and length at least 2 m, of domestic origin",Material,General,m,2868.68,2868.68,2868.68,2868.68,1,NGN,5335.74,1.7267,6,5,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 53
