resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Vakman,Labor,Labor,uur,28.15,28.15,28.15,28.15,1,EUR,75.5,2.6815,968,898,Building works,Gedetailleerde Werkfacturering (ΓΓΔΕ),Bouwwerkzaamheden,Bouwwerkzaamheden - hoofdstuk 21
002,Gespecialiseerde arbeider,Labor,Labor,uur,23.87,23.87,23.87,23.87,1,EUR,75.22,3.1509,496,448,Building works,Gedetailleerde Werkfacturering (ΓΓΔΕ),Bouwwerkzaamheden,Bouwactiviteiten - hoofdstuk 11
001,Ongekwalificeerd arbeider,Labor,Labor,uur,21.71,21.71,21.71,21.71,1,EUR,47.15,2.1722,341,327,Building works,Gedetailleerde Werkfacturering (ΓΓΔΕ),Bouwwerkzaamheden,Bouwactiviteiten - hoofdstuk 11
211,Inheemse eikenhout,Material,General,,25.32,1.74,1063.02,1.74,2,EUR,179.92,100.6957,270,175,Building works,Gedetailleerde Werkfacturering (ΓΓΔΕ),Bouwwerkzaamheden,Bouwwerkzaamheden - hoofdstuk 55
251,Algemene balken (steken),Material,General,kg,48.95,0.79,411.04,1.31,3,EUR,10.14,2.0911,129,128,Building works,Gedetailleerde Werkfacturering (ΓΓΔΕ),Bouwwerkzaamheden,Bouwwerkzaamheden - hoofdstuk 14
021,Water,Material,General,m3,3.78,3.78,3.78,3.78,1,EUR,0.86,0.2267,103,103,Building works,Gedetailleerde Werkfacturering (ΓΓΔΕ),Bouwwerkzaamheden,Bouwwerkzaamheden - hoofdstuk 14
221,Gewoon cement (Griekse type) met de waarde van de kartonnen zakken Kg,Material,General,kg,0.14,0.14,0.14,0.14,1,EUR,31.63,223.3854,96,55,Road works,Gedetailleerde Werkfacturering (ΓΓΔΕ),Wegenwerken,Wegenwerken - hoofdstuk 25
1445,OIK 1445,Abstract Material,General,,83.46,83.46,83.46,83.46,1,EUR,1.46,0.0175,88,88,Building works,Gedetailleerde Werkfacturering (ΓΓΔΕ),Bouwwerkzaamheden,Bouwwerkzaamheden - hoofdstuk 42
214,Oliemulsie,Material,General,kg,5.77,2.66,6.45,6.45,2,EUR,37.1,5.7679,78,75,Hydraulic works,Gedetailleerde Werkfacturering (ΓΓΔΕ),Hydraulische werken,Hydraulische werken - hoofdstuk 50
026,Gewoon cement met de waarde van zakken,Material,General,kg,0.14,0.14,0.14,0.14,1,EUR,31.88,225.1173,75,75,Building works,Gedetailleerde Werkfacturering (ΓΓΔΕ),Bouwwerkzaamheden,Bouwwerkzaamheden - hoofdstuk 14
