resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Murarz,Labor,Labor,godzina,74.26,74.26,74.26,74.26,1,PLN,199.12,2.6815,968,898,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Prace budowlane - rozdział 21
002,Wykwalifikowany robotnik,Labor,Labor,godzina,62.97,62.97,62.97,62.97,1,PLN,198.4,3.1509,496,448,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Prace budowlane - rozdział 11
001,Niewykwalifikowany robotnik,Labor,Labor,godzina,57.25,57.25,57.25,57.25,1,PLN,124.36,2.1722,341,327,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Prace budowlane - rozdział 11
211,Drewno dębowe krajowe,Material,General,,66.79,4.59,2803.66,4.59,2,PLN,474.54,100.6957,270,175,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Prace budowlane - rozdział 55
251,Wióry zwykłe (igły),Material,General,kg,129.1,2.09,1084.08,3.47,3,PLN,26.74,2.0911,129,128,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Roboty budowlane - rozdział 14
021,Woda,Material,General,m3,9.98,9.98,9.98,9.98,1,PLN,2.26,0.2267,103,103,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Roboty budowlane - rozdział 14
221,Cement zwykły (typ grecki) o wartości worków papierowych Kg,Material,General,kg,0.37,0.37,0.37,0.37,1,PLN,83.42,223.3854,96,55,Road works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty drogowe,Roboty drogowe - rozdział 25
1445,ΟΙΚ 1445,Abstract Material,General,,220.12,220.12,220.12,220.12,1,PLN,3.85,0.0175,88,88,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Roboty budowlane - rozdział 42
214,Olej mineralny,Material,General,kg,15.21,7.01,17.01,17.01,2,PLN,97.85,5.7679,78,75,Hydraulic works,Szczegółowe wyceny prac (ΓΓΔΕ),Prace hydrauliczne,Prace hydrauliczne - rozdział 50
026,Cement zwykły o wartości torebek,Material,General,kg,0.37,0.37,0.37,0.37,1,PLN,84.07,225.1173,75,75,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Roboty budowlane - rozdział 14
201,"Drewno obrobione (do rusztowań, dachów itp.) pochodzące z kraju",Material,General,,1084.08,1084.08,1084.08,1084.08,1,PLN,101.35,0.0935,75,75,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Roboty budowlane - rozdział 23
203.2,"Bielona, bielona, pochodząca z Europy Środkowej 335,00 m3 .4 Drewno iglaste krajowe",Material,General,,1383.14,1383.14,1383.14,1383.14,1,PLN,128.93,0.0932,73,67,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Prace budowlane - rozdział 52
205,Drewno strugane pochodzące ze Szwecji A',Material,General,,1794.34,1794.34,1794.34,1794.34,1,PLN,74.76,0.0417,69,59,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Prace budowlane - rozdział 54
116,"Śrutownik asfaltowy (Finisher) 18.1 BARBER GREEN 230, szerokość maksymalna 8,00 m, moc 18.2 BARBER GREEN 250, szerokość maksymalna 8,00 m",Equipment,General,ΗΜ,75.82,74.26,86.54,74.26,2,PLN,398.44,5.1977,63,55,Road works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty drogowe,Roboty drogowe - rozdział 12
081,"Kamienie surowe z kamieniołomu m3 11,01 materiały kamienne sztuczne",Material,General,,33.44,33.44,33.44,33.44,1,PLN,14.7,0.4397,58,58,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Prace budowlane - rozdział 34
1444,ΟΙΚ 1444,Abstract Material,General,,273.33,273.33,273.33,273.33,1,PLN,0.82,0.003,56,56,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Prace budowlane - rozdział 71
213,Gelatodynamit 30%,Material,General,kg,10.78,7.01,17.01,7.01,2,PLN,47.52,2.9575,53,47,Road works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty drogowe,Roboty drogowe - rozdział 11
1407,ΟΙΚ 1407,Abstract Material,General,,140.58,140.58,140.58,140.58,1,PLN,27.14,0.1931,49,49,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Roboty budowlane - rozdział 14
1417,ΟΙΚ 1417,Abstract Material,General,,140.87,140.87,140.87,140.87,1,PLN,15.67,0.1112,41,41,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Roboty budowlane - rozdział 42
1447,ΟΙΚ 1447,Abstract Material,General,,209.89,209.89,209.89,209.89,1,PLN,24.15,0.1151,39,39,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Roboty budowlane - rozdział 42
252,Śruby zbrojeniowe (śruby) z podkładką,Material,General,kg,336.92,8.16,1084.08,8.16,2,PLN,70.25,1.1392,36,36,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Prace budowlane - rozdział 52
052,Piasek drobnoziarnisty,Material,General,,46.77,46.77,46.77,46.77,1,PLN,20.02,0.4281,31,31,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Prace budowlane - rozdział 31
6501,Systemy ciągłego szklenia elewacji budynku z aluminium,Abstract Material,General,,873.48,873.48,873.48,873.48,1,PLN,836.21,0.9573,30,30,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Roboty budowlane - rozdział 65
265,Żelazo w belkach i kwadratach,Material,General,kg,17.49,3.25,430.27,3.25,2,PLN,18.49,1.308,30,29,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Roboty budowlane - rozdział 48
222,Cement czysty (bez ziemi Thira) o wartości worków papierowych Kg,Material,General,kg,0.41,0.26,0.43,0.43,2,PLN,133.82,308.6207,29,26,Road works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty drogowe,Roboty drogowe - rozdział 25
6303,Typy pneumatyczne (formy napowietrzane),Abstract Material,General,,74.15,74.15,74.15,74.15,1,PLN,381.1,5.1393,29,29,Hydraulic works,Szczegółowe wyceny prac (ΓΓΔΕ),Prace hydrauliczne,Roboty hydrauliczne - rozdział 67
051,Piasek do zapraw,Material,General,m3,46.77,46.77,46.77,46.77,1,PLN,28.53,0.61,29,29,Building works,Szczegółowe wyceny prac (ΓΓΔΕ),Roboty budowlane,Roboty budowlane - rozdział 14
6328,YΔΡ 6328,Abstract Material,General,,591.38,591.38,591.38,591.38,1,PLN,764.35,1.2925,28,28,Hydraulic works,Szczegółowe wyceny prac (ΓΓΔΕ),Prace hydrauliczne,Roboty hydrauliczne - rozdział 67
