resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Ajudante,Labor,Labor,hora,20.14,20.14,20.14,20.14,1,EUR,54.01,2.6815,968,898,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 21
002,Operário especializado,Labor,Labor,hora,17.08,17.08,17.08,17.08,1,EUR,53.81,3.1509,496,448,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 11
001,Operário não qualificado,Labor,Labor,hora,15.53,15.53,15.53,15.53,1,EUR,33.73,2.1722,341,327,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 11
211,Madeira de carvalho nacional,Material,General,,18.12,1.24,760.46,1.24,2,EUR,128.71,100.6957,270,175,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 55
251,Hastes comuns (agulhas),Material,General,kg,35.02,0.57,294.04,0.94,3,EUR,7.25,2.0911,129,128,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 14
021,Água,Material,General,m3,2.71,2.71,2.71,2.71,1,EUR,0.61,0.2267,103,103,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 14
221,Cimento comum (tipo grego) com o valor das sacolas de papel Kg,Material,General,kg,0.1,0.1,0.1,0.1,1,EUR,22.63,223.3854,96,55,Road works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de pavimentação,Obras rodoviárias - capítulo 25
1445,OIK 1445,Abstract Material,General,,59.7,59.7,59.7,59.7,1,EUR,1.05,0.0175,88,88,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 42
214,Óleo mineral,Material,General,kg,4.13,1.9,4.61,4.61,2,EUR,26.54,5.7679,78,75,Hydraulic works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras hidráulicas,Obras hidráulicas - capítulo 50
026,Cimento comum com o valor de sacos de papel,Material,General,kg,0.1,0.1,0.1,0.1,1,EUR,22.8,225.1173,75,75,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 14
201,"Madeira serrada (para andaimes, telhados etc.) de origem nacional",Material,General,,294.04,294.04,294.04,294.04,1,EUR,27.49,0.0935,75,75,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Capítulo 23 - trabalhos de construção
203.2,"Madeira serrada branca de origem da Europa Central 335,00 m3 .4 Madeira serrada de abeto doméstico",Material,General,,375.16,375.16,375.16,375.16,1,EUR,34.97,0.0932,73,67,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 52
205,Madeira serrada de origem sueca A',Material,General,,486.69,486.69,486.69,486.69,1,EUR,20.28,0.0417,69,59,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 54
116,"ASFALTADORA DE REBOCO (FINISHER) 18.1 BARBER GREEN 230, largura máxima 8,00 m, potência 18.2 BARBER GREEN 250,",Equipment,General,H.M,20.56,20.14,23.47,20.14,2,EUR,108.07,5.1977,63,55,Road works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de pavimentação,Obras rodoviárias - capítulo 12
081,"Pedras de pedreira artificial m3 11,01",Material,General,,9.07,9.07,9.07,9.07,1,EUR,3.99,0.4397,58,58,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 34
1444,OIK 1444,Abstract Material,General,,74.14,74.14,74.14,74.14,1,EUR,0.22,0.003,56,56,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 71
213,Zelatodinamítica 30%,Material,General,kg,2.92,1.9,4.61,1.9,2,EUR,12.89,2.9575,53,47,Road works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de pavimentação,Obras rodoviárias - capítulo 11
1407,OIK 1407,Abstract Material,General,,38.13,38.13,38.13,38.13,1,EUR,7.36,0.1931,49,49,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 14
1417,OIK 1417,Abstract Material,General,,38.21,38.21,38.21,38.21,1,EUR,4.25,0.1112,41,41,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 42
1447,OIK 1447,Abstract Material,General,,56.93,56.93,56.93,56.93,1,EUR,6.55,0.1151,39,39,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 42
252,Porcas de aço com arruela,Material,General,kg,91.38,2.21,294.04,2.21,2,EUR,19.06,1.1392,36,36,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 52
052,Areia de partículas finas,Material,General,,12.68,12.68,12.68,12.68,1,EUR,5.43,0.4281,31,31,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 31
6501,Sistemas de fachada contínua de vidro de edifício de alumínio,Abstract Material,General,,236.92,236.92,236.92,236.92,1,EUR,226.81,0.9573,30,30,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 65
265,Aço em vigas e quadrados,Material,General,kg,4.74,0.88,116.7,0.88,2,EUR,5.02,1.308,30,29,Building works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de construção,Obras de construção - capítulo 48
222,Cimento limpo (sem argila de Thira) com o valor das sacolas de papel Kg,Material,General,kg,0.11,0.07,0.12,0.12,2,EUR,36.3,308.6207,29,26,Road works,Orçamentos detalhados de obras (ΓΓΔΕ),Obras de pavimentação,Obras rodoviárias - capítulo 25
