resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Meseriaș,Labor,Labor,oră,74.64,74.64,74.64,74.64,1,RON,200.14,2.6815,968,898,Building works,Însumare detaliată a tarifelor pentru lucrări (ΓΓΔΕ),Lucrări de construcții,Lucrări de construcții - capitolul 21
002,Lucrător specializat,Labor,Labor,oră,63.29,63.29,63.29,63.29,1,RON,199.42,3.1509,496,448,Building works,Însumare detaliată a tarifelor pentru lucrări (ΓΓΔΕ),Lucrări de construcții,Lucrări de construcții - capitolul 11
001,Muncitor necalificat,Labor,Labor,oră,57.55,57.55,57.55,57.55,1,RON,125.0,2.1722,341,327,Building works,Însumare detaliată a tarifelor pentru lucrări (ΓΓΔΕ),Lucrări de construcții,Lucrări de construcții - capitolul 11
211,Lemn de stejar autohton,Material,General,,67.13,4.61,2818.06,4.61,2,RON,476.97,100.6957,270,175,Building works,Însumare detaliată a tarifelor pentru lucrări (ΓΓΔΕ),Lucrări de construcții,Lucrări de construcții - capitolul 55
251,Țevi comune (știfturi),Material,General,kg,129.76,2.1,1089.65,3.48,3,RON,26.88,2.0911,129,128,Building works,Însumare detaliată a tarifelor pentru lucrări (ΓΓΔΕ),Lucrări de construcții,Lucrări de construcții - capitol 14
021,apă,Material,General,m3,10.03,10.03,10.03,10.03,1,RON,2.27,0.2267,103,103,Building works,Însumare detaliată a tarifelor pentru lucrări (ΓΓΔΕ),Lucrări de construcții,Lucrări de construcții - capitol 14
221,Ciment comun (tip grecesc) cu valoarea sacilor de hârtie Kg,Material,General,kg,0.38,0.38,0.38,0.38,1,RON,83.85,223.3854,96,55,Road works,Însumare detaliată a tarifelor pentru lucrări (ΓΓΔΕ),Lucrări de drumuri,Lucrări de drumuri - capitol 25
1445,ΟΙΚ 1445,Abstract Material,General,,221.25,221.25,221.25,221.25,1,RON,3.87,0.0175,88,88,Building works,Însumare detaliată a tarifelor pentru lucrări (ΓΓΔΕ),Lucrări de construcții,Lucrări de construcții - capitolul 42
214,Ulei mineral,Material,General,kg,15.29,7.04,17.1,17.1,2,RON,98.35,5.7679,78,75,Hydraulic works,Însumare detaliată a tarifelor pentru lucrări (ΓΓΔΕ),Lucrări hidraulice,Lucrări hidraulice - capitol 50
026,Ciment comun cu valoarea pungi de hârtie,Material,General,kg,0.38,0.38,0.38,0.38,1,RON,84.5,225.1173,75,75,Building works,Însumare detaliată a tarifelor pentru lucrări (ΓΓΔΕ),Lucrări de construcții,Lucrări de construcții - capitol 14
