resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Техник,Labor,Labor,час,1116.45,1116.45,1116.45,1116.45,1,RUB,2993.76,2.6815,968,898,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - глава 21
002,Специализированный рабочий,Labor,Labor,час,946.69,946.69,946.69,946.69,1,RUB,2982.9,3.1509,496,448,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - глава 11
001,Неграмотный рабочий,Labor,Labor,час,860.78,860.78,860.78,860.78,1,RUB,1869.79,2.1722,341,327,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - глава 11
211,Внутренний дубовый лесоматериал,Material,General,,1004.19,69.0,42152.93,69.0,2,RUB,7134.63,100.6957,270,175,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Строительные работы - раздел 55
251,обычные гвозди,Material,General,kg,1940.97,31.42,16299.13,52.1,3,RUB,402.07,2.0911,129,128,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - раздел 14
021,Вода,Material,General,m3,150.06,150.06,150.06,150.06,1,RUB,34.02,0.2267,103,103,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - раздел 14
221,Цемент общего назначения (греческого типа) с ценностью бумажных мешков кг,Material,General,kg,5.61,5.61,5.61,5.61,1,RUB,1254.26,223.3854,96,55,Road works,Подробный перечень работ (ΓΓΔΕ),Дорожные работы,Дорожные работы - раздел 25
1445,ОК 1445,Abstract Material,General,,3309.46,3309.46,3309.46,3309.46,1,RUB,57.95,0.0175,88,88,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - глава 42
214,Масляное масло,Material,General,kg,228.74,105.35,255.73,255.73,2,RUB,1471.17,5.7679,78,75,Hydraulic works,Подробный перечень работ (ΓΓΔΕ),Гидравлические работы,Гидравлические работы - раздел 50
026,Общий цемент с ценностью мешков,Material,General,kg,5.61,5.61,5.61,5.61,1,RUB,1263.98,225.1173,75,75,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - раздел 14
201,"Древесина строганная (для лесов, крыш и т. п.) внутреннего происхождения",Material,General,,16299.13,16299.13,16299.13,16299.13,1,RUB,1523.8,0.0935,75,75,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - раздел 23
203.2,"Беловагональная пиломатериал из Центральной Европы 335,00 м3 .4 Внутренний пиломатериал из отечественной ели",Material,General,,20795.44,20795.44,20795.44,20795.44,1,RUB,1938.41,0.0932,73,67,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Строительные работы - раздел 52
205,Пиломатериалы строганной древесины происхождения Швеция А',Material,General,,26977.87,26977.87,26977.87,26977.87,1,RUB,1124.07,0.0417,69,59,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Строительные работы - раздел 54
116,"ДИСТРОЙЩИК АССФАЛЬТОБЕТОННОГО ЗАПОЛНЕНИЯ (FINISHER) 18.1 BARBER GREEN 230, макс. ширина 8,00 м, мощность 18.2 BARBER GREEN 250, макс",Equipment,General,ΗΜ,1139.9,1116.45,1301.13,1116.45,2,RUB,5990.56,5.1977,63,55,Road works,Подробный перечень работ (ΓΓΔΕ),Дорожные работы,Строительные работы - раздел 12
081,"Камни из карьера по искусственному камню m3 11,01",Material,General,,502.8,502.8,502.8,502.8,1,RUB,221.06,0.4397,58,58,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Строительные работы - глава 34
1444,ОИК 1444,Abstract Material,General,,4109.49,4109.49,4109.49,4109.49,1,RUB,12.3,0.003,56,56,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - раздел 71
213,Зелатоодинамитида 30%,Material,General,kg,162.1,105.35,255.73,105.35,2,RUB,714.48,2.9575,53,47,Road works,Подробный перечень работ (ΓΓΔΕ),Дорожные работы,Дорожные работы - раздел 11
1407,ΟΙΚ 1407,Abstract Material,General,,2113.55,2113.55,2113.55,2113.55,1,RUB,408.04,0.1931,49,49,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - раздел 14
1417,ОИК 1417,Abstract Material,General,,2117.96,2117.96,2117.96,2117.96,1,RUB,235.56,0.1112,41,41,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - глава 42
1447,ОИК 1447,Abstract Material,General,,3155.62,3155.62,3155.62,3155.62,1,RUB,363.06,0.1151,39,39,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - глава 42
252,стальные анкеры (болты) с шайбой,Material,General,kg,5065.53,122.75,16299.13,122.75,2,RUB,1056.27,1.1392,36,36,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Строительные работы - раздел 52
052,Песок пылевидный,Material,General,,703.11,703.11,703.11,703.11,1,RUB,301.02,0.4281,31,31,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - раздел 31
6501,Системы непрерывного остекления фасада здания из алюминия,Abstract Material,General,,13132.67,13132.67,13132.67,13132.67,1,RUB,12572.35,0.9573,30,30,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - раздел 65
265,Арматура из стали в полосах и квадратах,Material,General,kg,262.94,48.93,6469.07,48.93,2,RUB,278.01,1.308,30,29,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - раздел 48
222,Цемент чистый (без тирайской земли) по стоимости бумажных мешков кг,Material,General,kg,6.17,3.93,6.53,6.53,2,RUB,2011.99,308.6207,29,26,Road works,Подробный перечень работ (ΓΓΔΕ),Дорожные работы,Дорожные работы - раздел 25
6303,Пневматические формы (надувные формы),Abstract Material,General,,1114.9,1114.9,1114.9,1114.9,1,RUB,5729.79,5.1393,29,29,Hydraulic works,Подробный перечень работ (ΓΓΔΕ),Гидравлические работы,Гидравлические работы - раздел 67
051,Песок для растворов,Material,General,m3,703.11,703.11,703.11,703.11,1,RUB,428.9,0.61,29,29,Building works,Подробный перечень работ (ΓΓΔΕ),Общественные работы,Работы по строительству - раздел 14
6328,ΥΔΡ 6328,Abstract Material,General,,8891.33,8891.33,8891.33,8891.33,1,RUB,11492.05,1.2925,28,28,Hydraulic works,Подробный перечень работ (ΓΓΔΕ),Гидравлические работы,Гидравлические работы - раздел 67
