resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Artisan,Labor,Labor,heure,7850.0,7850.0,7850.0,7850.0,1,XOF,21049.85,2.6815,968,898,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 21
002,Ouvrier qualifié,Labor,Labor,heure,6656.37,6656.37,6656.37,6656.37,1,XOF,20973.49,3.1509,496,448,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 11
001,Ouvrier non qualifié,Labor,Labor,heure,6052.36,6052.36,6052.36,6052.36,1,XOF,13146.93,2.1722,341,327,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 11
211,Bois de chêne local,Material,General,,7060.74,485.13,296387.53,485.13,2,XOF,50165.31,100.6957,270,175,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 55
251,Clous communs (aiguilles),Material,General,kg,13647.43,220.95,114603.18,366.33,3,XOF,2827.02,2.0911,129,128,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
021,Eau,Material,General,m3,1055.14,1055.14,1055.14,1055.14,1,XOF,239.2,0.2267,103,103,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
221,Ciment ordinaire (type grec) avec la valeur des sacs en papier Kg,Material,General,kg,39.48,39.48,39.48,39.48,1,XOF,8818.99,223.3854,96,55,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 25
1445,OIK 1445,Abstract Material,General,,23269.62,23269.62,23269.62,23269.62,1,XOF,407.49,0.0175,88,88,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 42
214,Pétrole brut,Material,General,kg,1608.31,740.77,1798.08,1798.08,2,XOF,10344.15,5.7679,78,75,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 50
026,Ciment commun avec la valeur des sacs en papier,Material,General,kg,39.48,39.48,39.48,39.48,1,XOF,8887.37,225.1173,75,75,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
201,"Bois scié (pour échafaudages, toits, etc.) d'origine intérieure",Material,General,,114603.18,114603.18,114603.18,114603.18,1,XOF,10714.17,0.0935,75,75,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 23
203.2,"Bois scié blanc d'origine d'Europe centrale 335,00 m3 .4 Bois scié domestique d'épicéa",Material,General,,146217.85,146217.85,146217.85,146217.85,1,XOF,13629.47,0.0932,73,67,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 52
205,Bois scié d'origine suédoise A',Material,General,,189688.02,189688.02,189688.02,189688.02,1,XOF,7903.61,0.0417,69,59,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 54
116,"FINISSEUR D'ASPHALTE (FINISHER) 18.1 BARBER GREEN 230, largeur max. 8,00 m, puissance 18.2 BARBER GREEN 250,",Equipment,General,H.M,8014.89,7850.0,9148.54,7850.0,2,XOF,42121.08,5.1977,63,55,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 12
081,"Pierres argileuses de carrière m3 11,01 MATÉRIAUX PÉTRIFIÉS ARTIFICIELS",Material,General,,3535.31,3535.31,3535.31,3535.31,1,XOF,1554.32,0.4397,58,58,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 34
1444,OIK 1444,Abstract Material,General,,28894.82,28894.82,28894.82,28894.82,1,XOF,86.48,0.003,56,56,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 71
213,Zélatodynamitide 30%,Material,General,kg,1139.76,740.77,1798.08,740.77,2,XOF,5023.67,2.9575,53,47,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 11
1407,OIK 1407,Abstract Material,General,,14860.87,14860.87,14860.87,14860.87,1,XOF,2869.05,0.1931,49,49,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
1417,OIK 1417,Abstract Material,General,,14891.87,14891.87,14891.87,14891.87,1,XOF,1656.28,0.1112,41,41,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 42
1447,OIK 1447,Abstract Material,General,,22187.93,22187.93,22187.93,22187.93,1,XOF,2552.77,0.1151,39,39,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 42
252,Boulons en acier avec rondelle,Material,General,kg,35617.0,863.08,114603.18,863.08,2,XOF,7426.87,1.1392,36,36,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 52
052,Sable de concassage,Material,General,,4943.74,4943.74,4943.74,4943.74,1,XOF,2116.56,0.4281,31,31,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 31
6501,Systèmes de façades en verre continu en aluminium,Abstract Material,General,,92339.04,92339.04,92339.04,92339.04,1,XOF,88399.23,0.9573,30,30,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 65
265,Fer en plaques et en carrés,Material,General,kg,1848.77,344.05,45485.61,344.05,2,XOF,1954.73,1.308,30,29,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 48
222,Ciment pur (sans terre de Théra) avec la valeur des sacs en papier Kg,Material,General,kg,43.4,27.66,45.92,45.92,2,XOF,14146.77,308.6207,29,26,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 25
6303,Types de moules (gonflables),Abstract Material,General,,7839.1,7839.1,7839.1,7839.1,1,XOF,40287.58,5.1393,29,29,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 67
051,Sable à mortier,Material,General,m3,4943.74,4943.74,4943.74,4943.74,1,XOF,3015.68,0.61,29,29,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
6328,HYDR 6328,Abstract Material,General,,62517.14,62517.14,62517.14,62517.14,1,XOF,80803.4,1.2925,28,28,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 67
319,"à partir de 10 51 Foreuse rotative avec capacité de perçage de terrains rocheux de diamètre 146 mm à une profondeur de 100 m, qui comprend",Equipment,General,H.M,8721.7,8721.7,8721.7,8721.7,1,XOF,211.81,0.0243,28,4,Marine / port works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux maritimes / portuaires,Travaux maritimes / portuaires - chapitre 42
6304,Prix supplémentaire pour la finition des surfaces en béton,Abstract Material,General,,2171.06,2171.06,2171.06,2171.06,1,XOF,11681.16,5.3804,26,8,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 63
1476,OIK 1476,Abstract Material,General,,1219.97,1219.97,1219.97,1219.97,1,XOF,1244.37,1.02,25,25,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 54
6325,"Production, transport, screeding, compaction et entretien du béton Production ou approvisionnement et transport sur site du béton de toute catégorie ou qualité, conformément aux dispositions du Règlement sur la technologie du béton (RTB), de l'E.K.O.S. et des - Pour constructions en béton de catégorie C10/12",Abstract Material,General,,45411.63,45411.63,45411.63,45411.63,1,XOF,9067.19,0.1997,24,24,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 67
6323,"Production, transport, spreading, compaction et entretien du béton Production ou approvisionnement et transport sur site du béton de toute catégorie ou qualité, conformément aux dispositions du Règlement sur la technologie du béton (RTB), de l'E.K.O.S. et des - Pour constructions en béton de catégorie C8/10",Abstract Material,General,,41463.74,41463.74,41463.74,41463.74,1,XOF,5763.46,0.139,24,24,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 67
029,Ciment blanc national avec la valeur des sacs en Kg,Material,General,,59.87,59.87,59.87,59.87,1,XOF,6064.04,101.2864,22,22,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
1502,OIK 1502,Abstract Material,General,,207780.71,207780.71,207780.71,207780.71,1,XOF,10389.05,0.05,21,8,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 31
331,"Marbre schisteux d'épaisseur 2 cm, équarri, longueur jusqu'à 1,50 m, origine Penteli (blanc)",Material,General,m2,30369.84,30369.84,30369.84,30369.84,1,XOF,23020.34,0.758,20,20,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 74
441,Papier abrasif,Material,General,pièce,30.71,30.71,30.71,30.71,1,XOF,17.12,0.5575,20,20,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 77
1449,OIK 1449,Abstract Material,General,,19916.17,19916.17,19916.17,19916.17,1,XOF,404.95,0.0203,18,18,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 73
6330,HYDR 6330,Abstract Material,General,,70890.78,70890.78,70890.78,70890.78,1,XOF,10775.4,0.152,18,6,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 63
032,Terre de Théra,Material,General,,14226.6,14226.6,14226.6,14226.6,1,XOF,4400.76,0.3093,15,15,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
065,"Concassé (gravier) dimension 0,4 à 1 cm",Material,General,,4145.47,4145.47,4145.47,4145.47,1,XOF,1083.9,0.2615,15,15,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 32
442,Papier abrasif,Material,General,pièce,48.13,48.13,48.13,48.13,1,XOF,12.31,0.2554,14,14,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 77
6310,Eau 6310,Abstract Material,General,,565.62,565.62,565.62,565.62,1,XOF,6330.43,11.192,14,8,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 63
6329.2,"Production, transport, screeding, compaction et entretien du béton Production ou approvisionnement et transport sur site du béton de toute catégorie ou qualité, conformément aux dispositions du Règlement sur la technologie du béton (RTB), de l'E.K.O.S. et des - Pour constructions en béton de catégorie C20/25",Abstract Material,General,,65200.43,65200.43,65200.43,65200.43,1,XOF,10478.64,0.1607,14,8,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 63
321,"Marbre de marches pleines d'une longueur utile jusqu'à 1,00 m et d'origine Penteli (blanc)",Material,General,m,224.7,224.7,224.7,224.7,1,XOF,9493.44,36.3779,14,10,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 75
398.1,"Bentonite kg 0,210 .2 Tige d'ancrage de roche à extrémité dilatable, résistance à la rupture 9t, longueur 1,50 m pièce 42,30 .3 Tige d'ancrage de roche à extrémité dilatable, résistance à la rupture 12 t, longueur 2,50 m pièce 49,80 .4 Tige d'ancrage de roche PERFO, 1 ins et longueur 2,5 m ou équivalents pièce 71,20 .5 Plaques BERNOLD ou équivalents kg 5,80 .6 Couronne diamantée de forage type GRAELIUS diamètre 48 mm pièce 330,00 .7 Couronne diamantée de forage, diamètre 146 mm (échantillonnage) pièce 1360,00 .8 Tube en acier sans soudure diamètre intérieur 150 mm et épaisseur 4,5 mm, pour le revêtement des forages m 30,75 .9 Tube en acier avec soudure longitudinale galvanisé, diamètre intérieur 650mm et épaisseur 6 mm, pour la tubulure finale de forage hydraulique ""MET""",Material,General,m,100.77,100.77,100.77,100.77,1,XOF,1511.58,15.0,14,14,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 71
061,"Gravier dimensionné de 0,7 à 7 cm",Material,General,,4347.02,4347.02,4347.02,4347.02,1,XOF,3288.35,0.7565,13,13,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 32
242,Carton compressé (carton dur) d'épaisseur 3 mm,Material,General,m2,12706.67,592.78,146217.85,1778.33,3,XOF,8636.58,4.5546,13,12,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 56
056,"Graviers dimension 0,7 à 7 cm",Material,General,,3394.63,3394.63,3394.63,3394.63,1,XOF,2528.74,0.7449,13,13,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 31
6314,Eau 6314,Abstract Material,General,,787.7,787.7,787.7,787.7,1,XOF,6573.84,8.3456,13,7,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 63
112,Brique (ouverture) à trous (avec trous le long) dimensions 19 x 11 x 8 cm,Material,General,pièce,31.26,31.26,31.26,31.26,1,XOF,6152.79,196.8324,13,13,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 38
333,"Marbre schisteux d'épaisseur 3 cm, équarri, longueur jusqu'à 1,50 m et m2, origine Penteli (blanc)",Material,General,,44090.61,44090.61,44090.61,44090.61,1,XOF,36595.21,0.83,12,12,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 74
1501,OIK 1501,Abstract Material,General,,181795.5,181795.5,181795.5,181795.5,1,XOF,8735.26,0.048,12,12,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 21
266,Acier profilé de toutes sections simples d'une hauteur ou d'un côté inférieure à 8 cm,Material,General,kg,246.0,246.0,246.0,246.0,1,XOF,713.62,2.9009,11,10,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 61
457,Enduit prêt à l'emploi (pâte),Material,General,kg,327.17,327.17,327.17,327.17,1,XOF,181.41,0.5545,11,11,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 76
484,Pétrole brut,Material,General,kg,1798.08,1798.08,1798.08,1798.08,1,XOF,3939.44,2.1909,11,11,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 11
6326,"Production, transport, screeding, compaction et entretien du béton Production ou approvisionnement et transport sur site du béton de toute catégorie ou qualité, conformément aux dispositions du Règlement sur la technologie du béton (RTB), de l'E.K.O.S. et des - Pour les constructions en béton de catégorie C12/16",Abstract Material,General,,52520.65,52520.65,52520.65,52520.65,1,XOF,27159.74,0.5171,10,10,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 67
235,Fer plat d'une hauteur de côté jusqu'à 8 cm,Material,General,kg,246.0,246.0,246.0,246.0,1,XOF,50081.31,203.5812,10,9,Road works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux routiers,Travaux routiers - chapitre 26
212,Essence It,Material,General,,586.02,586.02,586.02,586.02,1,XOF,6739.2,11.5,10,10,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 51
443,Huile de lin crue,Material,General,kg,785.59,785.59,785.59,785.59,1,XOF,89.55,0.114,10,10,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
1446,OIK 1446,Abstract Material,General,,19618.36,19618.36,19618.36,19618.36,1,XOF,1836.27,0.0936,10,10,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 43
231,"Lattes en bois de pin pitchpin, largeur de 4 à 7 cm, épaisseur nette d'au moins 22 mm et longueur d'au moins 40 cm, origine Amérique",Material,General,m2,1199.1,366.33,8694.03,366.33,2,XOF,2070.49,3.265,10,10,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 53
363,Étrier de vent,Material,General,pièce,294.39,248.97,703.19,248.97,2,XOF,2513.28,9.73,10,10,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
1492,OIK 1492,Abstract Material,General,,1122.75,1122.75,1122.75,1122.75,1,XOF,228.49,0.2035,10,10,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 77
1479,OIK 1479,Abstract Material,General,,15063.87,15063.87,15063.87,15063.87,1,XOF,10243.42,0.68,10,10,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 54
111,Brique (ouvert) à trous (avec trous le long) dimensions 19 χ 9 χ 6 cm,Material,General,pièce,28.49,28.49,28.49,28.49,1,XOF,7140.28,250.6,10,10,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 46
128,Brique en béton cellulaire d'un poids de 800 de n'importe quelles dimensions,Material,General,,34870.98,34870.98,34870.98,34870.98,1,XOF,4416.99,0.1267,9,9,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 47
035,Plâtre ordinaire (gris),Material,General,kg,34.89,34.89,34.89,34.89,1,XOF,1361.68,39.0222,9,9,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
282,Tube en acier à section rectangulaire (tube profilé) pour châssis de toutes dimensions,Material,General,kg,1664.97,391.15,11855.5,391.15,2,XOF,1721.9,1.1456,9,9,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 62
7019,HYDR 7019,Abstract Material,General,,35090.58,3632.88,82713.51,26619.63,8,XOF,27571.17,0.9,9,2,Hydraulic works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux hydrauliques,Travaux hydrauliques - chapitre 70
445,Pétrole,Material,General,kg,632.29,632.29,632.29,632.29,1,XOF,35.13,0.0556,9,9,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
473,Peinture Ripolin à base de matières synthétiques,Material,General,kg,1119.36,1119.36,1119.36,1119.36,1,XOF,175.37,0.1567,9,9,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 77
332,"Marbre ardoisé d'une épaisseur de 2 cm, équarri, longueur supérieure à 1,50 m et m2, origine Pentélique (blanc)",Material,General,,31488.21,31488.21,31488.21,31488.21,1,XOF,25426.73,0.8075,8,8,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 74
1418,OIK 1418,Abstract Material,General,,15486.9,15486.9,15486.9,15486.9,1,XOF,241.98,0.0156,8,8,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 71
485,Pétrole brut (moteur) It,Material,General,,485.13,485.13,485.13,485.13,1,XOF,19126.14,39.425,8,8,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 11
444,Huile de lin bouillie,Material,General,kg,872.37,872.37,872.37,872.37,1,XOF,158.9,0.1821,7,7,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
370,Support en bois carré (châssis),Material,General,pièce,116.22,116.22,116.22,116.22,1,XOF,896.58,7.7143,7,7,Building works,Tarification détaillée des travaux (ΓΓΔΕ),Travaux de construction,Travaux de construction - chapitre 14
