resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Hantverkare,Labor,Labor,timme,322.3,322.3,322.3,322.3,1,SEK,864.24,2.6815,968,898,Building works,Detaljerad kostnadskatalog för arbeten (ΓΓΔΕ),Byggnadsarbeten,Byggnadsarbeten - kapitel 21
002,Specialiserad arbetare,Labor,Labor,timme,273.29,273.29,273.29,273.29,1,SEK,861.11,3.1509,496,448,Building works,Detaljerad kostnadskatalog för arbeten (ΓΓΔΕ),Byggnadsarbeten,Byggnadsarbeten - kapitel 11
001,Oskicklig arbetare,Labor,Labor,timme,248.49,248.49,248.49,248.49,1,SEK,539.77,2.1722,341,327,Building works,Detaljerad kostnadskatalog för arbeten (ΓΓΔΕ),Byggnadsarbeten,Byggnadsarbeten - kapitel 11
211,Inhemsk ekollonträ,Material,General,,289.89,19.92,12168.74,19.92,2,SEK,2059.63,100.6957,270,175,Building works,Detaljerad kostnadskatalog för arbeten (ΓΓΔΕ),Byggnadsarbeten,Byggnadsarbeten - kapitel 55
251,Allmänna spikar,Material,General,kg,560.32,9.07,4705.25,15.04,3,SEK,116.07,2.0911,129,128,Building works,Detaljerad kostnadskatalog för arbeten (ΓΓΔΕ),Byggnadsarbeten,Byggnadsarbeten - kapitel 14
021,Vatten,Material,General,m3,43.32,43.32,43.32,43.32,1,SEK,9.82,0.2267,103,103,Building works,Detaljerad kostnadskatalog för arbeten (ΓΓΔΕ),Byggnadsarbeten,Byggnadsarbeten - kapitel 14
221,Portlandcement (Grekisk typ) med värde för papperssäckar Kg,Material,General,kg,1.62,1.62,1.62,1.62,1,SEK,362.08,223.3854,96,55,Road works,Detaljerad kostnadskatalog för arbeten (ΓΓΔΕ),Väg- och gatuprojekt,Vägbyggnadsarbeten - kapitel 25
1445,OIK 1445,Abstract Material,General,,955.38,955.38,955.38,955.38,1,SEK,16.73,0.0175,88,88,Building works,Detaljerad kostnadskatalog för arbeten (ΓΓΔΕ),Byggnadsarbeten,Byggnadsarbeten - kapitel 42
214,Mineralolja,Material,General,kg,66.03,30.41,73.82,73.82,2,SEK,424.7,5.7679,78,75,Hydraulic works,Detaljerad kostnadskatalog för arbeten (ΓΓΔΕ),Hydrauliska arbeten,Hydrauliska arbeten - kapitel 50
026,"Cement, vanlig, med värde för säckar",Material,General,kg,1.62,1.62,1.62,1.62,1,SEK,364.89,225.1173,75,75,Building works,Detaljerad kostnadskatalog för arbeten (ΓΓΔΕ),Byggnadsarbeten,Byggnadsarbeten - kapitel 14
