resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,ช่างเทคนิค,Labor,Labor,ชั่วโมง,380.5,380.5,380.5,380.5,1,THB,1020.31,2.6815,968,898,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 21
002,ช่างเทคนิคเฉพาะทาง,Labor,Labor,ชั่วโมง,322.64,322.64,322.64,322.64,1,THB,1016.61,3.1509,496,448,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 11
001,คนงานที่ไม่มีความเชี่ยวชาญ,Labor,Labor,ชั่วโมง,293.37,293.37,293.37,293.37,1,THB,637.25,2.1722,341,327,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 11
211,ไม้เนื้อแข็งจากท้องถิ่น,Material,General,,342.24,23.51,14366.28,23.51,2,THB,2431.58,100.6957,270,175,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 55
251,เสาเข็มคอนกรีตเสริมเหล็ก,Material,General,kg,661.51,10.71,5554.96,17.76,3,THB,137.03,2.0911,129,128,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 14
021,น้ำ,Material,General,m3,51.14,51.14,51.14,51.14,1,THB,11.59,0.2267,103,103,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 14
221,ซีเมนต์ปูนซีเมนต์ทั่วไป (ชนิดกรีก) ด้วยมูลค่าถุงกระดาษ กก,Material,General,kg,1.91,1.91,1.91,1.91,1,THB,427.47,223.3854,96,55,Road works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้างถนน,งานถนน - บทที่ 25
1445,ΟΙΚ 1445,Abstract Material,General,,1127.91,1127.91,1127.91,1127.91,1,THB,19.75,0.0175,88,88,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 42
214,น้ำมันแร่,Material,General,kg,77.96,35.91,87.16,87.16,2,THB,501.39,5.7679,78,75,Hydraulic works,รายละเอียดราคางาน (ΓΓΔΕ),งานระบบไฮดรอลิก,งานระบบไฮดรอลิก - บทที่ 50
026,ซีเมนต์ปูนซีเมนต์ทั่วไปพร้อมค่ากระเป๋า,Material,General,kg,1.91,1.91,1.91,1.91,1,THB,430.78,225.1173,75,75,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 14
201,"ไม้แปรรูป (สำหรับโครงสร้าง, หลังคา ฯลฯ) จากภายในประเทศ",Material,General,,5554.96,5554.96,5554.96,5554.96,1,THB,519.33,0.0935,75,75,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 23
203.2,"ไม้แปรรูปสีขาวจากยุโรปกลาง 335,00 m3 .4 ไม้แปรรูปจากไม้สนในประเทศ",Material,General,,7087.37,7087.37,7087.37,7087.37,1,THB,660.64,0.0932,73,67,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 52
205,ไม้แปรรูปจากสวีเดน A',Material,General,,9194.42,9194.42,9194.42,9194.42,1,THB,383.1,0.0417,69,59,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 54
116,"เครื่องมือบดอัดพื้นผิว Asphalt (Finisher) 18.1 BARBER GREEN 230, ความกว้างสูงสุด 8,00 m, กำลัง 18.2 BARBER GREEN 250, ความ",Equipment,General,ΗΜ,388.49,380.5,443.44,380.5,2,THB,2041.66,5.1977,63,55,Road works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้างถนน,งานถนน - บทที่ 12
081,"หินอ่อนจากเหมือง m3 11,01 วัสดุหินเทียม",Material,General,,171.36,171.36,171.36,171.36,1,THB,75.34,0.4397,58,58,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 34
1444,ΟΙΚ 1444,Abstract Material,General,,1400.57,1400.57,1400.57,1400.57,1,THB,4.19,0.003,56,56,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 71
213,ซิลิโคน 30%,Material,General,kg,55.25,35.91,87.16,35.91,2,THB,243.5,2.9575,53,47,Road works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้างถนน,งานถนน - บทที่ 11
1407,ΟΙΚ 1407,Abstract Material,General,,720.33,720.33,720.33,720.33,1,THB,139.07,0.1931,49,49,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 14
1417,ΟΙΚ 1417,Abstract Material,General,,721.83,721.83,721.83,721.83,1,THB,80.28,0.1112,41,41,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 42
1447,ΟΙΚ 1447,Abstract Material,General,,1075.48,1075.48,1075.48,1075.48,1,THB,123.74,0.1151,39,39,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 42
252,น็อตเหล็กเสาเข็มพร้อมแผ่นรอง,Material,General,kg,1726.4,41.83,5554.96,41.83,2,THB,359.99,1.1392,36,36,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 52
052,ทรายละเอียด,Material,General,,239.63,239.63,239.63,239.63,1,THB,102.59,0.4281,31,31,Building works,รายละเอียดราคางาน (ΓΓΔΕ),งานก่อสร้าง,งานก่อสร้าง - บทที่ 31
