resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,فني,Labor,Labor,ساعة,34.54,34.54,34.54,34.54,1,TND,92.61,2.6815,968,898,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 21
002,عامل ماهر,Labor,Labor,ساعة,29.28,29.28,29.28,29.28,1,TND,92.27,3.1509,496,448,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 11
001,عامل غير ماهر,Labor,Labor,ساعة,26.63,26.63,26.63,26.63,1,TND,57.84,2.1722,341,327,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 11
211,خشب بلوط محلي,Material,General,,31.06,2.13,1303.94,2.13,2,TND,220.7,100.6957,270,175,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 55
251,مسامير عادية (إبر),Material,General,kg,60.04,0.97,504.19,1.61,3,TND,12.44,2.0911,129,128,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
021,ماء,Material,General,m3,4.64,4.64,4.64,4.64,1,TND,1.05,0.2267,103,103,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
221,أسمنت عادي (من النوع اليوناني) بقيمة الأكياس الورقية كغ,Material,General,kg,0.17,0.17,0.17,0.17,1,TND,38.8,223.3854,96,55,Road works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال الطرق,أعمال الطرق - الفصل 25
1445,أعمال البناء 1445,Abstract Material,General,,102.37,102.37,102.37,102.37,1,TND,1.79,0.0175,88,88,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 42
214,زيت معدني,Material,General,kg,7.08,3.26,7.91,7.91,2,TND,45.51,5.7679,78,75,Hydraulic works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال هيدروليكية,الأعمال الهيدروليكية - الفصل 50
026,أسمنت عادي مع قيمة أكياس الورق,Material,General,kg,0.17,0.17,0.17,0.17,1,TND,39.1,225.1173,75,75,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
201,خشب منشور (للسقالات، الأسقف وغيرها) من منشأ محلي,Material,General,,504.19,504.19,504.19,504.19,1,TND,47.14,0.0935,75,75,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 23
203.2,"خشب منشور أبيض من وسط أوروبا 335,00 m3 .4 خشب منشور محلي من شجر التنوب",Material,General,,643.28,643.28,643.28,643.28,1,TND,59.96,0.0932,73,67,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 52
205,خشب منشور من أصل سويدي درجة أولى,Material,General,,834.52,834.52,834.52,834.52,1,TND,34.77,0.0417,69,59,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 54
116,"فرّاشة خرسانة إسفلتية (FINISHER) 18.1 BARBER GREEN 230، أقصى عرض 8,00 m، قدرة 18.2 BARBER GREEN 250،",Equipment,General,س.م,35.26,34.54,40.25,34.54,2,TND,185.31,5.1977,63,55,Road works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال الطرق,أعمال الطرق - الفصل 12
081,"حجارة محجر خام m3 11,01 مواد حجرية صناعية",Material,General,,15.55,15.55,15.55,15.55,1,TND,6.84,0.4397,58,58,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 34
1444,أعمال البناء 1444,Abstract Material,General,,127.12,127.12,127.12,127.12,1,TND,0.38,0.003,56,56,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 71
213,جيلاتوديناميت 30%,Material,General,kg,5.01,3.26,7.91,3.26,2,TND,22.1,2.9575,53,47,Road works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال الطرق,أعمال الطرق - الفصل 11
1407,أعمال البناء 1407,Abstract Material,General,,65.38,65.38,65.38,65.38,1,TND,12.62,0.1931,49,49,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 14
1417,أويس 1417,Abstract Material,General,,65.52,65.52,65.52,65.52,1,TND,7.29,0.1112,41,41,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 42
1447,أويس 1447,Abstract Material,General,,97.61,97.61,97.61,97.61,1,TND,11.23,0.1151,39,39,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 42
252,مسامير حديدية لولبية (براغي) مع وردة,Material,General,kg,156.7,3.8,504.19,3.8,2,TND,32.67,1.1392,36,36,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 52
052,رمل الملاط,Material,General,,21.75,21.75,21.75,21.75,1,TND,9.31,0.4281,31,31,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 31
6501,أنظمة الواجهات الزجاجية المستمرة للمباني من الألمنيوم,Abstract Material,General,,406.24,406.24,406.24,406.24,1,TND,388.91,0.9573,30,30,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 65
265,حديد على شكل شرائح ومربعات,Material,General,kg,8.13,1.51,200.11,1.51,2,TND,8.6,1.308,30,29,Building works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال البناء,أعمال البناء - الفصل 48
222,أسمنت نقي (بدون بوزولانا) بقيمة الأكياس الورقية كغ,Material,General,kg,0.19,0.12,0.2,0.2,2,TND,62.24,308.6207,29,26,Road works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال الطرق,أعمال الطرق - الفصل 25
6303,أنواع هوائية (قوالب قابلة للنفخ),Abstract Material,General,,34.49,34.49,34.49,34.49,1,TND,177.24,5.1393,29,29,Hydraulic works,الفواتير التفصيلية للأعمال (ΓΓΔΕ),أعمال هيدروليكية,الأعمال الهيدروليكية - الفصل 67
