resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Ustabaşı,Labor,Labor,saat,610.91,610.91,610.91,610.91,1,TRY,1638.16,2.6815,968,898,Building works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),İnşaat işleri,İnşaat işleri - bölüm 21
002,uzman işçi,Labor,Labor,saat,518.02,518.02,518.02,518.02,1,TRY,1632.22,3.1509,496,448,Building works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),İnşaat işleri,İnşaat işleri - bölüm 11
001,Uygun olmayan işçi,Labor,Labor,saat,471.01,471.01,471.01,471.01,1,TRY,1023.13,2.1722,341,327,Building works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),İnşaat işleri,İnşaat işleri - bölüm 11
211,Yerli meşe kerestesi,Material,General,,549.49,37.75,23065.79,37.75,2,TRY,3904.02,100.6957,270,175,Building works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),İnşaat işleri,İnşaat işleri - bölüm 55
251,Ortak kirişler (çiviler),Material,General,kg,1062.09,17.19,8918.77,28.51,3,TRY,220.01,2.0911,129,128,Building works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),İnşaat işleri,İnşaat işleri - bölüm 14
021,Su,Material,General,m3,82.11,82.11,82.11,82.11,1,TRY,18.62,0.2267,103,103,Building works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),İnşaat işleri,İnşaat işleri - bölüm 14
221,Genel çimento (Yunan tipi) kağıt torbaların değeri ile Kg,Material,General,kg,3.07,3.07,3.07,3.07,1,TRY,686.32,223.3854,96,55,Road works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),Yol çalışmaları,Yol çalışmaları - bölüm 25
1445,ΟΙΚ 1445,Abstract Material,General,,1810.91,1810.91,1810.91,1810.91,1,TRY,31.71,0.0175,88,88,Building works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),İnşaat işleri,İnşaat işleri - bölüm 42
214,Mineral yağı,Material,General,kg,125.16,57.65,139.93,139.93,2,TRY,805.01,5.7679,78,75,Hydraulic works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),Hidrolik işler,Hidrolik işler - bölüm 50
026,Normal beton torbası değeriyle,Material,General,kg,3.07,3.07,3.07,3.07,1,TRY,691.64,225.1173,75,75,Building works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),İnşaat işleri,İnşaat işleri - bölüm 14
201,"İşlenmiş kereste (karkaslar, çatılar vb. için) iç piyasadan",Material,General,,8918.77,8918.77,8918.77,8918.77,1,TRY,833.81,0.0935,75,75,Building works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),İnşaat işleri,İnşaat işleri - bölüm 23
203.2,"Beyaz kesilmiş kereste, Orta Avrupa menşeli 335,00 m3 .4 Yerli ladin kesilmiş kereste",Material,General,,11379.12,11379.12,11379.12,11379.12,1,TRY,1060.69,0.0932,73,67,Building works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),İnşaat işleri,İnşaat işleri - bölüm 52
205,İsveç menşeli kesilmiş kereste A',Material,General,,14762.11,14762.11,14762.11,14762.11,1,TRY,615.08,0.0417,69,59,Building works,Detaylı İş Fiyatlandırması (ΓΓΔΕ),İnşaat işleri,Yapım işleri - bölüm 54
