resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Craftsman,Labor,Labor,hour,28259.01,28259.01,28259.01,28259.01,1,TZS,75776.8,2.6815,968,898,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 21
002,Skilled laborer,Labor,Labor,hour,23962.11,23962.11,23962.11,23962.11,1,TZS,75501.9,3.1509,496,448,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
001,Unskilled laborer,Labor,Labor,hour,21787.72,21787.72,21787.72,21787.72,1,TZS,47327.28,2.1722,341,327,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
211,Domestic oak timber,Material,General,,25417.76,1746.4,1066957.66,1746.4,2,TZS,180588.79,100.6957,270,175,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 55
251,Common nails (pins),Material,General,kg,49129.04,795.38,412556.96,1318.76,3,TZS,10176.92,2.0911,129,128,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
021,Water,Material,General,m3,3798.37,3798.37,3798.37,3798.37,1,TZS,861.1,0.2267,103,103,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
221,Common cement (Greek type) including the value of paper sacks Kg,Material,General,kg,142.12,142.12,142.12,142.12,1,TZS,31747.26,223.3854,96,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 25
1445,BUI 1445,Abstract Material,General,,83767.7,83767.7,83767.7,83767.7,1,TZS,1466.9,0.0175,88,88,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
214,Mineral oil,Material,General,kg,5789.71,2666.68,6472.88,6472.88,2,TZS,37237.63,5.7679,78,75,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 50
026,Common cement including the value of paper bags,Material,General,kg,142.12,142.12,142.12,142.12,1,TZS,31993.4,225.1173,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
201,"Carved timber (for scaffolding, roofs, etc.) of domestic origin",Material,General,,412556.96,412556.96,412556.96,412556.96,1,TZS,38569.68,0.0935,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 23
203.2,"Sawn white timber originating from Central Europe 335,00 m3 .4 Domestic sawn fir timber",Material,General,,526365.78,526365.78,526365.78,526365.78,1,TZS,49064.36,0.0932,73,67,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 52
205,Planed timber of Swedish origin A',Material,General,,682852.9,682852.9,682852.9,682852.9,1,TZS,28452.01,0.0417,69,59,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 54
116,"ASPHALT CONCRETE PAVER (FINISHER) 18.1 BARBER GREEN 230, max. width 8,00 m, power 18.2 BARBER GREEN 250, max",Equipment,General,H.M,28852.61,28259.01,32933.57,28259.01,2,TZS,151630.58,5.1977,63,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 12
081,"Slow quarry stones m3 11,01 ARTIFICIAL STONE MATERIALS",Material,General,,12726.67,12726.67,12726.67,12726.67,1,TZS,5595.35,0.4397,58,58,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 34
1444,OIK 1444,Abstract Material,General,,104017.7,104017.7,104017.7,104017.7,1,TZS,311.3,0.003,56,56,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 71
213,Gelatodynamite 30%,Material,General,kg,4102.98,2666.68,6472.88,2666.68,2,TZS,18084.59,2.9575,53,47,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 11
1407,OIK 1407,Abstract Material,General,,53497.26,53497.26,53497.26,53497.26,1,TZS,10328.23,0.1931,49,49,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
1417,OIK 1417,Abstract Material,General,,53608.86,53608.86,53608.86,53608.86,1,TZS,5962.4,0.1112,41,41,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
1447,BUILD 1447,Abstract Material,General,,79873.73,79873.73,79873.73,79873.73,1,TZS,9189.65,0.1151,39,39,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
252,Threaded iron nails (bolts) with washer,Material,General,kg,128216.7,3106.98,412556.96,3106.98,2,TZS,26735.81,1.1392,36,36,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 52
052,Sand for mortars,Material,General,,17796.85,17796.85,17796.85,17796.85,1,TZS,7619.35,0.4281,31,31,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 31
6501,Continuous glass curtain wall systems for building facades made of aluminum,Abstract Material,General,,332408.86,332408.86,332408.86,332408.86,1,TZS,318226.08,0.9573,30,30,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 65
265,Iron in strips and squares,Material,General,kg,6655.32,1238.52,163742.44,1238.52,2,TZS,7036.77,1.308,30,29,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 48
222,Clean cement (without Thira earth) including the value of paper bags Kg,Material,General,kg,156.24,99.58,165.31,165.31,2,TZS,50926.6,308.6207,29,26,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 25
