resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Craftsman,Labor,Labor,hour,47938.83,47938.83,47938.83,47938.83,1,UGX,128548.43,2.6815,968,898,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 21
002,Skilled laborer,Labor,Labor,hour,40649.53,40649.53,40649.53,40649.53,1,UGX,128082.09,3.1509,496,448,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
001,Unskilled laborer,Labor,Labor,hour,36960.89,36960.89,36960.89,36960.89,1,UGX,80286.42,2.1722,341,327,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
211,Domestic oak timber,Material,General,,43118.91,2962.6,1809996.45,2962.6,2,UGX,306352.42,100.6957,270,175,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 55
251,Common nails (pins),Material,General,kg,83342.94,1349.29,699865.29,2237.16,3,UGX,17264.22,2.0911,129,128,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
021,Water,Material,General,m3,6443.59,6443.59,6443.59,6443.59,1,UGX,1460.78,0.2267,103,103,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
221,Common cement (Greek type) including the value of paper sacks Kg,Material,General,kg,241.09,241.09,241.09,241.09,1,UGX,53856.33,223.3854,96,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 25
1445,BUI 1445,Abstract Material,General,,142104.27,142104.27,142104.27,142104.27,1,UGX,2488.46,0.0175,88,88,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
214,Mineral oil,Material,General,kg,9821.72,4523.78,10980.65,10980.65,2,UGX,63170.25,5.7679,78,75,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 50
026,Common cement including the value of paper bags,Material,General,kg,241.09,241.09,241.09,241.09,1,UGX,54273.88,225.1173,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
201,"Carved timber (for scaffolding, roofs, etc.) of domestic origin",Material,General,,699865.29,699865.29,699865.29,699865.29,1,UGX,65429.94,0.0935,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 23
