resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Craftsman,Labor,Labor,hour,37.7,37.7,37.7,37.7,1,USD,69.23,1.8361,968,898,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 21
002,Skilled laborer,Labor,Labor,hour,31.97,31.97,31.97,31.97,1,USD,76.95,2.4069,496,448,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
001,Unskilled laborer,Labor,Labor,hour,29.07,29.07,29.07,29.07,1,USD,52.88,1.8192,341,327,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 11
211,Domestic oak timber,Material,General,,33.91,2.33,1423.5,2.33,2,USD,240.57,100.6954,270,175,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 55
251,Common nails (pins),Material,General,LB,64.71,0.8,550.42,0.8,3,USD,12.67,3.5316,129,128,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
021,Water,Material,General,CY,3.87,3.87,3.87,3.87,1,USD,1.08,0.2793,103,103,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
221,Common cement (Greek type) including the value of paper sacks Kg,Material,General,LB,0.11,0.09,0.19,0.09,2,USD,40.85,442.6983,96,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 25
1445,BUI 1445,Abstract Material,General,,111.76,111.76,111.76,111.76,1,USD,0.72,0.0064,88,88,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
214,Mineral oil,Material,General,LB,3.5,1.61,3.92,3.92,2,USD,49.68,12.7162,78,75,Hydraulic works,Detailed Project Pricing (GGDE),Hydraulic works,Hydraulic works - chapter 50
026,Common cement including the value of paper bags,Material,General,LB,0.09,0.09,0.09,0.09,1,USD,40.34,469.0737,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
201,"Carved timber (for scaffolding, roofs, etc.) of domestic origin",Material,General,,550.42,550.42,550.42,550.42,1,USD,38.45,0.0698,75,75,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 23
203.2,"Sawn white timber originating from Central Europe 335,00 m3 .4 Domestic sawn fir timber",Material,General,,702.26,702.26,702.26,702.26,1,USD,43.27,0.0616,73,67,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 52
205,Planed timber of Swedish origin A',Material,General,,911.04,911.04,911.04,911.04,1,USD,19.73,0.0217,69,59,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 54
116,"ASPHALT CONCRETE PAVER (FINISHER) 18.1 BARBER GREEN 230, max. width 8,00 m, power 18.2 BARBER GREEN 250, max",Equipment,General,H.M,38.49,37.7,43.94,37.7,2,USD,198.24,5.0901,63,55,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 12
081,"Slow quarry stones m3 11,01 ARTIFICIAL STONE MATERIALS",Material,General,,16.98,16.98,16.98,16.98,1,USD,6.07,0.3577,58,58,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 34
1444,OIK 1444,Abstract Material,General,,138.78,138.78,138.78,138.78,1,USD,0.2,0.0014,56,56,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 71
213,Gelatodynamite 30%,Material,General,LB,2.48,1.61,3.92,1.61,2,USD,23.95,6.4086,53,47,Road works,Detailed Project Pricing (GGDE),Road works,Road works - chapter 11
1407,OIK 1407,Abstract Material,General,,71.37,71.37,71.37,71.37,1,USD,13.68,0.1916,49,49,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 14
1417,OIK 1417,Abstract Material,General,,71.52,71.52,71.52,71.52,1,USD,5.66,0.0791,41,41,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
1447,BUILD 1447,Abstract Material,General,,106.56,106.56,106.56,106.56,1,USD,9.96,0.0934,39,39,Building works,Detailed Project Pricing (GGDE),Building works,Building works - chapter 42
