resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,Thợ kỹ thuật,Labor,Labor,giờ,263570.72,263570.72,263570.72,263570.72,1,VND,706767.35,2.6815,968,898,Building works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình xây dựng,công trình xây dựng - chương 21
002,Công nhân có trình độ chuyên môn,Labor,Labor,giờ,223493.68,223493.68,223493.68,223493.68,1,VND,704203.37,3.1509,496,448,Building works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình xây dựng,Công trình xây dựng - chương 11
001,Công nhân không có kỹ năng,Labor,Labor,giờ,203213.28,203213.28,203213.28,203213.28,1,VND,441419.78,2.1722,341,327,Building works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình xây dựng,Công trình xây dựng - chương 11
211,Gỗ sồi nội địa,Material,General,,237070.47,16288.57,9951474.04,16288.57,2,VND,1684344.85,100.6957,270,175,Building works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình xây dựng,Công trình xây dựng - chương 55
251,Gỗ thông thường (đinh),Material,General,kg,458224.72,7418.49,3847903.29,12300.02,3,VND,94919.74,2.0911,129,128,Building works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình xây dựng,Công trình xây dựng - chương 14
021,Nước,Material,General,m3,35427.25,35427.25,35427.25,35427.25,1,VND,8031.44,0.2267,103,103,Building works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình xây dựng,Công trình xây dựng - chương 14
221,Xi măng phổ thông (kiểu Hy Lạp) với giá trị của các bao giấy Kg,Material,General,kg,1325.54,1325.54,1325.54,1325.54,1,VND,296105.49,223.3854,96,55,Road works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình đường bộ,Công trình đường bộ - chương 25
1445,ΟΙΚ 1445,Abstract Material,General,,781298.19,781298.19,781298.19,781298.19,1,VND,13681.72,0.0175,88,88,Building works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình xây dựng,công trình xây dựng - chương 42
214,Dầu khoáng,Material,General,kg,54000.44,24872.05,60372.28,60372.28,2,VND,347313.98,5.7679,78,75,Hydraulic works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình thủy lực,Công trình thủy lực - chương 50
026,Xi măng phổ thông với giá trị bao tải,Material,General,kg,1325.54,1325.54,1325.54,1325.54,1,VND,298401.22,225.1173,75,75,Building works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình xây dựng,Công trình xây dựng - chương 14
201,"Gỗ xẻ dọc (dùng cho giàn giáo, mái nhà v.v.) nguồn gốc nội địa",Material,General,,3847903.29,3847903.29,3847903.29,3847903.29,1,VND,359737.91,0.0935,75,75,Building works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình xây dựng,Công trình xây dựng - chương 23
203.2,"Gỗ xẻ trắng xuất xứ Trung Âu 335,00 m3 .4 Gỗ xẻ nội địa thông",Material,General,,4909393.86,4909393.86,4909393.86,4909393.86,1,VND,457621.41,0.0932,73,67,Building works,Bảng giá chi tiết công trình (ΓΓΔΕ),Công trình xây dựng,Công trình xây dựng - chương 52
