resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
003,技工,Labor,Labor,小时,128.1,128.1,128.1,128.1,1,CNY,343.5,2.6815,968,898,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第21章 建筑工程
002,熟练工,Labor,Labor,小时,108.62,108.62,108.62,108.62,1,CNY,342.26,3.1509,496,448,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第11章
001,无技能工人,Labor,Labor,小时,98.77,98.77,98.77,98.77,1,CNY,214.54,2.1722,341,327,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第11章
211,本土橡木木材,Material,General,,115.22,7.92,4836.59,7.92,2,CNY,818.62,100.6957,270,175,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第55章
251,普通钢筋（钢筋）,Material,General,kg,222.71,3.61,1870.15,5.98,3,CNY,46.13,2.0911,129,128,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第14章 建筑工程
021,水,Material,General,m3,17.22,17.22,17.22,17.22,1,CNY,3.9,0.2267,103,103,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第14章 建筑工程
221,普通水泥（希腊型）按纸袋价值计量 Kg,Material,General,kg,0.64,0.64,0.64,0.64,1,CNY,143.91,223.3854,96,55,Road works,详细工程报价（ΓΓΔΕ）,道路工程,道路工程 - 第25章
1445,ΟΙΚ 1445,Abstract Material,General,,379.72,379.72,379.72,379.72,1,CNY,6.65,0.0175,88,88,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第42章
214,矿物油,Material,General,kg,26.25,12.09,29.34,29.34,2,CNY,168.8,5.7679,78,75,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第50章
026,普通水泥,Material,General,kg,0.64,0.64,0.64,0.64,1,CNY,145.03,225.1173,75,75,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第14章 建筑工程
201,刨花木材（用于脚手架、屋顶等）国内进口,Material,General,,1870.15,1870.15,1870.15,1870.15,1,CNY,174.84,0.0935,75,75,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第23章 建筑工程
203.2,"白色锯材，来自中欧 335,00 m3 。4 本土云杉锯材",Material,General,,2386.05,2386.05,2386.05,2386.05,1,CNY,222.41,0.0932,73,67,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第52章
205,瑞典原产锯材A',Material,General,,3095.42,3095.42,3095.42,3095.42,1,CNY,128.97,0.0417,69,59,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第54章
116,"沥青摊铺机（Finishers） 18.1 Barber Green 230，最大宽度 8,00 m，功率 18.2 Barber Green 250，最大宽度 8,00 m",Equipment,General,HΜ,130.79,128.1,149.29,128.1,2,CNY,687.35,5.1977,63,55,Road works,详细工程报价（ΓΓΔΕ）,道路工程,道路工程 - 第12章
081,"矿用石材 m3 11,01 人工石材",Material,General,,57.69,57.69,57.69,57.69,1,CNY,25.36,0.4397,58,58,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第34章
1444,ΟΙΚ 1444,Abstract Material,General,,471.52,471.52,471.52,471.52,1,CNY,1.41,0.003,56,56,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第71章 建筑工程
213,30%的Ζελατοδυναμίτιδα,Material,General,kg,18.6,12.09,29.34,12.09,2,CNY,81.98,2.9575,53,47,Road works,详细工程报价（ΓΓΔΕ）,道路工程,道路工程 - 第11章
1407,ΟΙΚ 1407,Abstract Material,General,,242.51,242.51,242.51,242.51,1,CNY,46.82,0.1931,49,49,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第14章 建筑工程
1417,ΟΙΚ 1417,Abstract Material,General,,243.01,243.01,243.01,243.01,1,CNY,27.03,0.1112,41,41,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第42章
1447,ΟΙΚ 1447,Abstract Material,General,,362.07,362.07,362.07,362.07,1,CNY,41.66,0.1151,39,39,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第42章
252,钢螺栓（螺母）带垫圈,Material,General,kg,581.21,14.08,1870.15,14.08,2,CNY,121.2,1.1392,36,36,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第52章
052,粉尘砂,Material,General,,80.67,80.67,80.67,80.67,1,CNY,34.54,0.4281,31,31,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第31章
6501,建筑立面连续玻璃幕墙系统,Abstract Material,General,,1506.83,1506.83,1506.83,1506.83,1,CNY,1442.54,0.9573,30,30,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第65章
265,钢筋和方钢,Material,General,kg,30.17,5.61,742.26,5.61,2,CNY,31.9,1.308,30,29,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第48章
222,净水泥（不含特拉伊卡土）按纸袋价值计 Kg,Material,General,kg,0.71,0.45,0.75,0.75,2,CNY,230.85,308.6207,29,26,Road works,详细工程报价（ΓΓΔΕ）,道路工程,道路工程 - 第25章
6303,气动模具（充气模具）,Abstract Material,General,,127.92,127.92,127.92,127.92,1,CNY,657.43,5.1393,29,29,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第67章
051,砂子用于砂浆,Material,General,m3,80.67,80.67,80.67,80.67,1,CNY,49.21,0.61,29,29,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第14章 建筑工程
6328,水务6328,Abstract Material,General,,1020.18,1020.18,1020.18,1020.18,1,CNY,1318.59,1.2925,28,28,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第67章
319,直径146 mm、深度100 m的旋转式地质钻机，适用于钻探岩石土壤。,Equipment,General,HΜ,142.32,142.32,142.32,142.32,1,CNY,3.46,0.0243,28,4,Marine / port works,详细工程报价（ΓΓΔΕ）,海洋/港口工程,海洋 / 港口工程 - 第42章
6304,混凝土表面修整的额外费用,Abstract Material,General,,35.43,35.43,35.43,35.43,1,CNY,190.62,5.3804,26,8,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第63章
1476,ΟΙΚ 1476,Abstract Material,General,,19.91,19.91,19.91,19.91,1,CNY,20.31,1.02,25,25,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第54章
6325,混凝土的生产、运输、摊铺、压实和养护 生产或现场供应和运输任何类别或质量的混凝土，符合混凝土技术规范（ΚΤΣ）、E.K.O.S.的规定，以及 - 适用于C10/12类别的混凝土结构,Abstract Material,General,,741.05,741.05,741.05,741.05,1,CNY,147.96,0.1997,24,24,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第67章
6323,生产、运输、摊铺、压实和混凝土养护 现场生产或供应混凝土，任何类别或质量，符合混凝土技术规范（ΚΤΣ）、E.K.O.S. 及相关规定 - 适用于C8/10类别的混凝土结构,Abstract Material,General,,676.62,676.62,676.62,676.62,1,CNY,94.05,0.139,24,24,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第67章
029,白色國產水泥，按公斤計價,Material,General,,0.98,0.98,0.98,0.98,1,CNY,98.96,101.2864,22,22,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第14章 建筑工程
1502,OIK 1502,Abstract Material,General,,3390.66,3390.66,3390.66,3390.66,1,CNY,169.53,0.05,21,8,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第31章
331,片岩大理石，厚度2厘米，正方形，长度至1.50米，产自Penteli（白色）,Material,General,m2,495.59,495.59,495.59,495.59,1,CNY,375.66,0.758,20,20,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第74章
441,砂纸,Material,General,件,0.5,0.5,0.5,0.5,1,CNY,0.28,0.5575,20,20,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第77章
1449,ΟΙΚ 1449,Abstract Material,General,,325.0,325.0,325.0,325.0,1,CNY,6.61,0.0203,18,18,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第73章 - 建筑工程
6330,6330,Abstract Material,General,,1156.83,1156.83,1156.83,1156.83,1,CNY,175.84,0.152,18,6,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第63章
032,希拉伊克土,Material,General,,232.16,232.16,232.16,232.16,1,CNY,71.81,0.3093,15,15,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第14章 建筑工程
065,碎石（砾石）厚度 0.4 至 1 厘米,Material,General,,67.65,67.65,67.65,67.65,1,CNY,17.69,0.2615,15,15,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第32章
442,硫酸铝,Material,General,件,0.79,0.79,0.79,0.79,1,CNY,0.2,0.2554,14,14,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第77章
6310,水务 6310,Abstract Material,General,,9.23,9.23,9.23,9.23,1,CNY,103.3,11.192,14,8,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第63章
6329.2,混凝土的生产、运输、摊铺、压实和养护 生产或现场供应各种类别或质量的混凝土，符合混凝土技术规范（ΚΤΣ）、E.K.O.S.的规定，以及- 用于混凝土类别为C20/25的结构,Abstract Material,General,,1063.97,1063.97,1063.97,1063.97,1,CNY,171.0,0.1607,14,8,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第63章
321,"整块大理石阶梯，使用长度至1,00 m，产地为Penteli（白色）",Material,General,m,3.67,3.67,3.67,3.67,1,CNY,154.92,36.3779,14,10,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第75章
398.1,"水泥膏体 kg 0,210 .2 岩石锚杆，伸展端抗压强度为9t，长度1,50 m，件数42,30 .3 岩石锚杆，伸展端抗压强度为12 t，长度2,50 m，件数49,80 .4 PERFO型岩石锚杆，1英寸，长度2,5 m或类似，件数71,20 .5 BERNOLD或类似的金属板 kg 5,80 .6 GRAELIUS型钻头金刚石钻头，直径48 mm，件数330,00 .7 取样用直径146 mm的金刚石钻头，件数1360,00 .8 内径150 mm、厚度4,5 mm的无缝钢管，用于井壁衬套，长度30,75 m .9 镀锌长缝钢管，内径650 mm，厚度6 mm，用于最终水井管道""MET""",Material,General,m,1.64,1.64,1.64,1.64,1,CNY,24.67,15.0,14,14,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第71章
061,"0,7 至 7 厘米的厚度铺面",Material,General,,70.94,70.94,70.94,70.94,1,CNY,53.66,0.7565,13,13,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第32章
242,3 mm 厚的压制石膏板（硬质板）,Material,General,m2,207.35,9.67,2386.05,29.02,3,CNY,140.94,4.5546,13,12,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第56章
056,"石灰砂浆 0,7 至 7 cm",Material,General,,55.4,55.4,55.4,55.4,1,CNY,41.27,0.7449,13,13,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第31章
6314,ΥΔΡ 6314,Abstract Material,General,,12.85,12.85,12.85,12.85,1,CNY,107.27,8.3456,13,7,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第63章
112,空心砖（开孔）沿长方向有孔，尺寸为 19 χ 11 χ 8 cm,Material,General,件,0.51,0.51,0.51,0.51,1,CNY,100.4,196.8324,13,13,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第38章
333,板岩大理石，厚度3厘米，正方形，长度至1.50米，来自Penteli（白色）,Material,General,,719.49,719.49,719.49,719.49,1,CNY,597.18,0.83,12,12,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第74章
1501,ΟΙΚ 1501,Abstract Material,General,,2966.62,2966.62,2966.62,2966.62,1,CNY,142.55,0.048,12,12,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第21章 建筑工程
266,所有截面高度或边长低于 8 厘米的形态硅铁,Material,General,kg,4.01,4.01,4.01,4.01,1,CNY,11.65,2.9009,11,10,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第61章
457,熟石膏抹灰（酵母）,Material,General,kg,5.34,5.34,5.34,5.34,1,CNY,2.96,0.5545,11,11,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第76章
484,矿物油,Material,General,kg,29.34,29.34,29.34,29.34,1,CNY,64.29,2.1909,11,11,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第11章
6326,混凝土的生产、运输、摊铺、压实和养护 生产或现场供应各种类别或质量的混凝土，符合混凝土技术规范（ΚΤΣ）、E.K.O.S.的规定，以及- 适用于C12/16类别的混凝土结构,Abstract Material,General,,857.06,857.06,857.06,857.06,1,CNY,443.21,0.5171,10,10,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第67章
235,高度至8厘米的形状钢筋,Material,General,kg,4.01,4.01,4.01,4.01,1,CNY,817.25,203.5812,10,9,Road works,详细工程报价（ΓΓΔΕ）,道路工程,道路工程 - 第26章
212,汽油,Material,General,,9.56,9.56,9.56,9.56,1,CNY,109.97,11.5,10,10,Hydraulic works,详细工程报价（ΓΓΔΕ）,水利工程,液压工程 - 第51章
443,生料油毡,Material,General,kg,12.82,12.82,12.82,12.82,1,CNY,1.46,0.114,10,10,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第14章 建筑工程
1446,ΟΙΚ 1446,Abstract Material,General,,320.14,320.14,320.14,320.14,1,CNY,29.97,0.0936,10,10,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第43章 建筑工程
231,由美国进口的木质拉毛带，宽度为4至7厘米，净厚度至少为22毫米，长度至少为40厘米,Material,General,m2,19.57,5.98,141.87,5.98,2,CNY,33.79,3.265,10,10,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第53章
363,支架挂钩,Material,General,件,4.8,4.06,11.47,4.06,2,CNY,41.01,9.73,10,10,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第14章 建筑工程
1492,ΟΙΚ 1492,Abstract Material,General,,18.32,18.32,18.32,18.32,1,CNY,3.73,0.2035,10,10,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第77章
1479,ΟΙΚ 1479,Abstract Material,General,,245.82,245.82,245.82,245.82,1,CNY,167.16,0.68,10,10,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,建筑工程 - 第54章
111,空心砖（带孔）尺寸 19 χ 9 χ 6 cm,Material,General,件,0.46,0.46,0.46,0.46,1,CNY,116.52,250.6,10,10,Building works,详细工程报价（ΓΓΔΕ）,建筑工程,第46章 建筑工程
