resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,القطاع: البناء المواصفات: للموظفين بعقود دائمة مطابق: التكلفة المتوسطة لجداول الوزارة المعتمدة بموجب القرار الإداري رقم 12 بتاريخ 5 أبريل 2023 مشمول: - الأجر التعاقدي؛ - الأعباء القانونية والواقعية المترتبة على العمالة؛ - إيجار واستخدام الأدوات الشائعة الاستخدام في العدة,Labor,Labor,ora,122.66,122.66,122.66,122.66,1,AED,37.19,0.3032,5533,3192,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,الهدم
TOS26_RU.M10.001.004,القطاع: البناء المواصفات: للموظفين بعقود دائمة مطابق: التكلفة المتوسطة لجداول الوزارة المعتمدة بموجب القرار الإداري رقم 12 بتاريخ 5 أبريل 2023 مشمول: - الأجر التعاقدي؛ - الأعباء القانونية والواقعية المترتبة على العمالة؛ - إيجار واستخدام الأدوات الشائعة الاستخدام في العدة,Labor,Labor,ora,102.23,102.23,102.23,102.23,1,AED,47.79,0.4675,2817,2620,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,الهدم
TOS26_AT.N01.065.001,النوع: آلات تشغيلية المواصفات: تسليمها في الموقع | الموضوع: مطارق / مثاقب كهربائية وإكسسوارات | مثقاب مع دق، قوة 450/500 واط، لقم من 5-20 mm - 1 يوم,Equipment,General,ora,9.12,9.12,9.12,9.12,1,AED,0.98,0.1074,1180,1180,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,تركيب الإطار
TOS26_RU.M11.001.004,القطاع: الميكانيكا المعدنية / التركيبات المواصفات: للموظفين بعقود دائمة مطابق: التكلفة المتوسطة لجداول الوزارة المعتمدة بموجب القرار رقم 73 بتاريخ 22 نوفمبر 2024 مشمول: - الأجر التعاقدي؛ - الأعباء القانونية والواقعية المترتبة على العمالة؛ - إيجار واستخدام المعدات,Labor,Labor,ora,93.34,93.34,93.34,93.34,1,AED,150.83,1.6159,1106,1102,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,التسليح
TOS26_RU.M10.001.003,القطاع: البناء المواصفات: للموظفين بعقود دائمة مطابق: التكلفة المتوسطة لجداول الوزارة المعتمدة بموجب القرار الإداري رقم 12 بتاريخ 5 أبريل 2023 مشمول: - الأجر التعاقدي؛ - الأعباء القانونية والواقعية المترتبة على العمالة؛ - إيجار واستخدام الأدوات الشائعة الاستخدام في العدة,Labor,Labor,ora,113.78,113.78,113.78,113.78,1,AED,41.53,0.365,1066,1030,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,الهدم
TOS26_PRCAM.P09.017.001,الملاط والجبس - مواد جاهزة / مسبقة الخلط أو معدة في الموقع باستخدام خلاطات. للاستخدام في الجص، الأرضيات، البناء، التغطيات والحشوات. تفضيل لأنظمة الإنتاج منخفضة استهلاك الطاقة والعمليات المحسنة لتقليل النفايات والمخلفات. للمنتجات المسبقة,Material,General,kg,3.93,3.93,3.93,3.93,1,AED,20.75,5.2853,850,675,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,ألواح
TOS26_RU.M11.001.003,القطاع: الميكانيكا المعدنية / التركيبات المواصفات: للموظفين بعقود دائمة مطابق: التكلفة المتوسطة لجداول الوزارة المعتمدة بموجب القرار رقم 73 بتاريخ 22 نوفمبر 2024 مشمول: - الأجر التعاقدي؛ - الأعباء القانونية والواقعية المترتبة على العمالة؛ - إيجار واستخدام المعدات,Labor,Labor,ora,97.34,97.34,97.34,97.34,1,AED,214.68,2.2054,790,790,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,الإطار
TOS26_02.A07.011.010,الموضوع: النقل / المناولة الموقع: ضمن موقع البناء. مشمول: التحميل، النقل والتفريغ للنفايات إلى المنشآت المعتمدة لأغراض استردادها أو التخلص منها. مستثنى: - تكاليف الوصول لتسليمها؛ - الرسوم المحتملة. | الموضوع: السحب,Abstract Material,General,m³,51.11,51.11,51.11,51.11,1,AED,21.42,0.4191,774,774,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,ألواح
TOS26_PR.P18.ZZ02.002,الموضوع: العوازل الحرارية والصوتية متوافقة مع: - UNI 13172:2012؛ - UNI 13501:2009؛ - D.M. 15/03/2005. - علامة CE؛ - إعلان الأداء (DoP) | الموضوع: ملحقات التركيب للعوازل | شبكة من ألياف الزجاج مقاومة للقلويات بوزن 155-160 جم/م²,Material,General,m²,6.26,6.26,6.26,6.26,1,AED,6.89,1.1,700,700,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,ألواح
TOS26_PRCAM.P22.034.001,المنتجات للأرضيات والتكسية - CAM. متوافق: CAM وفقًا للمرسوم الوزاري 23 يونيو 2022 رقم 256 | PRIMER. | رابطة تركيبية في محلول مائي,Material,Paint & Coatings,kg,41.0,41.0,41.0,41.0,1,AED,11.3,0.2756,675,675,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,ألواح
