resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Sector: CONSTRUCCIÓN Especificaciones: para empleados con contrato indefinido Conforme: costo medio de las Tablas Ministeriales aprobadas con D.D. n. 12 del 5 de abril de 2023 Incluido: - retribución contractual; - cargas sociales y de ley que gravan la mano de obra; - alquiler y uso de herramientas de uso común en dotación,Labor,Labor,ora,29904.48,29904.48,29904.48,29904.48,1,ARS,9066.38,0.3032,5533,3192,EDILIZIA CIVILE,Precios de Obras Públicas de Toscana (edición 2026),CONSTRUCCIÓN CIVIL,DEMOLICIÓN
TOS26_RU.M10.001.004,Sector: CONSTRUCCIÓN Especificaciones: para empleados con contrato indefinido Conforme: costo medio de las Tablas Ministeriales aprobadas con D.D. n. 12 del 5 de abril de 2023 Incluido: - retribución contractual; - cargas sociales y de ley que gravan la mano de obra; - alquiler y uso de herramientas de uso común en dotación,Labor,Labor,ora,24921.95,24921.95,24921.95,24921.95,1,ARS,11650.11,0.4675,2817,2620,EDILIZIA CIVILE,Precios de Obras Públicas de Toscana (edición 2026),CONSTRUCCIÓN CIVIL,DEMOLICIÓN
TOS26_AT.N01.065.001,"Tipo: MAQUINARIA OPERADORA Especificaciones: entregadas en obra | Objeto: MARTILLOS / PERFORADORAS ELÉCTRICAS Y ACCESORIOS | Taladro con percusión, potencia 450/500 W, para brocas de 5-20 mm - 1 día",Equipment,General,ora,2222.48,2222.48,2222.48,2222.48,1,ARS,238.64,0.1074,1180,1180,EDILIZIA CIVILE,Precios de Obras Públicas de Toscana (edición 2026),CONSTRUCCIÓN CIVIL,INSTALACIÓN EMPOTRADA
TOS26_RU.M11.001.004,Sector: METALMECÁNICO / INSTALACIONES Especificaciones: para empleados con contrato indefinido Conforme: costo medio de las Tablas Ministeriales aprobadas con D.D. n 73 del 22 de noviembre de 2024 Incluido: - retribución contractual; - cargas sociales y de hecho que gravan la mano de obra; - alquiler y uso de los equipos,Labor,Labor,ora,22756.04,22756.04,22756.04,22756.04,1,ARS,36772.06,1.6159,1106,1102,EDILIZIA CIVILE,Precios de Obras Públicas de Toscana (edición 2026),CONSTRUCCIÓN CIVIL,ARMADURA
TOS26_RU.M10.001.003,Sector: CONSTRUCCIÓN Especificaciones: para empleados con contrato indefinido Conforme: costo medio de las Tablas Ministeriales aprobadas con D.D. n. 12 del 5 de abril de 2023 Incluido: - retribución contractual; - cargas sociales y de ley que gravan la mano de obra; - alquiler y uso de herramientas de uso común en dotación,Labor,Labor,ora,27738.57,27738.57,27738.57,27738.57,1,ARS,10124.02,0.365,1066,1030,EDILIZIA CIVILE,Precios de Obras Públicas de Toscana (edición 2026),CONSTRUCCIÓN CIVIL,DEMOLICIÓN
TOS26_PRCAM.P09.017.001,"MALTA Y ENMASCARADOS - PREFABRICADOS / PRECONFECCIONADOS o PREPARADOS EN OBRA CON MEZCLADORAS. Para enlucidos, soleras, muros, revestimientos y rellenos. Predilección por sistemas de producción de bajo consumo energético y procesos optimizados para reducir residuos y desechos. Para los productos preco",Material,General,kg,957.16,957.16,957.16,957.16,1,ARS,5058.86,5.2853,850,675,EDILIZIA CIVILE,Precios de Obras Públicas de Toscana (edición 2026),CONSTRUCCIÓN CIVIL,Paneles
TOS26_RU.M11.001.003,Sector: METALMECÁNICO / INSTALACIONES Especificaciones: para empleados con contrato indefinido Conforme: costo medio de las Tablas Ministeriales aprobadas con D.D. n 73 del 22 de noviembre de 2024 Incluido: - retribución contractual; - cargas sociales y de hecho que gravan la mano de obra; - alquiler y uso de los equipos,Labor,Labor,ora,23732.09,23732.09,23732.09,23732.09,1,ARS,52338.47,2.2054,790,790,EDILIZIA CIVILE,Precios de Obras Públicas de Toscana (edición 2026),CONSTRUCCIÓN CIVIL,INFISSO
TOS26_02.A07.011.010,"Objeto: TRANSPORTE / MOVILIZACIÓN Posicionamiento: en el ámbito de la obra. Incluido: carga, transporte y descarga de residuos en instalaciones autorizadas para su recuperación o eliminación. Excluido: - costes de acceso para su vertido; - posibles tributos. | Objeto: DESCARGA",Abstract Material,General,m³,12460.98,12460.98,12460.98,12460.98,1,ARS,5221.8,0.4191,774,774,EDILIZIA CIVILE,Precios de Obras Públicas de Toscana (edición 2026),CONSTRUCCIÓN CIVIL,Paneles
TOS26_PR.P18.ZZ02.002,Asunto: AISLANTES TÉRMICOS Y ACÚSTICOS Conforme: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - marcado CE; - Declaración de Prestación (DoP) | Asunto: ACCESORIOS DE INSTALACIÓN PARA AISLANTES | malla de fibra de vidrio resistente a álcalis peso 155-160 g/m²,Material,General,m²,1526.14,1526.14,1526.14,1526.14,1,ARS,1678.76,1.1,700,700,EDILIZIA CIVILE,Precios de Obras Públicas de Toscana (edición 2026),CONSTRUCCIÓN CIVIL,Paneles
TOS26_PRCAM.P22.034.001,PRODUCTOS PARA PAVIMENTOS Y REVESTIMIENTOS - CAM. Conforme: CAM de acuerdo con el DM 23 de junio de 2022 n. 256 | PRIMER. | de unión sintética en solución acuosa,Material,Paint & Coatings,kg,9996.21,9996.21,9996.21,9996.21,1,ARS,2754.51,0.2756,675,675,EDILIZIA CIVILE,Precios de Obras Públicas de Toscana (edición 2026),CONSTRUCCIÓN CIVIL,Paneles
