resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,"Обект: СТРОИТЕЛСТВО Спецификации: за постоянни служители Съгласно: средна стойност на таблиците на Министерството, одобрени с D.D. № 12 от 5 април 2023 г. Включено: - договорна заплата; - данъчни и законови тежести, възложени върху работната ръка; - наем и използване на обикновени инструменти, предоставени в наличност",Labor,Labor,ora,21.39,21.39,21.39,21.39,1,BGN,6.48,0.3032,5533,3192,EDILIZIA CIVILE,Общ прейскурант за обществени работи на Тоскана (издание 2026),Гражданско строителство,Разчупване
TOS26_RU.M10.001.004,"Обект: СТРОИТЕЛСТВО Спецификации: за постоянни служители Съгласно: средна стойност на таблиците на Министерството, одобрени с D.D. № 12 от 5 април 2023 г. Включено: - договорна заплата; - данъчни и законови тежести, възложени върху работната ръка; - наем и използване на обикновени инструменти, предоставени в наличност",Labor,Labor,ora,17.82,17.82,17.82,17.82,1,BGN,8.33,0.4675,2817,2620,EDILIZIA CIVILE,Общ прейскурант за обществени работи на Тоскана (издание 2026),Гражданско строителство,Разчупване
TOS26_AT.N01.065.001,"Тип: МАШИНИ ЗА РАБОТА Спецификации: доставени на обекта | Обект: МОЛОТОВЕ / ЕЛЕКТРИЧЕСКИ БУТОНИ И ДОПЪЛНЕНИЯ | Бормашина с удар, мощност 450/500 W, за бургии от 5-20 mm - 1 ден",Equipment,General,ora,1.59,1.59,1.59,1.59,1,BGN,0.17,0.1074,1180,1180,EDILIZIA CIVILE,Общ прейскурант за обществени работи на Тоскана (издание 2026),Гражданско строителство,Монтаж на вграждане
TOS26_RU.M11.001.004,"Област: МЕТАЛМЕХАНИЧЕН / МОНТАЖЕН Спецификации: за служители с постоянен договор Съответствие: средна стойност на таблиците на Министерството, одобрени с D.D. № 73 от 22 ноември 2024 г. Включено: - договорна заплата; - данъчни и законови тежести, възложени върху работната ръка; - наем и използване на оборудването",Labor,Labor,ora,16.27,16.27,16.27,16.27,1,BGN,26.3,1.6159,1106,1102,EDILIZIA CIVILE,Общ прейскурант за обществени работи на Тоскана (издание 2026),Гражданско строителство,Арматура
TOS26_RU.M10.001.003,"Обект: СТРОИТЕЛСТВО Спецификации: за постоянни служители Съгласно: средна стойност на таблиците на Министерството, одобрени с D.D. № 12 от 5 април 2023 г. Включено: - договорна заплата; - данъчни и законови тежести, възложени върху работната ръка; - наем и използване на обикновени инструменти, предоставени в наличност",Labor,Labor,ora,19.84,19.84,19.84,19.84,1,BGN,7.24,0.365,1066,1030,EDILIZIA CIVILE,Общ прейскурант за обществени работи на Тоскана (издание 2026),Гражданско строителство,Разчупване
TOS26_PRCAM.P09.017.001,"МАЛТЕРИ И ШПАКЛОВКИ - ПРЕДПРОИЗВЕДЕНИ / ПРЕДФАБРИКИРАНИ или ПОДГОТВЕНИ НА ОБЕКТ В МАЙСТОРСКИ МЕСТА С ИЗПОЛЗВАНЕ НА МИКСЕРИ. За шпакловки, замазки, зидарии, облицовки и запълващи материали. Предпочитание към производствени системи с ниска енергийна консумация и оптимизирани процеси за намаляване на отпадъци и скрап. За продуктите предварително",Material,General,kg,0.68,0.68,0.68,0.68,1,BGN,3.62,5.2853,850,675,EDILIZIA CIVILE,Общ прейскурант за обществени работи на Тоскана (издание 2026),Гражданско строителство,ПАНЕЛИ
TOS26_RU.M11.001.003,"Област: МЕТАЛМЕХАНИЧЕН / МОНТАЖЕН Спецификации: за служители с постоянен договор Съответствие: средна стойност на таблиците на Министерството, одобрени с D.D. № 73 от 22 ноември 2024 г. Включено: - договорна заплата; - данъчни и законови тежести, възложени върху работната ръка; - наем и използване на оборудването",Labor,Labor,ora,16.97,16.97,16.97,16.97,1,BGN,37.43,2.2054,790,790,EDILIZIA CIVILE,Общ прейскурант за обществени работи на Тоскана (издание 2026),Гражданско строителство,Заземяване
TOS26_02.A07.011.010,"Обект: ТРАНСПОРТ / ПРЕНАСЯНЕ Местоположение: в рамките на строителната площадка. Включено: товарене, превоз и разтоварване на отпадъците до упълномощени съоръжения за тяхното възстановяване или обезвреждане. Изключено: - разходи за достъп за тяхното предаване; - евентуални такси. | Обект: ЗАРАЖДАНЕ",Abstract Material,General,m³,8.91,8.91,8.91,8.91,1,BGN,3.73,0.4191,774,774,EDILIZIA CIVILE,Общ прейскурант за обществени работи на Тоскана (издание 2026),Гражданско строителство,ПАНЕЛИ
TOS26_PR.P18.ZZ02.002,"Обект: ТЕРМИЧНИ И АкуСТИЧНИ ИЗОЛАЦИИ Съответствие: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE маркировка; - Декларация за изпълнение (DoP) | Обект: ДОПЪЛНЕНИЯ ЗА ИЗОЛАЦИЯТА | мрежа от стъклофибър с устойчивост на алкали, тегло 155-160 г/м²",Material,General,m²,1.09,1.09,1.09,1.09,1,BGN,1.2,1.1,700,700,EDILIZIA CIVILE,Общ прейскурант за обществени работи на Тоскана (издание 2026),Гражданско строителство,ПАНЕЛИ
TOS26_PRCAM.P22.034.001,ПРОДУКТИ ЗА ПЛОЧКИ И ОБЛИЦОВКИ - CAM. Съответстващ: CAM съгласно DM 23 юни 2022 г. № 256 | ПРЕМАЗКА. | синтетичен свързващ грунд в воден разтвор,Material,Paint & Coatings,kg,7.15,7.15,7.15,7.15,1,BGN,1.97,0.2756,675,675,EDILIZIA CIVILE,Общ прейскурант за обществени работи на Тоскана (издание 2026),Гражданско строителство,ПАНЕЛИ
