resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,"Sector: BUILDING Specifications: for permanent employees Compliant: average cost of the Ministerial Tables approved with D.D. no. 12 of April 5, 2023 Included: - contractual remuneration; - legal and actual charges borne by the labor; - rental and use of common tools provided",Labor,Labor,ora,61.5,61.5,61.5,61.5,1,CAD,18.65,0.3032,5533,3192,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,DEMOLITION
TOS26_RU.M10.001.004,"Sector: BUILDING Specifications: for permanent employees Compliant: average cost of the Ministerial Tables approved with D.D. no. 12 of April 5, 2023 Included: - contractual remuneration; - legal and actual charges borne by the labor; - rental and use of common tools provided",Labor,Labor,ora,51.25,51.25,51.25,51.25,1,CAD,23.96,0.4675,2817,2620,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,DEMOLITION
TOS26_AT.N01.065.001,"Type: OPERATING MACHINES Specifications: delivered on site | Object: HAMMERS / ELECTRIC DRILLS AND ACCESSORIES | Percussion drill, power 450/500 W, for bits from 5 to 20 mm - 1 day",Equipment,General,ora,4.57,4.57,4.57,4.57,1,CAD,0.49,0.1074,1180,1180,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,INSTALLATION OF FRAME
TOS26_RU.M11.001.004,"Sector: MECHANICAL / PLANT SPECIFICATIONS: for permanent employees. Compliant: average cost of the approved Ministerial Tables with D.D. n 73 of November 22, 2024. Included: - contractual wage; - legal and statutory charges on labor; - rental and use of the equipment",Labor,Labor,ora,46.8,46.8,46.8,46.8,1,CAD,75.62,1.6159,1106,1102,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,REINFORCEMENT
TOS26_RU.M10.001.003,"Sector: BUILDING Specifications: for permanent employees Compliant: average cost of the Ministerial Tables approved with D.D. no. 12 of April 5, 2023 Included: - contractual remuneration; - legal and actual charges borne by the labor; - rental and use of common tools provided",Labor,Labor,ora,57.05,57.05,57.05,57.05,1,CAD,20.82,0.365,1066,1030,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,DEMOLITION
TOS26_PRCAM.P09.017.001,"MORTARS AND PLASTER - PREMIXED / PREFABRICATED OR PREPARED ON SITE WITH MIXERS. For plasters, screeds, masonry, coatings, and fillers. Preference for production plants with low energy consumption and processes optimized to reduce waste and scraps. For preco products",Material,General,kg,1.97,1.97,1.97,1.97,1,CAD,10.4,5.2853,850,675,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_RU.M11.001.003,"Sector: MECHANICAL / PLANT SPECIFICATIONS: for permanent employees. Compliant: average cost of the approved Ministerial Tables with D.D. n 73 of November 22, 2024. Included: - contractual wage; - legal and statutory charges on labor; - rental and use of the equipment",Labor,Labor,ora,48.81,48.81,48.81,48.81,1,CAD,107.64,2.2054,790,790,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,FRAME
TOS26_02.A07.011.010,"Object: TRANSPORT / HANDLING Placement: on site. Included: loading, transport and unloading of waste to authorized plants for their recovery or disposal. Excluded: - access costs for their delivery; - any taxes. | Object: SCARRETTAMENT",Abstract Material,General,m³,25.63,25.63,25.63,25.63,1,CAD,10.74,0.4191,774,774,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_PR.P18.ZZ02.002,Subject: THERMAL AND ACOUSTIC INSULANTS Compliant with: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE marking; - Declaration of Performance (DoP) | Subject: INSTALLATION ACCESSORIES FOR INSULANTS | alkali-resistant fiberglass mesh weighing 155-160 g/m²,Material,General,m²,3.14,3.14,3.14,3.14,1,CAD,3.45,1.1,700,700,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_PRCAM.P22.034.001,FLOORING AND CLADDING PRODUCTS - CAM. Compliant: CAM as per DM 23 June 2022 n. 256 | PRIMER. | synthetic bonding agent in aqueous solution,Material,Paint & Coatings,kg,20.56,20.56,20.56,20.56,1,CAD,5.66,0.2756,675,675,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_PR.P18.ZZ02.031,Subject: THERMAL AND ACOUSTIC INSULANTS Compliant with: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE marking; - Declaration of Performance (DoP) | Subject: INSTALLATION ACCESSORIES FOR INSULANTS | Screw-in polyethylene plug for masonry 115 mm < length < 155 mm,Material,General,cad,1.12,1.12,1.12,1.12,1,CAD,6.47,5.757,535,535,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_PRCAM.P26.090.008,"COVERING MATERIALS - PAINTS, VARNISHES, ENAMELS AND TOOLS FOR THEIR APPLICATION - CAM Compliant: - UNI EN ISO 4618:2023; - CAM - paragraph 2.5.13 of DM 23 June 2022 no. 256, ""MINIMUM ENVIRONMENTAL CRITERIA for the commissioning of the design and execution service of intervention works and",Material,General,kg,5.43,5.43,5.43,5.43,1,CAD,21.92,4.0365,526,526,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_AT.N06.016.001,"Object: LIFTING MACHINES Specifications: delivered on site Excluded: other surcharges of any kind | Object: TOWER CRANE Type: TOWER | jib 35 m, capacity at tip 1000 kg. for 3 months",Equipment,General,ora,7.74,7.74,7.74,7.74,1,CAD,0.79,0.1023,450,450,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,INSTALLATION OF FRAME
TOS26_PRCAM.P26.107.004,"COVERING MATERIALS - PAINTS, VARNISHES, ENAMELS AND TOOLS FOR THEIR APPLICATION - CAM Compliant: - UNI EN ISO 4618:2023; - CAM - paragraph 2.5.13 of DM 23 June 2022 no. 256, ""MINIMUM ENVIRONMENTAL CRITERIA for the commissioning of the design and execution service of intervention works and",Material,General,kg,22.02,22.02,22.02,22.02,1,CAD,3.29,0.1493,435,435,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_AT.N06.100.900,Object: ELEVATING MACHINES Specifications: delivered on site Excluded: any other surcharges of any kind | Object: FUEL / OIL CONSUMPTION Usage: FOR ELEVATING MACHINES | Type: diesel up to 126 HP,Equipment,General,ora,33.88,33.88,33.88,33.88,1,CAD,14.08,0.4156,426,383,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,REINFORCEMENT
TOS26_RU.M11.001.002,"Sector: MECHANICAL / PLANT SPECIFICATIONS: for permanent employees. Compliant: average cost of the approved Ministerial Tables with D.D. n 73 of November 22, 2024. Included: - contractual wage; - legal and statutory charges on labor; - rental and use of the equipment",Labor,Labor,ora,52.25,52.25,52.25,52.25,1,CAD,25.34,0.485,424,424,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,REINFORCEMENT
TOS26_PR.P18.ZZ02.032,Object: THERMAL AND ACOUSTIC INSULANTS Compliant with: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE marking; - Declaration of Performance (DoP) | Object: INSTALLATION ACCESSORIES FOR INSULANTS | Screw-in polyethylene plug for masonry 175 mm < length < 215 mm,Material,General,cad,1.93,1.93,1.93,1.93,1,CAD,12.73,6.6134,313,313,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_AT.N06.020.001,"Object: LIFTING MACHINES Specifications: delivered on site Excluded: other surcharges of any kind | Object: ELECTRIC HOIST | with jib support, capacity 150 kg, monthly rental.",Equipment,General,ora,2.48,2.48,2.48,2.48,1,CAD,0.25,0.1013,276,274,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
