resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Secteur : BÂTIMENT Spécifications : pour les employés à durée indéterminée Conforme : coût moyen des Tableaux Ministériels approuvés par D.D. n. 12 du 5 avril 2023 Compris : - rémunération contractuelle ; - charges légales et de fait pesant sur la main-d'œuvre ; - location et utilisation des outils d'usage commun en dotation,Labor,Labor,ora,11397.88,11397.88,11397.88,11397.88,1,XOF,3455.58,0.3032,5533,3192,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,DÉMOLITION
TOS26_RU.M10.001.004,Secteur : BÂTIMENT Spécifications : pour les employés à durée indéterminée Conforme : coût moyen des Tableaux Ministériels approuvés par D.D. n. 12 du 5 avril 2023 Compris : - rémunération contractuelle ; - charges légales et de fait pesant sur la main-d'œuvre ; - location et utilisation des outils d'usage commun en dotation,Labor,Labor,ora,9498.82,9498.82,9498.82,9498.82,1,XOF,4440.36,0.4675,2817,2620,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,DÉMOLITION
TOS26_AT.N01.065.001,"Type : MACHINES OPÉRATRICES Spécifications : livrées sur le chantier | Objet : MARTEAUX / PERFORATEURS ÉLECTRIQUES ET ACCESSOIRES | Perceuse à percussion, puissance 450/500 W, pour forets de 5-20 mm - 1 jour",Equipment,General,ora,847.08,847.08,847.08,847.08,1,XOF,90.96,0.1074,1180,1180,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,INSTALLATION D'UN CHÂSSIS
TOS26_RU.M11.001.004,Secteur : MÉTAL MÉCANIQUE / INSTALLATIONS Spécifications : pour les employés à durée indéterminée Conforme : coût moyen des Tableaux Ministériels approuvés par D.D. n 73 du 22 novembre 2024 Compris : - rémunération contractuelle ; - charges légales et de fait pesant sur la main-d'œuvre ; - location et utilisation des att,Labor,Labor,ora,8673.3,8673.3,8673.3,8673.3,1,XOF,14015.41,1.6159,1106,1102,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,ARMATURE
TOS26_RU.M10.001.003,Secteur : BÂTIMENT Spécifications : pour les employés à durée indéterminée Conforme : coût moyen des Tableaux Ministériels approuvés par D.D. n. 12 du 5 avril 2023 Compris : - rémunération contractuelle ; - charges légales et de fait pesant sur la main-d'œuvre ; - location et utilisation des outils d'usage commun en dotation,Labor,Labor,ora,10572.36,10572.36,10572.36,10572.36,1,XOF,3858.7,0.365,1066,1030,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,DÉMOLITION
TOS26_PRCAM.P09.017.001,"MORTIERS ET STUC - PRÉMÉLANGÉS / PRÉFABRIQUÉS ou PRÉPARÉS SUR SITE AVEC DES MALAXEURS. Pour les enduits, chapes, maçonneries, revêtements et remplissages. Préférence pour les installations de production à faible consommation d'énergie et les processus optimisés pour réduire les déchets et les rebuts. Pour les produits précoces",Material,General,kg,364.81,364.81,364.81,364.81,1,XOF,1928.15,5.2853,850,675,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,PANNEAUX
TOS26_RU.M11.001.003,Secteur : MÉTAL MÉCANIQUE / INSTALLATIONS Spécifications : pour les employés à durée indéterminée Conforme : coût moyen des Tableaux Ministériels approuvés par D.D. n 73 du 22 novembre 2024 Compris : - rémunération contractuelle ; - charges légales et de fait pesant sur la main-d'œuvre ; - location et utilisation des att,Labor,Labor,ora,9045.32,9045.32,9045.32,9045.32,1,XOF,19948.43,2.2054,790,790,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,Châssis
TOS26_02.A07.011.010,"Objet : TRANSPORT / MANUTENTION Positionnement : dans le cadre du chantier. Compris : chargement, transport et déchargement des déchets vers les installations autorisées pour leur récupération ou leur élimination. Exclu : - coûts d'accès pour leur dépôt ; - éventuels impôts. | Objet : DÉROULAGE",Abstract Material,General,m³,4749.41,4749.41,4749.41,4749.41,1,XOF,1990.25,0.4191,774,774,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,PANNEAUX
TOS26_PR.P18.ZZ02.002,Objet : ISOLANTS THERMIQUES ET ACOUSTIQUES Conforme : - UNI 13172:2012 ; - UNI 13501:2009 ; - D.M. 15/03/2005. - marquage CE ; - Déclaration de Performance (DoP) | Objet : ACCESSOIRES DE POSE POUR ISOLANTS | réseau en fibre de verre résistant aux alcalis poids 155-160 g/m²,Material,General,m²,581.68,581.68,581.68,581.68,1,XOF,639.85,1.1,700,700,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,PANNEAUX
TOS26_PRCAM.P22.034.001,PRODUITS POUR SOLS ET REVÊTEMENTS - CAM. Conforme : CAM selon le DM 23 juin 2022 n. 256 | PRIMER. | d'adhésion synthétique en solution aqueuse,Material,Paint & Coatings,kg,3809.98,3809.98,3809.98,3809.98,1,XOF,1049.86,0.2756,675,675,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,PANNEAUX
TOS26_PR.P18.ZZ02.031,"Objet : ISOLANTS THERMIQUES ET ACOUSTIQUES Conforme : - UNI 13172:2012 ; - UNI 13501:2009 ; - D.M. 15/03/2005. - marquage CE ; - Déclaration de Performance (DoP) | Objet : ACCESSOIRES DE POSE POUR ISOLANTS | Cheville à vis en polyéthylène, pour maçonnerie 115 mm < longueur < 155 mm",Material,General,cad,208.29,208.29,208.29,208.29,1,XOF,1199.13,5.757,535,535,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,PANNEAUX
TOS26_PRCAM.P26.090.008,"MATÉRIAUX DE REVÊTEMENT - PEINTURES, VERNIS, ÉMAUX ET OUTILS POUR LEUR POSE - CAM Conforme : - UNI EN ISO 4618:2023 ; - CAM - paragraphe 2.5.13 du DM 23 juin 2022 n. 256, ''CRITÈRES AMBIENTAUX MINIMAUX pour l’attribution du service de conception et d’exécution des travaux d’interventions et",Material,General,kg,1006.46,1006.46,1006.46,1006.46,1,XOF,4062.57,4.0365,526,526,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,PANNEAUX
TOS26_AT.N06.016.001,"Objet : MACHINES ÉLEVATRICES Spécifications : livrées sur le chantier Exclu : autres majorations de toute nature | Objet : GRUE Type : À TOUR | bras 35 m, capacité en pointe 1000 kg. pour 3 mois",Equipment,General,ora,1434.21,1434.21,1434.21,1434.21,1,XOF,146.71,0.1023,450,450,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,INSTALLATION D'UN CHÂSSIS
