resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Obor: STAVEBNÍ Specifikace: pro zaměstnance na dobu neurčitou V souladu s: průměrnými náklady podle schválených Ministerských tabulek s D.D. č. 12 ze dne 5. dubna 2023 Zahrnuto: - mzdové náklady; - zákonné a skutečné povinnosti na pracovní síle; - pronájem a používání běžných nástrojů ve výbavě,Labor,Labor,ora,684.94,684.94,684.94,684.94,1,CZK,207.66,0.3032,5533,3192,EDILIZIA CIVILE,Ceník veřejných prací Toskánska (vydání 2026),STAVEBNÍ OBYTNÁ VÝSTAVBA,DEMOLICE
TOS26_RU.M10.001.004,Obor: STAVEBNÍ Specifikace: pro zaměstnance na dobu neurčitou V souladu s: průměrnými náklady podle schválených Ministerských tabulek s D.D. č. 12 ze dne 5. dubna 2023 Zahrnuto: - mzdové náklady; - zákonné a skutečné povinnosti na pracovní síle; - pronájem a používání běžných nástrojů ve výbavě,Labor,Labor,ora,570.82,570.82,570.82,570.82,1,CZK,266.84,0.4675,2817,2620,EDILIZIA CIVILE,Ceník veřejných prací Toskánska (vydání 2026),STAVEBNÍ OBYTNÁ VÝSTAVBA,DEMOLICE
TOS26_AT.N01.065.001,"Typ: OBSLUŽNÍ STROJE Specifikace: dodané na stavbě | Předmět: KLADIVA / Elektrické vrtačky a příslušenství | Vrtačka s příklepem, výkon 450/500 W, pro vrtáky o průměru 5-20 mm - 1 den",Equipment,General,ora,50.9,50.9,50.9,50.9,1,CZK,5.47,0.1074,1180,1180,EDILIZIA CIVILE,Ceník veřejných prací Toskánska (vydání 2026),STAVEBNÍ OBYTNÁ VÝSTAVBA,INSTALACE ZÁRUBNĚ
TOS26_RU.M11.001.004,Obor: STAVEBNÍ / INSTALAČNÍ SPECIFIKACE: pro zaměstnance na dobu neurčitou. V souladu: průměrné náklady podle schválených tabulek Ministerstva s D.D. č. 73 ze dne 22. listopadu 2024. Včetně: - mzdové náklady podle smlouvy; - zákonné a skutečné náklady na pracovní sílu; - nájem a používání zařízení.,Labor,Labor,ora,521.21,521.21,521.21,521.21,1,CZK,842.24,1.6159,1106,1102,EDILIZIA CIVILE,Ceník veřejných prací Toskánska (vydání 2026),STAVEBNÍ OBYTNÁ VÝSTAVBA,ARMATURA
TOS26_RU.M10.001.003,Obor: STAVEBNÍ Specifikace: pro zaměstnance na dobu neurčitou V souladu s: průměrnými náklady podle schválených Ministerských tabulek s D.D. č. 12 ze dne 5. dubna 2023 Zahrnuto: - mzdové náklady; - zákonné a skutečné povinnosti na pracovní síle; - pronájem a používání běžných nástrojů ve výbavě,Labor,Labor,ora,635.33,635.33,635.33,635.33,1,CZK,231.88,0.365,1066,1030,EDILIZIA CIVILE,Ceník veřejných prací Toskánska (vydání 2026),STAVEBNÍ OBYTNÁ VÝSTAVBA,DEMOLICE
TOS26_PRCAM.P09.017.001,"MALTY A STUHY - PŘEDMIXOVANÉ / PŘEDVYROBENÉ nebo PŘIPRAVENÉ NA STAVENIŠTI S MÍCHAČEMI. Pro omítky, potěry, zdiva, obklady a výplně. Preferováno jsou výrobní systémy s nízkou energetickou náročností a optimalizované procesy ke snížení odpadu a zbytků. Pro produkty preco",Material,General,kg,21.92,21.92,21.92,21.92,1,CZK,115.87,5.2853,850,675,EDILIZIA CIVILE,Ceník veřejných prací Toskánska (vydání 2026),STAVEBNÍ OBYTNÁ VÝSTAVBA,PANELY
TOS26_RU.M11.001.003,Obor: STAVEBNÍ / INSTALAČNÍ SPECIFIKACE: pro zaměstnance na dobu neurčitou. V souladu: průměrné náklady podle schválených tabulek Ministerstva s D.D. č. 73 ze dne 22. listopadu 2024. Včetně: - mzdové náklady podle smlouvy; - zákonné a skutečné náklady na pracovní sílu; - nájem a používání zařízení.,Labor,Labor,ora,543.57,543.57,543.57,543.57,1,CZK,1198.77,2.2054,790,790,EDILIZIA CIVILE,Ceník veřejných prací Toskánska (vydání 2026),STAVEBNÍ OBYTNÁ VÝSTAVBA,Upevnění
TOS26_02.A07.011.010,"Předmět: DOPRAVA / PŘEPRAVA Umístění: na staveništi. Zahrnuto: nakládka, přeprava a vykládka odpadů na autorizované zařízení za účelem jejich recyklace nebo likvidace. Vyloučeno: - náklady na přístup k jejich odevzdání; - případné poplatky. | Předmět: VYKLÁDÁNÍ",Abstract Material,General,m³,285.41,285.41,285.41,285.41,1,CZK,119.6,0.4191,774,774,EDILIZIA CIVILE,Ceník veřejných prací Toskánska (vydání 2026),STAVEBNÍ OBYTNÁ VÝSTAVBA,PANELY
TOS26_PR.P18.ZZ02.002,"Předmět: TEPELNÉ A AKUSTICKÉ IZOLACE V souladu s: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - označení CE; - Prohlášení o výkonnosti (DoP) | Předmět: PŘÍSLUŠENSTVÍ PRO INSTALACI IZOLACÍ | skleněná síťovina odolná vůči alkáliím, hmotnost 155-160 g/m²",Material,General,m²,34.96,34.96,34.96,34.96,1,CZK,38.45,1.1,700,700,EDILIZIA CIVILE,Ceník veřejných prací Toskánska (vydání 2026),STAVEBNÍ OBYTNÁ VÝSTAVBA,PANELY
TOS26_PRCAM.P22.034.001,PRODUKTY NA PODLAHY A OBKLADY - CAM. V souladu s: CAM podle DM 23. června 2022 č. 256 | PRIMER. | syntetický spojovací nátěr v vodném roztoku,Material,Paint & Coatings,kg,228.96,228.96,228.96,228.96,1,CZK,63.09,0.2756,675,675,EDILIZIA CIVILE,Ceník veřejných prací Toskánska (vydání 2026),STAVEBNÍ OBYTNÁ VÝSTAVBA,PANELY
