resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,"Sector: BUILDING Specifications: for permanent employees Compliant: average cost of the Ministerial Tables approved with D.D. no. 12 of April 5, 2023 Included: - contractual remuneration; - legal and actual charges borne by the labor; - rental and use of common tools provided",Labor,Labor,ora,35.69,35.69,35.69,35.69,1,GBP,10.82,0.3032,5533,3192,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,DEMOLITION
TOS26_RU.M10.001.004,"Sector: BUILDING Specifications: for permanent employees Compliant: average cost of the Ministerial Tables approved with D.D. no. 12 of April 5, 2023 Included: - contractual remuneration; - legal and actual charges borne by the labor; - rental and use of common tools provided",Labor,Labor,ora,29.75,29.75,29.75,29.75,1,GBP,13.91,0.4675,2817,2620,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,DEMOLITION
TOS26_AT.N01.065.001,"Type: OPERATING MACHINES Specifications: delivered on site | Object: HAMMERS / ELECTRIC DRILLS AND ACCESSORIES | Percussion drill, power 450/500 W, for bits from 5 to 20 mm - 1 day",Equipment,General,ora,2.65,2.65,2.65,2.65,1,GBP,0.28,0.1074,1180,1180,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,INSTALLATION OF FRAME
TOS26_RU.M11.001.004,"Sector: MECHANICAL / PLANT SPECIFICATIONS: for permanent employees. Compliant: average cost of the approved Ministerial Tables with D.D. n 73 of November 22, 2024. Included: - contractual wage; - legal and statutory charges on labor; - rental and use of the equipment",Labor,Labor,ora,27.16,27.16,27.16,27.16,1,GBP,43.89,1.6159,1106,1102,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,REINFORCEMENT
TOS26_RU.M10.001.003,"Sector: BUILDING Specifications: for permanent employees Compliant: average cost of the Ministerial Tables approved with D.D. no. 12 of April 5, 2023 Included: - contractual remuneration; - legal and actual charges borne by the labor; - rental and use of common tools provided",Labor,Labor,ora,33.11,33.11,33.11,33.11,1,GBP,12.08,0.365,1066,1030,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,DEMOLITION
TOS26_PRCAM.P09.017.001,"MORTARS AND PLASTER - PREMIXED / PREFABRICATED OR PREPARED ON SITE WITH MIXERS. For plasters, screeds, masonry, coatings, and fillers. Preference for production plants with low energy consumption and processes optimized to reduce waste and scraps. For preco products",Material,General,kg,1.14,1.14,1.14,1.14,1,GBP,6.04,5.2853,850,675,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_RU.M11.001.003,"Sector: MECHANICAL / PLANT SPECIFICATIONS: for permanent employees. Compliant: average cost of the approved Ministerial Tables with D.D. n 73 of November 22, 2024. Included: - contractual wage; - legal and statutory charges on labor; - rental and use of the equipment",Labor,Labor,ora,28.33,28.33,28.33,28.33,1,GBP,62.47,2.2054,790,790,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,FRAME
TOS26_02.A07.011.010,"Object: TRANSPORT / HANDLING Placement: on site. Included: loading, transport and unloading of waste to authorized plants for their recovery or disposal. Excluded: - access costs for their delivery; - any taxes. | Object: SCARRETTAMENT",Abstract Material,General,m³,14.87,14.87,14.87,14.87,1,GBP,6.23,0.4191,774,774,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_PR.P18.ZZ02.002,Subject: THERMAL AND ACOUSTIC INSULANTS Compliant with: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE marking; - Declaration of Performance (DoP) | Subject: INSTALLATION ACCESSORIES FOR INSULANTS | alkali-resistant fiberglass mesh weighing 155-160 g/m²,Material,General,m²,1.82,1.82,1.82,1.82,1,GBP,2.0,1.1,700,700,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_PRCAM.P22.034.001,FLOORING AND CLADDING PRODUCTS - CAM. Compliant: CAM as per DM 23 June 2022 n. 256 | PRIMER. | synthetic bonding agent in aqueous solution,Material,Paint & Coatings,kg,11.93,11.93,11.93,11.93,1,GBP,3.29,0.2756,675,675,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_PR.P18.ZZ02.031,Subject: THERMAL AND ACOUSTIC INSULANTS Compliant with: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE marking; - Declaration of Performance (DoP) | Subject: INSTALLATION ACCESSORIES FOR INSULANTS | Screw-in polyethylene plug for masonry 115 mm < length < 155 mm,Material,General,cad,0.65,0.65,0.65,0.65,1,GBP,3.76,5.757,535,535,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_PRCAM.P26.090.008,"COVERING MATERIALS - PAINTS, VARNISHES, ENAMELS AND TOOLS FOR THEIR APPLICATION - CAM Compliant: - UNI EN ISO 4618:2023; - CAM - paragraph 2.5.13 of DM 23 June 2022 no. 256, ""MINIMUM ENVIRONMENTAL CRITERIA for the commissioning of the design and execution service of intervention works and",Material,General,kg,3.15,3.15,3.15,3.15,1,GBP,12.72,4.0365,526,526,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_AT.N06.016.001,"Object: LIFTING MACHINES Specifications: delivered on site Excluded: other surcharges of any kind | Object: TOWER CRANE Type: TOWER | jib 35 m, capacity at tip 1000 kg. for 3 months",Equipment,General,ora,4.49,4.49,4.49,4.49,1,GBP,0.46,0.1023,450,450,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,INSTALLATION OF FRAME
TOS26_PRCAM.P26.107.004,"COVERING MATERIALS - PAINTS, VARNISHES, ENAMELS AND TOOLS FOR THEIR APPLICATION - CAM Compliant: - UNI EN ISO 4618:2023; - CAM - paragraph 2.5.13 of DM 23 June 2022 no. 256, ""MINIMUM ENVIRONMENTAL CRITERIA for the commissioning of the design and execution service of intervention works and",Material,General,kg,12.78,12.78,12.78,12.78,1,GBP,1.91,0.1493,435,435,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_AT.N06.100.900,Object: ELEVATING MACHINES Specifications: delivered on site Excluded: any other surcharges of any kind | Object: FUEL / OIL CONSUMPTION Usage: FOR ELEVATING MACHINES | Type: diesel up to 126 HP,Equipment,General,ora,19.66,19.66,19.66,19.66,1,GBP,8.17,0.4156,426,383,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,REINFORCEMENT
TOS26_RU.M11.001.002,"Sector: MECHANICAL / PLANT SPECIFICATIONS: for permanent employees. Compliant: average cost of the approved Ministerial Tables with D.D. n 73 of November 22, 2024. Included: - contractual wage; - legal and statutory charges on labor; - rental and use of the equipment",Labor,Labor,ora,30.32,30.32,30.32,30.32,1,GBP,14.71,0.485,424,424,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,REINFORCEMENT
TOS26_PR.P18.ZZ02.032,Object: THERMAL AND ACOUSTIC INSULANTS Compliant with: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE marking; - Declaration of Performance (DoP) | Object: INSTALLATION ACCESSORIES FOR INSULANTS | Screw-in polyethylene plug for masonry 175 mm < length < 215 mm,Material,General,cad,1.12,1.12,1.12,1.12,1,GBP,7.39,6.6134,313,313,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_AT.N06.020.001,"Object: LIFTING MACHINES Specifications: delivered on site Excluded: other surcharges of any kind | Object: ELECTRIC HOIST | with jib support, capacity 150 kg, monthly rental.",Equipment,General,ora,1.44,1.44,1.44,1.44,1,GBP,0.15,0.1013,276,274,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_RU.M05.001.001,"Sector: OF THE HYDRAULIC-FORESTRY AND HYDRAULIC-AGRARIAN SECTOR Specifications: for permanent employees Compliant: minimum hourly cost of the reference associations - effective from January 1, 2016 Included: - general expenses; - company profits | Type: FORESTRY WORKER | Level: 5th Workers",Labor,Labor,ora,23.05,23.05,23.05,23.05,1,GBP,596.91,25.9014,259,228,OPERE FORESTALI CAM: no,Public Works Price List of Tuscany (2026 edition),FORESTRY WORKS CAM: no,FORESTRY UTILIZATION WORKS
TOS26_PR.P18.ZZ02.033,Object: THERMAL AND ACOUSTIC INSULANTS Compliant with: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE marking; - Declaration of Performance (DoP) | Object: INSTALLATION ACCESSORIES FOR INSULANTS | Screw-in polyethylene plug for masonry 235 mm < length < 275 mm,Material,General,cad,1.59,1.59,1.59,1.59,1,GBP,10.35,6.5138,253,253,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_RU.M05.001.002,Sector: OF THE HYDRAULIC-FORESTRY AND HYDRAULIC-AGRARIAN SECTOR Specifications: for permanent employees Compliant: minimum hourly cost of the reference associations - effective from 1 January 2016 Included: - general expenses; - company profits | Type: FORESTRY WORKER | Level: 4th Workers,Labor,Labor,ora,21.76,21.76,21.76,21.76,1,GBP,1550.16,71.2444,248,218,OPERE FORESTALI CAM: no,Public Works Price List of Tuscany (2026 edition),FORESTRY WORKS CAM: no,FORESTRY UTILIZATION WORKS
TOS26_RU.M05.001.004,"Sector: OF THE HYDRAULIC-FORESTRY AND HYDRAULIC-AGRARIAN SECTOR Specifications: for permanent employees Compliant: minimum hourly cost of the reference associations - effective from January 1, 2016 Included: - general expenses; - company profits | Type: FORESTRY WORKER | Level: 2nd Workers",Labor,Labor,ora,19.56,19.56,19.56,19.56,1,GBP,1342.06,68.6074,235,220,OPERE FORESTALI CAM: no,Public Works Price List of Tuscany (2026 edition),FORESTRY WORKS CAM: no,FORESTRY UTILIZATION WORKS
TOS26_AT.N02.014.028,Object: TRANSPORT MEANS / NON-OPERATING MACHINES Included; - driver cost; - insurances; - expenses for consumable materials; - any other expense to provide the means in full working order. | TRUCKS / MOTOR TRUCKS / TRACTORS MTT: Total mass on ground Pu: Useful load | Tractor go,Equipment,General,ora,8.73,8.73,8.73,8.73,1,GBP,46.48,5.3232,229,218,OPERE PER VERDE URBANO,Public Works Price List of Tuscany (2026 edition),URBAN GREEN WORKS,EARTHWORKS AND GROUND IMPROVEMENTS
TOS26_01.B04.003.001,"Object: POURING Material: CONCRETE Format: READY-MIXED Type: guaranteed performance Included: - supply; - laying; - unloading; - pouring; - vibrating. Specifications: produced in a plant equipped with a Production Control System, carried out in accordance with the contents of the Guidelines",Abstract Material,Fasteners,m³,143.09,143.09,143.09,143.09,1,GBP,132.2,0.9239,226,118,INFRASTRUTTURE STRADALI,Public Works Price List of Tuscany (2026 edition),ROAD INFRASTRUCTURE,SECTION
TOS26_RU.M04.002.002,Sector: AGRICULTURAL AND HORTICULTURAL Specifications: for permanent employees Compliant: minimum hourly rate of the reference associations - C.C.N.L. 24/10/2014 Included: - contractual remuneration; - legal and actual charges on labor; - rental and use of commonly used tools,Labor,Labor,ora,22.46,22.46,22.46,22.46,1,GBP,117.24,5.219,225,151,OPERE AGRICOLE CAM: no,Public Works Price List of Tuscany (2026 edition),AGRICULTURAL WORKS CAM: no,Works aimed at creating the conditions for the subsequent cultivation of stable 
TOS26_AT.N01.001.902,"Type: OPERATING MACHINES Specifications: delivered on site | Use: FOR EARTHWORK Included: accessories | consumables for fuels, oils, and other materials - earthmoving machines from 10,000 kg to 25,000 kg - from 126 HP up to 300 HP",Equipment,General,ora,45.76,45.76,45.76,45.76,1,GBP,6.63,0.1449,218,217,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,DEMOLITION
TOS26_AT.N01.060.001,Type: OPERATING MACHINES Specifications: delivered on site | Object: ACCESSORIES Use: FOR VARIOUS WORKS | Concrete vibrator - 1 month,Equipment,General,ora,2.4,2.4,2.4,2.4,1,GBP,0.31,0.1284,217,207,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,CASTING
TOS26_AT.N06.016.006,"Object: LIFTING MACHINES Specifications: delivered on site Excluded: other surcharges of any kind | Object: TOWER CRANE Type: TOWER | jib 40-41 m, tip load 1000 kg. Rental from 8 to 12 months",Equipment,General,ora,4.67,4.67,4.67,4.67,1,GBP,0.26,0.0558,215,214,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,FORMWORK
TOS26_04.A04.008.001,"Object: EXCAVATION Included: - removal of rocky boulders and/or masonry debris up to 0,50 m³; - leveling of the excavation bottom; - smoothing of the walls and edges; - drainage or pumping of any water present up to a maximum head of 20 cm; - removal of stumps; - works",Abstract Material,General,m³,4.53,4.53,4.53,4.53,1,GBP,8.32,1.8339,198,138,INFRASTRUTTURE STRADALI,Public Works Price List of Tuscany (2026 edition),ROAD INFRASTRUCTURE,SECTION
TOS26_PR.P19.060.001,Object: WATERPROOFING / MEMBRANES / SCREENS Compliant with: - EU Regulation 305/2011; - CE marking; - UNI 8818:2016 | SYNTHETIC OR BITUMINOUS VAPOR BARRIER SCREEN Sd ≥ 100 m Compliant with: - UNI EN 13859-1:2014; - UNI EN 13859-2:2014; - UNI EN 11470:2015 | BITUMINOUS. Reinforced with a sheet of,Material,Waterproofing,m²,7.4,7.4,7.4,7.4,1,GBP,8.51,1.15,197,197,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_AT.N06.017.007,"Object: ELEVATING MACHINES Specifications: delivered on site Excluded: other surcharges of any kind | Object: CRANES Type: SELF-ASSEMBLING | boom 25 m, tip load 800 kg. for 1 month",Equipment,General,ora,4.74,4.74,4.74,4.74,1,GBP,0.63,0.133,194,194,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PROFILES
TOS26_PR.P19.018.017,Subject: WATERPROOFING / MEMBRANES / SCREENS Compliant with: - EU Regulation 305/2011; - CE marking; - UNI 8818:2016 | ELASTOPLASTOMERIC WATERPROOFING MEMBRANE WITH HIGH BITUMEN AND POLYMER CONCENTRATION. REINFORCED With continuous filament polyester nonwoven stabilized with rot-proof glass fiber,Material,Waterproofing,m²,7.21,7.21,7.21,7.21,1,GBP,7.97,1.1057,194,194,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,WATERPROOFING
TOS26_AT.N01.015.070,"Type: OPERATING MACHINES Specifications: delivered on site | Use: FOR WORKS ON VEGETATION | Chainsaw complete with cutting chain, with combustion engine, with 45 cm bar - 1 month",Equipment,General,ora,1.6,1.6,1.6,1.6,1,GBP,140.16,87.6944,192,192,OPERE PER VERDE URBANO,Public Works Price List of Tuscany (2026 edition),URBAN GREEN WORKS,"HERBACEOUS PLANTS, SHRUBS, HEDGES, FLOWERBEDS"
TOS26_04.B12.001.001,Object: ROAD BODIES Included: - excavations; - fills; - altimetric modeling; - ground adjustment between natural ground level and road platform; - road foundation including lower bearing layer; - road base including inert material layer; - soil stabilization,Abstract Material,General,m³,36.49,36.49,36.49,36.49,1,GBP,86.16,2.361,184,138,INFRASTRUTTURE STRADALI,Public Works Price List of Tuscany (2026 edition),ROAD INFRASTRUCTURE,SECTION
TOS26_04.E02.002.001,Object: BITUMINOUS PAVING Included: - supply; - milling; - cleaning of the laying surface; - laying; - tack coat; - rolling. Compliant with: - UNI EN 12591; - UNI EN 13043:2004; - UNI EN 130108-1:2016; - UNI EN ISO 10319:2015; - UNI EN ISO 10319. | Object: binder course - hot -,Abstract Material,General,m²,21.56,21.56,21.56,21.56,1,GBP,145.52,6.75,184,138,INFRASTRUTTURE STRADALI,Public Works Price List of Tuscany (2026 edition),ROAD INFRASTRUCTURE,SECTION
TOS26_AT.N02.101.001,Object: TRANSPORT MEANS / NON-OPERATING MACHINES Included; - driver cost; - insurances; - expenses for consumable materials; - any other expense to keep the means in full working order. | Object: FUEL / OIL CONSUMPTION Use: FOR TRANSPORT MEANS Specifications: REDUCED RATE | Type,Equipment,General,ora,5.13,5.13,5.13,5.13,1,GBP,32.63,6.3547,183,170,OPERE FORESTALI CAM: no,Public Works Price List of Tuscany (2026 edition),FORESTRY WORKS CAM: no,"AFFORESTATION, THINNING, AND WOOD ARBORICULTURE"
TOS26_RU.M04.001.002,Sector: AGRICULTURAL AND HORTICULTURAL Specifications: for permanent employees Compliant: minimum hourly rate of the reference associations - C.C.N.L. 24/10/2014 Included: - contractual remuneration; - legal and actual charges on labor; - rental and use of commonly used tools,Labor,Labor,ora,22.93,22.93,22.93,22.93,1,GBP,22.58,0.985,180,111,OPERE PER VERDE URBANO,Public Works Price List of Tuscany (2026 edition),URBAN GREEN WORKS,EARTHWORKS AND GROUND IMPROVEMENTS
TOS26_AT.N01.100.901,"Type: OPERATING MACHINES Specifications: delivered on site | Object: FUEL / OIL CONSUMPTION Usage: OPERATING MACHINES FOR AGRICULTURAL WORKS | Type: up to 10,000 kg - up to 125 HP.",Equipment,General,ora,19.07,19.07,19.07,19.07,1,GBP,2.97,0.1559,178,161,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,DEMOLITION
TOS26_RU.M11.001.001,"Sector: MECHANICAL / PLANT SPECIFICATIONS: for permanent employees. Compliant: average cost of the approved Ministerial Tables with D.D. n 73 of November 22, 2024. Included: - contractual wage; - legal and statutory charges on labor; - rental and use of the equipment",Labor,Labor,ora,32.48,32.48,32.48,32.48,1,GBP,26.18,0.8062,169,164,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,FRAME
TOS26_AT.N01.101.914,Type: OPERATING MACHINES Specifications: delivered on site | Object: FUEL / OIL CONSUMPTION Use: FOR OPERATING MACHINES FOR AGRICULTURAL WORKS Specifications: REDUCED RATE | Type: for chainsaws,Equipment,General,ora,3.05,3.05,3.05,3.05,1,GBP,312.25,102.2463,166,166,OPERE FORESTALI CAM: no,Public Works Price List of Tuscany (2026 edition),FORESTRY WORKS CAM: no,FORESTRY UTILIZATION WORKS
TOS26_PRCAM.P09.017.003,"MORTARS AND PLASTER - PREMIXED / PREFABRICATED OR PREPARED ON SITE WITH MIXERS. For plasters, screeds, masonry, coatings, and fillers. Preference for production plants with low energy consumption and processes optimized to reduce waste and scraps. For preco products",Material,General,kg,1.3,1.3,1.3,1.3,1,GBP,5.44,4.1667,162,162,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,PANELS
TOS26_RU.M04.002.005,Sector: AGRICULTURAL AND HORTICULTURAL Specifications: for permanent employees Compliant: minimum hourly rate of the reference associations - C.C.N.L. 24/10/2014 Included: - contractual remuneration; - legal and actual charges on labor; - rental and use of commonly used tools,Labor,Labor,ora,18.09,18.09,18.09,18.09,1,GBP,572.15,31.6251,162,102,OPERE AGRICOLE CAM: no,Public Works Price List of Tuscany (2026 edition),AGRICULTURAL WORKS CAM: no,Works aimed at creating the conditions for the subsequent cultivation of stable 
TOS26_AT.N09.100.900,Object: PLANT / MACHINERY Usage: FOR ROADWORKS Specifications: delivered on site | Object: FUEL / OIL CONSUMPTION Usage: FOR PLANTS / MACHINERY FOR ROADWORKS | Type: diesel up to 126 HP,Equipment,General,ora,19.43,19.43,19.43,19.43,1,GBP,0.47,0.0243,160,90,INFRASTRUTTURE STRADALI,Public Works Price List of Tuscany (2026 edition),ROAD INFRASTRUCTURE,aggregates
TOS26_AT.N02.014.031,Object: TRANSPORT MEANS / NON-OPERATING MACHINES Included; - driver cost; - insurances; - expenses for consumable materials; - any other expense to provide the means in full working order. | TRUCKS / MOTOR TRUCKS / TRACTORS MTT: Total mass on ground Pu: Useful load | Tractor go,Equipment,General,ora,16.48,16.48,16.48,16.48,1,GBP,635.97,38.6001,152,152,OPERE FORESTALI CAM: no,Public Works Price List of Tuscany (2026 edition),FORESTRY WORKS CAM: no,FORESTRY UTILIZATION WORKS
TOS26_AT.N02.101.002,Object: TRANSPORT MEANS / NON-OPERATING MACHINES Included; - driver cost; - insurances; - expenses for consumable materials; - any other expense to keep the means in full working order. | Object: FUEL / OIL CONSUMPTION Use: FOR TRANSPORT MEANS Specifications: REDUCED RATE | Type,Equipment,General,ora,12.32,12.32,12.32,12.32,1,GBP,467.25,37.9148,150,150,OPERE FORESTALI CAM: no,Public Works Price List of Tuscany (2026 edition),FORESTRY WORKS CAM: no,FORESTRY UTILIZATION WORKS
TOS26_AT.N06.018.010,Object: LIFTING MACHINES Specifications: delivered on site Excluded: other surcharges of any kind | Object: TRUCK Type: WITH ROTATING CRANE AND ARTICULATED BOOM MTT= total mass on ground | MTT 26000 kg with maximum lifting moment of 23000 daNm at the mobile hook max outreach,Equipment,General,ora,55.67,55.67,55.67,55.67,1,GBP,5.4,0.097,144,140,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,REINFORCEMENT
TOS26_RU.M11.001.005,"Sector: MECHANICAL / PLANT SPECIFICATIONS: for permanent employees. Compliant: average cost of the approved Ministerial Tables with D.D. n 73 of November 22, 2024. Included: - contractual wage; - legal and statutory charges on labor; - rental and use of the equipment",Labor,Labor,ora,24.52,24.52,24.52,24.52,1,GBP,7.62,0.3106,142,142,IMPIANTI - MECCANICI CAM: no,Public Works Price List of Tuscany (2026 edition),MECHANICAL SYSTEMS CAM: no,WATER SUPPLY
TOS26_AT.N01.072.001,"Type: OPERATING MACHINES Specifications: delivered on site | Object: CONCRETE MIXER | Tilting drum concrete mixer with 350 l capacity, electric motor - 1 month",Equipment,General,ora,2.24,2.24,2.24,2.24,1,GBP,0.28,0.1227,138,136,EDILIZIA CIVILE,Public Works Price List of Tuscany (2026 edition),CIVIL CONSTRUCTION,WALL / PARTITION
TOS26_04.A05.008.001,Use: formation of embankments Object: aggregates Material: - free of organic substances; - from excavation; - quarries. Included: - leveling; - compaction in layers with thickness not exceeding 30cm; - formation of slopes; - shaping of embankment faces; - watering; - backfilling. Compliant with: - UNI EN 132,Abstract Material,General,m²,4.87,4.87,4.87,4.87,1,GBP,59.73,12.2728,138,138,INFRASTRUTTURE STRADALI,Public Works Price List of Tuscany (2026 edition),ROAD INFRASTRUCTURE,SECTION
TOS26_04.A05.005.002,Use: formation of embankments Object: aggregates Material: - free of organic substances; - from excavation; - quarries. Included: - leveling; - compaction in layers with thickness not exceeding 30cm; - formation of slopes; - shaping of embankment faces; - watering; - backfilling. Compliant with: - UNI EN 132,Abstract Material,General,m²,0.65,0.65,0.65,0.65,1,GBP,5.52,8.4819,138,138,INFRASTRUTTURE STRADALI,Public Works Price List of Tuscany (2026 edition),ROAD INFRASTRUCTURE,SECTION
TOS26_04.E09.001.001,Object: SURFACE SOIL ARRANGEMENTS | Type: overseeding of mixture Material: seeds Included: fertilization Placement: on flat or inclined land free of plants | Laying: broadcast with meadow grass seeds Weight (kg): 1 (up to 50 m²),Abstract Material,General,m²,0.52,0.52,0.52,0.52,1,GBP,6.42,12.2728,138,138,INFRASTRUTTURE STRADALI,Public Works Price List of Tuscany (2026 edition),ROAD INFRASTRUCTURE,SECTION
