resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Sektor: GRAĐEVINAR Specifikacije: za stalno zaposlene Usklađeno: prosječni trošak prema odobrenim tablicama Ministarstva s D.D. br. 12 od 5. travnja 2023. Uključeno: - ugovorna plaća; - porezi i doprinosi koji se terete na radnu snagu; - najam i korištenje alata uobičajene uporabe u opremi,Labor,Labor,ora,24.82,24.82,24.82,24.82,1,EUR,7.52,0.3032,5533,3192,EDILIZIA CIVILE,Cjenik radova za javne radove Toscane (izdanje 2026),Građevinarstvo,RUŠENJE
TOS26_RU.M10.001.004,Sektor: GRAĐEVINAR Specifikacije: za stalno zaposlene Usklađeno: prosječni trošak prema odobrenim tablicama Ministarstva s D.D. br. 12 od 5. travnja 2023. Uključeno: - ugovorna plaća; - porezi i doprinosi koji se terete na radnu snagu; - najam i korištenje alata uobičajene uporabe u opremi,Labor,Labor,ora,20.68,20.68,20.68,20.68,1,EUR,9.67,0.4675,2817,2620,EDILIZIA CIVILE,Cjenik radova za javne radove Toscane (izdanje 2026),Građevinarstvo,RUŠENJE
TOS26_AT.N01.065.001,"Tip: OPERATORSKE MAŠINE Specifikacije: isporučeno na gradilištu | Predmet: Čekići / Električni bušači i pribor | Bušilica s perkusijom, snaga 450/500 W, za bušotine od 5-20 mm - 1 dan",Equipment,General,ora,1.84,1.84,1.84,1.84,1,EUR,0.2,0.1074,1180,1180,EDILIZIA CIVILE,Cjenik radova za javne radove Toscane (izdanje 2026),Građevinarstvo,Ugradnja ugrađenog elementa
TOS26_RU.M11.001.004,Sektor: METALMEHANIKA / INSTALACIJE Specifikacije: za stalno zaposlene Usklađeno: prosječni trošak prema Ministarstvenim tablicama odobrenima s D.D. n 73 od 22. studenoga 2024. Uključeno: - ugovorna naknada; - porezi i takse koji se terete na radnu snagu; - najam i korištenje opreme,Labor,Labor,ora,18.89,18.89,18.89,18.89,1,EUR,30.52,1.6159,1106,1102,EDILIZIA CIVILE,Cjenik radova za javne radove Toscane (izdanje 2026),Građevinarstvo,ARMATURA
TOS26_RU.M10.001.003,Sektor: GRAĐEVINAR Specifikacije: za stalno zaposlene Usklađeno: prosječni trošak prema odobrenim tablicama Ministarstva s D.D. br. 12 od 5. travnja 2023. Uključeno: - ugovorna plaća; - porezi i doprinosi koji se terete na radnu snagu; - najam i korištenje alata uobičajene uporabe u opremi,Labor,Labor,ora,23.02,23.02,23.02,23.02,1,EUR,8.4,0.365,1066,1030,EDILIZIA CIVILE,Cjenik radova za javne radove Toscane (izdanje 2026),Građevinarstvo,RUŠENJE
TOS26_PRCAM.P09.017.001,"MALTE I ŽBUŠNE MASA - KAM PREMJEŠANE / PRETHODNO KONFEKCIJSKI ili PRIPREMLJENE U RADU S MJEŠALICAMA. Za žbuke, estrihe, zidove, obloge i punila. Preferira se proizvodnja s niskom potrošnjom energije i optimizirani procesi za smanjenje otpada i ostataka. Za proizvode preco",Material,General,kg,0.79,0.79,0.79,0.79,1,EUR,4.2,5.2853,850,675,EDILIZIA CIVILE,Cjenik radova za javne radove Toscane (izdanje 2026),Građevinarstvo,PANELI
TOS26_RU.M11.001.003,Sektor: METALMEHANIKA / INSTALACIJE Specifikacije: za stalno zaposlene Usklađeno: prosječni trošak prema Ministarstvenim tablicama odobrenima s D.D. n 73 od 22. studenoga 2024. Uključeno: - ugovorna naknada; - porezi i takse koji se terete na radnu snagu; - najam i korištenje opreme,Labor,Labor,ora,19.7,19.7,19.7,19.7,1,EUR,43.44,2.2054,790,790,EDILIZIA CIVILE,Cjenik radova za javne radove Toscane (izdanje 2026),Građevinarstvo,Ugradnja
TOS26_02.A07.011.010,"Predmet: TRANSPORT / PRENOS Posicioniranje: na gradilištu. Uključeno: utovar, prijevoz i istovar otpada na ovlaštene uređaje za reciklažu ili odlaganje. Isključeno: - troškovi pristupa za odlaganje; - eventualni taksovi.",Abstract Material,General,m³,10.34,10.34,10.34,10.34,1,EUR,4.33,0.4191,774,774,EDILIZIA CIVILE,Cjenik radova za javne radove Toscane (izdanje 2026),Građevinarstvo,PANELI
TOS26_PR.P18.ZZ02.002,"Predmet: TOPLINSKI I AKUSTIČKI IZOLATORI U skladu s: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE oznaka; - Izjava o svojstvima (DoP) | Predmet: DODACI ZA POSTAVKU ZA IZOLATORE | mreža od staklenih vlakana otporna na alkalije, težina 155-160 g/m²",Material,General,m²,1.27,1.27,1.27,1.27,1,EUR,1.39,1.1,700,700,EDILIZIA CIVILE,Cjenik radova za javne radove Toscane (izdanje 2026),Građevinarstvo,PANELI
TOS26_PRCAM.P22.034.001,PROIZVODI ZA PLOČNICE I OBLOGE - U skladu: CAM prema DM 23. lipnja 2022. br. 256 | PRIMER. | za kemijsku vezu u vodenoj otopini,Material,Paint & Coatings,kg,8.3,8.3,8.3,8.3,1,EUR,2.29,0.2756,675,675,EDILIZIA CIVILE,Cjenik radova za javne radove Toscane (izdanje 2026),Građevinarstvo,PANELI
